"cod_muni";"muni";"var1";"var2";"tipo_estab";"qtd_medios_estabelecimentos"
"2708956";"Senador Rui Palmeira (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2709004";"Tanque d'Arca (AL)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2709004";"Tanque d'Arca (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2709103";"Taquarana (AL)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2709103";"Taquarana (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2709152";"Teotônio Vilela (AL)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2709152";"Teotônio Vilela (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2709202";"Traipu (AL)";"Total";"Total";"De 200 a menos de 500 ha";"16"
"2709202";"Traipu (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"2709301";"União dos Palmares (AL)";"Total";"Total";"De 200 a menos de 500 ha";"15"
"2709301";"União dos Palmares (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2709400";"Viçosa (AL)";"Total";"Total";"De 200 a menos de 500 ha";"18"
"2709400";"Viçosa (AL)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2800100";"Amparo do São Francisco (SE)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"2800100";"Amparo do São Francisco (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2800209";"Aquidabã (SE)";"Total";"Total";"De 200 a menos de 500 ha";"19"
"2800209";"Aquidabã (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2800308";"Aracaju (SE)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"2800308";"Aracaju (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2800407";"Arauá (SE)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2800407";"Arauá (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2800506";"Areia Branca (SE)";"Total";"Total";"De 200 a menos de 500 ha";"1"
"2800506";"Areia Branca (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2800605";"Barra dos Coqueiros (SE)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"2800605";"Barra dos Coqueiros (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2800670";"Boquim (SE)";"Total";"Total";"De 200 a menos de 500 ha";"13"
"2800670";"Boquim (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2800704";"Brejo Grande (SE)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2800704";"Brejo Grande (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2801009";"Campo do Brito (SE)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2801009";"Campo do Brito (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2801108";"Canhoba (SE)";"Total";"Total";"De 200 a menos de 500 ha";"13"
"2801108";"Canhoba (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2801207";"Canindé de São Francisco (SE)";"Total";"Total";"De 200 a menos de 500 ha";"17"
"2801207";"Canindé de São Francisco (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"2801306";"Capela (SE)";"Total";"Total";"De 200 a menos de 500 ha";"25"
"2801306";"Capela (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"2801405";"Carira (SE)";"Total";"Total";"De 200 a menos de 500 ha";"34"
"2801405";"Carira (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"12"
"2801504";"Carmópolis (SE)";"Total";"Total";"De 200 a menos de 500 ha";"1"
"2801504";"Carmópolis (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2801603";"Cedro de São João (SE)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"2801603";"Cedro de São João (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2801702";"Cristinápolis (SE)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"2801702";"Cristinápolis (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2801900";"Cumbe (SE)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2801900";"Cumbe (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2802007";"Divina Pastora (SE)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2802007";"Divina Pastora (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2802106";"Estância (SE)";"Total";"Total";"De 200 a menos de 500 ha";"20"
"2802106";"Estância (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2802205";"Feira Nova (SE)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"2802205";"Feira Nova (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2802304";"Frei Paulo (SE)";"Total";"Total";"De 200 a menos de 500 ha";"29"
"2802304";"Frei Paulo (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2802403";"Gararu (SE)";"Total";"Total";"De 200 a menos de 500 ha";"15"
"2802403";"Gararu (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2802502";"General Maynard (SE)";"Total";"Total";"De 200 a menos de 500 ha";"1"
"2802502";"General Maynard (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2802601";"Gracho Cardoso (SE)";"Total";"Total";"De 200 a menos de 500 ha";"19"
"2802601";"Gracho Cardoso (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2802700";"Ilha das Flores (SE)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"2802700";"Ilha das Flores (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2802809";"Indiaroba (SE)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2802809";"Indiaroba (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2802908";"Itabaiana (SE)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2802908";"Itabaiana (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2803005";"Itabaianinha (SE)";"Total";"Total";"De 200 a menos de 500 ha";"24"
"2803005";"Itabaianinha (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2803104";"Itabi (SE)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2803104";"Itabi (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2803203";"Itaporanga d'Ajuda (SE)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2803203";"Itaporanga d'Ajuda (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2803302";"Japaratuba (SE)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2803302";"Japaratuba (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2803401";"Japoatã (SE)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2803401";"Japoatã (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2803500";"Lagarto (SE)";"Total";"Total";"De 200 a menos de 500 ha";"36"
"2803500";"Lagarto (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"13"
"2803609";"Laranjeiras (SE)";"Total";"Total";"De 200 a menos de 500 ha";"6"
"2803609";"Laranjeiras (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2803708";"Macambira (SE)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2803708";"Macambira (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2803807";"Malhada dos Bois (SE)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2803807";"Malhada dos Bois (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2803906";"Malhador (SE)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"2803906";"Malhador (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2804003";"Maruim (SE)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2804003";"Maruim (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2804102";"Moita Bonita (SE)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"2804102";"Moita Bonita (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2804201";"Monte Alegre de Sergipe (SE)";"Total";"Total";"De 200 a menos de 500 ha";"16"
"2804201";"Monte Alegre de Sergipe (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2804300";"Muribeca (SE)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2804300";"Muribeca (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2804409";"Neópolis (SE)";"Total";"Total";"De 200 a menos de 500 ha";"6"
"2804409";"Neópolis (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2804458";"Nossa Senhora Aparecida (SE)";"Total";"Total";"De 200 a menos de 500 ha";"20"
"2804458";"Nossa Senhora Aparecida (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2804508";"Nossa Senhora da Glória (SE)";"Total";"Total";"De 200 a menos de 500 ha";"32"
"2804508";"Nossa Senhora da Glória (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"2804607";"Nossa Senhora das Dores (SE)";"Total";"Total";"De 200 a menos de 500 ha";"32"
"2804607";"Nossa Senhora das Dores (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"16"
"2804706";"Nossa Senhora de Lourdes (SE)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"2804706";"Nossa Senhora de Lourdes (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2804805";"Nossa Senhora do Socorro (SE)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2804805";"Nossa Senhora do Socorro (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2804904";"Pacatuba (SE)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2804904";"Pacatuba (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2805000";"Pedra Mole (SE)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2805000";"Pedra Mole (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2805109";"Pedrinhas (SE)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"2805109";"Pedrinhas (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2805208";"Pinhão (SE)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2805208";"Pinhão (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2805307";"Pirambu (SE)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2805307";"Pirambu (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2805406";"Poço Redondo (SE)";"Total";"Total";"De 200 a menos de 500 ha";"31"
"2805406";"Poço Redondo (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"2805505";"Poço Verde (SE)";"Total";"Total";"De 200 a menos de 500 ha";"14"
"2805505";"Poço Verde (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2805604";"Porto da Folha (SE)";"Total";"Total";"De 200 a menos de 500 ha";"24"
"2805604";"Porto da Folha (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2805703";"Propriá (SE)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"2805703";"Propriá (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2805802";"Riachão do Dantas (SE)";"Total";"Total";"De 200 a menos de 500 ha";"22"
"2805802";"Riachão do Dantas (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"2805901";"Riachuelo (SE)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2805901";"Riachuelo (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2806008";"Ribeirópolis (SE)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2806008";"Ribeirópolis (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2806107";"Rosário do Catete (SE)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"2806107";"Rosário do Catete (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2806206";"Salgado (SE)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"2806206";"Salgado (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2806305";"Santa Luzia do Itanhy (SE)";"Total";"Total";"De 200 a menos de 500 ha";"17"
"2806305";"Santa Luzia do Itanhy (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2806404";"Santana do São Francisco (SE)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2806404";"Santana do São Francisco (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2806503";"Santa Rosa de Lima (SE)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2806503";"Santa Rosa de Lima (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2806602";"Santo Amaro das Brotas (SE)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2806602";"Santo Amaro das Brotas (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2806701";"São Cristóvão (SE)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2806701";"São Cristóvão (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2806800";"São Domingos (SE)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2806800";"São Domingos (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2806909";"São Francisco (SE)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2806909";"São Francisco (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2807006";"São Miguel do Aleixo (SE)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2807006";"São Miguel do Aleixo (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2807105";"Simão Dias (SE)";"Total";"Total";"De 200 a menos de 500 ha";"21"
"2807105";"Simão Dias (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2807204";"Siriri (SE)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2807204";"Siriri (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2807303";"Telha (SE)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2807303";"Telha (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2807402";"Tobias Barreto (SE)";"Total";"Total";"De 200 a menos de 500 ha";"28"
"2807402";"Tobias Barreto (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2807501";"Tomar do Geru (SE)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2807501";"Tomar do Geru (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2807600";"Umbaúba (SE)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2807600";"Umbaúba (SE)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2900108";"Abaíra (BA)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2900108";"Abaíra (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2900207";"Abaré (BA)";"Total";"Total";"De 200 a menos de 500 ha";"35"
"2900207";"Abaré (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2900306";"Acajutiba (BA)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"2900306";"Acajutiba (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2900355";"Adustina (BA)";"Total";"Total";"De 200 a menos de 500 ha";"25"
"2900355";"Adustina (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2900405";"Água Fria (BA)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2900405";"Água Fria (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2900504";"Érico Cardoso (BA)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"2900504";"Érico Cardoso (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2900603";"Aiquara (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2900603";"Aiquara (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2900702";"Alagoinhas (BA)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2900702";"Alagoinhas (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2900801";"Alcobaça (BA)";"Total";"Total";"De 200 a menos de 500 ha";"23"
"2900801";"Alcobaça (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"2900900";"Almadina (BA)";"Total";"Total";"De 200 a menos de 500 ha";"27"
"2900900";"Almadina (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2901007";"Amargosa (BA)";"Total";"Total";"De 200 a menos de 500 ha";"30"
"2901007";"Amargosa (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2901106";"Amélia Rodrigues (BA)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2901106";"Amélia Rodrigues (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2901155";"América Dourada (BA)";"Total";"Total";"De 200 a menos de 500 ha";"32"
"2901155";"América Dourada (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2901205";"Anagé (BA)";"Total";"Total";"De 200 a menos de 500 ha";"20"
"2901205";"Anagé (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"2901304";"Andaraí (BA)";"Total";"Total";"De 200 a menos de 500 ha";"18"
"2901304";"Andaraí (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2901353";"Andorinha (BA)";"Total";"Total";"De 200 a menos de 500 ha";"42"
"2901353";"Andorinha (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"2901403";"Angical (BA)";"Total";"Total";"De 200 a menos de 500 ha";"27"
"2901403";"Angical (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2901502";"Anguera (BA)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2901502";"Anguera (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2901601";"Antas (BA)";"Total";"Total";"De 200 a menos de 500 ha";"16"
"2901601";"Antas (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2901700";"Antônio Cardoso (BA)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2901700";"Antônio Cardoso (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"2901809";"Antônio Gonçalves (BA)";"Total";"Total";"De 200 a menos de 500 ha";"13"
"2901809";"Antônio Gonçalves (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2901908";"Aporá (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2901908";"Aporá (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"2901957";"Apuarema (BA)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"2901957";"Apuarema (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2902005";"Aracatu (BA)";"Total";"Total";"De 200 a menos de 500 ha";"40"
"2902005";"Aracatu (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"2902054";"Araçás (BA)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2902054";"Araçás (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2902104";"Araci (BA)";"Total";"Total";"De 200 a menos de 500 ha";"32"
"2902104";"Araci (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"13"
"2902203";"Aramari (BA)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2902203";"Aramari (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2902252";"Arataca (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2902252";"Arataca (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2902302";"Aratuípe (BA)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2902302";"Aratuípe (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2902401";"Aurelino Leal (BA)";"Total";"Total";"De 200 a menos de 500 ha";"31"
"2902401";"Aurelino Leal (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"10"
"2902500";"Baianópolis (BA)";"Total";"Total";"De 200 a menos de 500 ha";"38"
"2902500";"Baianópolis (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"19"
"2902609";"Baixa Grande (BA)";"Total";"Total";"De 200 a menos de 500 ha";"43"
"2902609";"Baixa Grande (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"15"
"2902658";"Banzaê (BA)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"2902658";"Banzaê (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2902708";"Barra (BA)";"Total";"Total";"De 200 a menos de 500 ha";"20"
"2902708";"Barra (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2902807";"Barra da Estiva (BA)";"Total";"Total";"De 200 a menos de 500 ha";"53"
"2902807";"Barra da Estiva (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"15"
"2902906";"Barra do Choça (BA)";"Total";"Total";"De 200 a menos de 500 ha";"49"
"2902906";"Barra do Choça (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"2903003";"Barra do Mendes (BA)";"Total";"Total";"De 200 a menos de 500 ha";"22"
"2903003";"Barra do Mendes (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"2903102";"Barra do Rocha (BA)";"Total";"Total";"De 200 a menos de 500 ha";"18"
"2903102";"Barra do Rocha (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2903201";"Barreiras (BA)";"Total";"Total";"De 200 a menos de 500 ha";"64"
"2903201";"Barreiras (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"52"
"2903235";"Barro Alto (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2903235";"Barro Alto (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2903276";"Barrocas (BA)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"2903276";"Barrocas (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2903300";"Barro Preto (BA)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2903300";"Barro Preto (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2903409";"Belmonte (BA)";"Total";"Total";"De 200 a menos de 500 ha";"51"
"2903409";"Belmonte (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"24"
"2903508";"Belo Campo (BA)";"Total";"Total";"De 200 a menos de 500 ha";"6"
"2903508";"Belo Campo (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2903607";"Biritinga (BA)";"Total";"Total";"De 200 a menos de 500 ha";"9"
"2903607";"Biritinga (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2903706";"Boa Nova (BA)";"Total";"Total";"De 200 a menos de 500 ha";"41"
"2903706";"Boa Nova (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"11"
"2903805";"Boa Vista do Tupim (BA)";"Total";"Total";"De 200 a menos de 500 ha";"82"
"2903805";"Boa Vista do Tupim (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"53"
"2903904";"Bom Jesus da Lapa (BA)";"Total";"Total";"De 200 a menos de 500 ha";"59"
"2903904";"Bom Jesus da Lapa (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"26"
"2903953";"Bom Jesus da Serra (BA)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2903953";"Bom Jesus da Serra (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2904001";"Boninal (BA)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2904001";"Boninal (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2904050";"Bonito (BA)";"Total";"Total";"De 200 a menos de 500 ha";"28"
"2904050";"Bonito (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"2904100";"Boquira (BA)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"2904100";"Boquira (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2904209";"Botuporã (BA)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2904209";"Botuporã (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"2904308";"Brejões (BA)";"Total";"Total";"De 200 a menos de 500 ha";"26"
"2904308";"Brejões (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"14"
"2904407";"Brejolândia (BA)";"Total";"Total";"De 200 a menos de 500 ha";"42"
"2904407";"Brejolândia (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"16"
"2904506";"Brotas de Macaúbas (BA)";"Total";"Total";"De 200 a menos de 500 ha";"7"
"2904506";"Brotas de Macaúbas (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2904605";"Brumado (BA)";"Total";"Total";"De 200 a menos de 500 ha";"47"
"2904605";"Brumado (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"16"
"2904704";"Buerarema (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2904704";"Buerarema (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2904753";"Buritirama (BA)";"Total";"Total";"De 200 a menos de 500 ha";"39"
"2904753";"Buritirama (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"14"
"2904803";"Caatiba (BA)";"Total";"Total";"De 200 a menos de 500 ha";"38"
"2904803";"Caatiba (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"18"
"2904852";"Cabaceiras do Paraguaçu (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2904852";"Cabaceiras do Paraguaçu (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"2904902";"Cachoeira (BA)";"Total";"Total";"De 200 a menos de 500 ha";"10"
"2904902";"Cachoeira (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2905008";"Caculé (BA)";"Total";"Total";"De 200 a menos de 500 ha";"16"
"2905008";"Caculé (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2905107";"Caém (BA)";"Total";"Total";"De 200 a menos de 500 ha";"24"
"2905107";"Caém (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"2905156";"Caetanos (BA)";"Total";"Total";"De 200 a menos de 500 ha";"14"
"2905156";"Caetanos (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2905206";"Caetité (BA)";"Total";"Total";"De 200 a menos de 500 ha";"25"
"2905206";"Caetité (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"2905305";"Cafarnaum (BA)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"2905305";"Cafarnaum (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"2905404";"Cairu (BA)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"2905404";"Cairu (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2905503";"Caldeirão Grande (BA)";"Total";"Total";"De 200 a menos de 500 ha";"11"
"2905503";"Caldeirão Grande (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2905602";"Camacan (BA)";"Total";"Total";"De 200 a menos de 500 ha";"29"
"2905602";"Camacan (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"2905701";"Camaçari (BA)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"2905701";"Camaçari (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"2905800";"Camamu (BA)";"Total";"Total";"De 200 a menos de 500 ha";"23"
"2905800";"Camamu (BA)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
