"cod_muni";"muni";"var1";"var2";"tipo_estab";"qtd_medios_estabelecimentos"
"1100924";"Chupinguaia (RO)";"Total";"Total";"De 200 a menos de 500 ha";"59"
"1100924";"Chupinguaia (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"24"
"1100940";"Cujubim (RO)";"Total";"Total";"De 200 a menos de 500 ha";"109"
"1100940";"Cujubim (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"28"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"Total";"De 200 a menos de 500 ha";"91"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"13"
"1101104";"Itapuã do Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"53"
"1101104";"Itapuã do Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1101203";"Ministro Andreazza (RO)";"Total";"Total";"De 200 a menos de 500 ha";"30"
"1101203";"Ministro Andreazza (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"11"
"1101302";"Mirante da Serra (RO)";"Total";"Total";"De 200 a menos de 500 ha";"23"
"1101302";"Mirante da Serra (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"4"
"1101401";"Monte Negro (RO)";"Total";"Total";"De 200 a menos de 500 ha";"114"
"1101401";"Monte Negro (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"19"
"1101435";"Nova União (RO)";"Total";"Total";"De 200 a menos de 500 ha";"33"
"1101435";"Nova União (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"1101450";"Parecis (RO)";"Total";"Total";"De 200 a menos de 500 ha";"31"
"1101450";"Parecis (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"15"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"46"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"14"
"1101476";"Primavera de Rondônia (RO)";"Total";"Total";"De 200 a menos de 500 ha";"23"
"1101476";"Primavera de Rondônia (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"1101484";"São Felipe D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"13"
"1101484";"São Felipe D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"1101492";"São Francisco do Guaporé (RO)";"Total";"Total";"De 200 a menos de 500 ha";"164"
"1101492";"São Francisco do Guaporé (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"73"
"1101500";"Seringueiras (RO)";"Total";"Total";"De 200 a menos de 500 ha";"70"
"1101500";"Seringueiras (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"21"
"1101559";"Teixeirópolis (RO)";"Total";"Total";"De 200 a menos de 500 ha";"32"
"1101559";"Teixeirópolis (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"1101609";"Theobroma (RO)";"Total";"Total";"De 200 a menos de 500 ha";"78"
"1101609";"Theobroma (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"28"
"1101708";"Urupá (RO)";"Total";"Total";"De 200 a menos de 500 ha";"16"
"1101708";"Urupá (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1101757";"Vale do Anari (RO)";"Total";"Total";"De 200 a menos de 500 ha";"78"
"1101757";"Vale do Anari (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"16"
"1101807";"Vale do Paraíso (RO)";"Total";"Total";"De 200 a menos de 500 ha";"40"
"1101807";"Vale do Paraíso (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"12"
"1200013";"Acrelândia (AC)";"Total";"Total";"De 200 a menos de 500 ha";"104"
"1200013";"Acrelândia (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"33"
"1200054";"Assis Brasil (AC)";"Total";"Total";"De 200 a menos de 500 ha";"113"
"1200054";"Assis Brasil (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1200104";"Brasiléia (AC)";"Total";"Total";"De 200 a menos de 500 ha";"318"
"1200104";"Brasiléia (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"155"
"1200138";"Bujari (AC)";"Total";"Total";"De 200 a menos de 500 ha";"54"
"1200138";"Bujari (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"18"
"1200179";"Capixaba (AC)";"Total";"Total";"De 200 a menos de 500 ha";"84"
"1200179";"Capixaba (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"19"
"1200203";"Cruzeiro do Sul (AC)";"Total";"Total";"De 200 a menos de 500 ha";"39"
"1200203";"Cruzeiro do Sul (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"1200252";"Epitaciolândia (AC)";"Total";"Total";"De 200 a menos de 500 ha";"170"
"1200252";"Epitaciolândia (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"51"
"1200302";"Feijó (AC)";"Total";"Total";"De 200 a menos de 500 ha";"139"
"1200302";"Feijó (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"31"
"1200328";"Jordão (AC)";"Total";"Total";"De 200 a menos de 500 ha";"4"
"1200328";"Jordão (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1200336";"Mâncio Lima (AC)";"Total";"Total";"De 200 a menos de 500 ha";"17"
"1200336";"Mâncio Lima (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1200344";"Manoel Urbano (AC)";"Total";"Total";"De 200 a menos de 500 ha";"54"
"1200344";"Manoel Urbano (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1200351";"Marechal Thaumaturgo (AC)";"Total";"Total";"De 200 a menos de 500 ha";"1"
"1200351";"Marechal Thaumaturgo (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1200385";"Plácido de Castro (AC)";"Total";"Total";"De 200 a menos de 500 ha";"102"
"1200385";"Plácido de Castro (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"30"
"1200393";"Porto Walter (AC)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"1200393";"Porto Walter (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1200401";"Rio Branco (AC)";"Total";"Total";"De 200 a menos de 500 ha";"278"
"1200401";"Rio Branco (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"154"
"1200427";"Rodrigues Alves (AC)";"Total";"Total";"De 200 a menos de 500 ha";"15"
"1200427";"Rodrigues Alves (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"1200435";"Santa Rosa do Purus (AC)";"Total";"Total";"De 200 a menos de 500 ha";"23"
"1200435";"Santa Rosa do Purus (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1200450";"Senador Guiomard (AC)";"Total";"Total";"De 200 a menos de 500 ha";"90"
"1200450";"Senador Guiomard (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"29"
"1200500";"Sena Madureira (AC)";"Total";"Total";"De 200 a menos de 500 ha";"165"
"1200500";"Sena Madureira (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"48"
"1200609";"Tarauacá (AC)";"Total";"Total";"De 200 a menos de 500 ha";"99"
"1200609";"Tarauacá (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1200708";"Xapuri (AC)";"Total";"Total";"De 200 a menos de 500 ha";"543"
"1200708";"Xapuri (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"217"
"1200807";"Porto Acre (AC)";"Total";"Total";"De 200 a menos de 500 ha";"72"
"1200807";"Porto Acre (AC)";"Total";"Total";"De 500 a menos de 1.000 ha";"15"
"1300029";"Alvarães (AM)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"1300029";"Alvarães (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1300060";"Amaturá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"5"
"1300060";"Amaturá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1300086";"Anamã (AM)";"Total";"Total";"De 200 a menos de 500 ha";"13"
"1300086";"Anamã (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1300102";"Anori (AM)";"Total";"Total";"De 200 a menos de 500 ha";"15"
"1300102";"Anori (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"1300144";"Apuí (AM)";"Total";"Total";"De 200 a menos de 500 ha";"236"
"1300144";"Apuí (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"66"
"1300201";"Atalaia do Norte (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1300201";"Atalaia do Norte (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1300300";"Autazes (AM)";"Total";"Total";"De 200 a menos de 500 ha";"163"
"1300300";"Autazes (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"27"
"1300409";"Barcelos (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1300409";"Barcelos (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1300508";"Barreirinha (AM)";"Total";"Total";"De 200 a menos de 500 ha";"27"
"1300508";"Barreirinha (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"1300607";"Benjamin Constant (AM)";"Total";"Total";"De 200 a menos de 500 ha";"2"
"1300607";"Benjamin Constant (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1300631";"Beruri (AM)";"Total";"Total";"De 200 a menos de 500 ha";"23"
"1300631";"Beruri (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1300680";"Boa Vista do Ramos (AM)";"Total";"Total";"De 200 a menos de 500 ha";"26"
"1300680";"Boa Vista do Ramos (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1300706";"Boca do Acre (AM)";"Total";"Total";"De 200 a menos de 500 ha";"202"
"1300706";"Boca do Acre (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"58"
"1300805";"Borba (AM)";"Total";"Total";"De 200 a menos de 500 ha";"19"
"1300805";"Borba (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"3"
"1300839";"Caapiranga (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1300839";"Caapiranga (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1300904";"Canutama (AM)";"Total";"Total";"De 200 a menos de 500 ha";"68"
"1300904";"Canutama (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"24"
"1301001";"Carauari (AM)";"Total";"Total";"De 200 a menos de 500 ha";"8"
"1301001";"Carauari (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1301100";"Careiro (AM)";"Total";"Total";"De 200 a menos de 500 ha";"45"
"1301100";"Careiro (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"10"
"1301159";"Careiro da Várzea (AM)";"Total";"Total";"De 200 a menos de 500 ha";"50"
"1301159";"Careiro da Várzea (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"1301209";"Coari (AM)";"Total";"Total";"De 200 a menos de 500 ha";"51"
"1301209";"Coari (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"17"
"1301308";"Codajás (AM)";"Total";"Total";"De 200 a menos de 500 ha";"67"
"1301308";"Codajás (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"22"
"1301407";"Eirunepé (AM)";"Total";"Total";"De 200 a menos de 500 ha";"6"
"1301407";"Eirunepé (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1301506";"Envira (AM)";"Total";"Total";"De 200 a menos de 500 ha";"94"
"1301506";"Envira (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"16"
"1301605";"Fonte Boa (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1301605";"Fonte Boa (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1301654";"Guajará (AM)";"Total";"Total";"De 200 a menos de 500 ha";"27"
"1301654";"Guajará (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"13"
"1301704";"Humaitá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"36"
"1301704";"Humaitá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"1301803";"Ipixuna (AM)";"Total";"Total";"De 200 a menos de 500 ha";"37"
"1301803";"Ipixuna (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"5"
"1301852";"Iranduba (AM)";"Total";"Total";"De 200 a menos de 500 ha";"9"
