"id_municipio";"empregos_agro"
2110807;4
2110856;109
2110906;1
2111029;9
2111052;49
2111078;10
2111102;49
2111201;51
2111250;7
2111300;155
2111409;68
2111508;30
2111532;26
2111573;5
2111607;491
2111722;4
2111748;3
2111763;101
2111805;72
2111904;50
2111953;3
2112001;1034
2112100;6
2112209;30
2112233;6
2112274;5
2112308;87
2112407;4
2112456;24
2112605;199
2112704;83
2112803;32
2112852;459
2112902;10
2113009;163
2114007;39
2200053;1
2200103;2
2200202;4
2200301;3
2200400;27
2200459;20
2200608;8
2200806;116
2200905;37
2201101;2
2201150;1425
2201200;17
2201309;104
2201507;15
2201606;5
2201770;5
2201903;438
2201960;12
2202000;66
2202059;1
2202083;186
2202208;48
2202251;7
2202307;200
2202406;1
2202604;18
2202711;19
2202752;2
2202802;1
2202901;90
2203008;8
2203107;5
2203206;11
2203230;288
2203305;10
2203503;145
2203602;3
2203701;35
2203859;1
2203909;73
2204006;4
2204105;2
2204402;116
2204501;192
2204600;1
2204659;10
2204709;5
2205003;2
2205102;19
2205250;1
2205300;71
2205409;6
2205508;48
2205516;1
2205540;1
2205557;5
2205581;33
2205599;1
2205607;8
2205706;120
2205904;19
2206001;34
2206050;1
2206209;51
2206308;19
2206407;104
2206605;257
2206696;3
2206720;17
2206753;8
2206902;1
2207009;15
2207405;65
2207504;19
2207603;99
2207702;463
2207801;1
2207850;29
2207900;1
2208007;26
2208106;1
2208205;21
2208304;72
2208403;12
2208502;5
2208551;3
2208601;1
2208700;11
2208809;127
2208858;59
2208908;325
2209104;1
2209153;1
2209203;290
2209302;28
2209377;13
2209708;1
2209757;21
2209807;30
2209906;3
2209955;1
2210003;5
2210383;4
2210508;13
2210607;1
2210623;3
2210631;427
2210805;1
2210938;1
2210979;3
2211001;583
2211100;83
2211209;1234
2211308;181
2300101;1
2300150;12
2300200;260
2300309;31
2300705;46
2300754;109
2300903;1
2301000;1008
2301109;1350
2301208;29
2301406;2
2301604;2
2301703;1
2301802;1
2301851;3
2301901;248
2301950;23
2302057;58
2302107;13
2302206;1262
2302305;31
2302503;65
2302602;383
2302800;3
2303006;48
2303303;4
2303402;25
2303501;734
2303709;196
2303808;6
2303907;26
2303931;1
2303956;15
2304202;145
2304251;25
2304285;84
2304350;9
2304400;1669
2304459;50
2304657;2
2304707;58
2304905;1
2304954;366
2305001;51
2305100;26
2305209;1
2305233;650
2305266;66
2305308;49
2305332;1
2305357;1638
2305407;13
2305506;237
2305704;2
2305803;1
2305902;1
2306009;5
2306108;23
2306207;44
2306256;36
2306306;6
2306405;56
2306504;3
2306553;263
2306801;13
2306900;120
2307007;441
2307205;3
2307304;17
2307502;2
2307601;1401
2307635;81
2307650;75
2307700;760
2307809;79
2307908;1
2308005;29
2308104;37
2308203;2
2308401;629
2308500;1
2308708;193
2309003;4
2309102;29
2309201;1
2309458;20
2309508;13
2309607;448
2309706;35
2309805;22
2310100;22
2310209;384
2310258;477
2310605;1
2310704;156
2310803;4
2310852;66
2311108;6
2311207;4
2311231;2
2311306;405
2311355;10
2311405;198
2311504;834
2311603;58
2311702;1
2311801;527
2312007;12
2312106;21
2312205;5
2312304;352
2312403;101
2312502;31
2312601;35
2312700;1
2312908;15
2313104;64
2313302;19
2313401;368
2313500;154
2313559;2
2313609;588
2313708;3
2313757;153
2313807;5
2313906;7
2314102;7
2400109;30
2400208;395
2400307;230
2400505;3
2400703;110
2400802;5
2401008;1481
2401107;12
2401206;178
2401305;4
2401404;170
2401453;1732
2401602;3
2401651;6
2401701;5
2401800;32
2401859;105
2401909;3
2402006;41
2402204;1296
2402303;157
2402501;104
2402600;457
2402709;1
2403004;1
2403103;22
2403251;226
2403509;5
2403608;77
2403707;6
2403756;10
2403806;1
2403905;4
2404101;118
2404200;501
2404309;476
2404408;28
2404507;85
2404606;45
2404705;763
2404804;2
2404853;1
2405108;569
2405207;1
2405306;2
2405504;1
2405603;1
2405702;5
2405801;10
2406106;18
2406155;1
2406205;3
2406304;1
2406403;6
2406502;8
2406601;45
2406700;19
2407104;275
2407203;344
2407252;2
2407302;14
2407401;2
2407500;60
2407708;1
2407807;91
2408003;4037
2408102;889
2408201;268
2408300;21
2408706;2
2408805;4
2408904;8
2408953;132
2409100;3
2409209;1
2409332;20
2409407;1
2409506;56
2409704;15
2409803;34
2409902;411
2410108;35
2410207;1
2410256;68
2410306;14
2410405;105
2411056;10
2411205;50
2411403;8
2411429;3
2411502;24
2411601;87
2411700;3
2411809;3
2412005;170
2412203;312
2412500;11
2412559;17
2412609;18
2412708;33
2412807;5
2412906;1
2413003;1
2413102;3
2413201;35
2413300;1
2413359;2
2413409;11
2413508;9
2413706;3
2413904;79
2414001;14
2414100;2
2414159;1
2414209;45
2414308;7
2414407;431
2414456;2
2414605;514
2414704;6
2414803;53
2415008;44
2500304;51
2500403;399
2500502;34
2500577;1
2500601;348
2500700;14
2500734;1
2500775;17
2500809;21
2501005;8
2501104;179
2501500;21
2501575;2
2501609;1
2501708;3
2501807;6
2501906;15
2502102;6
2502151;65
2502409;1
2502508;5
2502706;6
2502805;1
2503001;120
2503100;4
2503209;7
2503308;4
2503506;1
2503605;5
2503704;22
2503803;10
2503902;2
2504009;220
2504033;25
2504074;1
2504157;2
2504207;1
2504306;4
2504355;10
2504504;8
2504603;183
2504850;11
2504900;273
2505105;33
2505204;25
2505238;134
2505279;28
2505303;1
2505402;1
2505600;2
2505709;1
2505808;5
2506004;10
2506103;6
2506301;671
2506400;76
2506707;1
2506806;41
2506905;57
2507002;4
2507101;246
2507200;24
2507309;24
2507408;1
2507507;520
2507606;2
2507705;1
2507903;407
2508208;5
2508307;48
2508554;3
2508604;26
2508802;1
2508901;1041
2509057;19
2509107;30
2509206;12
2509305;474
2509339;1
2509404;43
2509503;157
2509701;10
2509800;63
2509909;2
2510105;2
2510600;2
2510808;50
2510907;4
2511202;1267
2511301;5
2511400;3
2511509;1029
2511608;2
2511707;2
2511806;12
2511905;20
2512002;44
2512077;2
2512101;8
2512200;3
2512309;257
2512408;43
2512507;48
2512606;2
2512705;1
2512754;1
2512762;10
2512804;1
2512903;2002
2513109;24
2513307;9
2513406;8
2513653;1
2513703;2718
2513802;159
2513901;2
2513968;2
2514008;14
2514404;1
2514453;17
2514909;3
2515005;80
2515104;3
2515302;352
2515500;11
2515906;9
2515930;164
2515971;10
2516003;5
2516102;13
2516201;37
2516300;29
2516409;5
2516508;7
2516607;5
2516706;4
2517100;1
2600054;29
2600104;3
2600203;13
2600302;254
2600401;491
2600500;1
2600609;1
2600708;2218
2600807;34
2600906;272
2601003;78
2601052;446
2601102;52
2601201;22
2601300;814
2601409;509
2601508;10
2601607;749
2601706;199
2601805;3
2601904;293
2602001;10
2602100;57
2602209;86
2602308;273
2602407;91
2602605;8
2602704;52
2602803;61
2602902;595
2603009;48
2603108;29
2603207;13
2603306;2
2603454;168
2603504;46
2603603;1
2603702;90
2603801;2
2603926;1
2604007;251
2604106;327
2604205;29
2604403;14
2604502;64
2604601;228
2604700;122
2604809;133
2604908;1
2605103;7
2605152;1
2605202;595
2605301;1
2605400;65
2605459;9
2605509;165
2605707;7
2605806;6
2605905;303
2606002;271
2606101;67
2606200;580
2606408;265
2606507;1
2606606;13
2606804;223
2606903;1
2607000;333
2607208;723
2607406;14
2607604;8
2607653;858
2607703;36
2607752;66
2607802;75
2607901;280
2607950;67
2608008;6
2608057;73
2608107;12
2608206;93
2608255;26
2608305;1
2608404;19
2608453;158
2608503;22
2608701;22
2608750;1319
2608800;170
2608909;236
2609006;217
2609105;462
2609204;55
2609402;1366
2609501;286
2609600;46
2609709;333
2609808;17
2609907;5
2610004;142
2610202;1
2610301;1
2610400;5
2610509;52
2610608;1060
2610707;142
2610806;24
2610905;135
2611002;233
2611101;18951
2611200;12
2611309;199
2611408;67
2611507;24
2611606;2204
2611705;221
2611804;838
2611903;267
2612000;53
2612109;7
2612208;19
2612406;39
2612471;31
2612505;6
2612554;3
2612604;199
2612802;1
2612901;12
2613008;2328
2613107;43
2613206;15
2613305;20
2613404;17
2613503;10
2613602;224
2613701;37
2613800;387
2613909;21
2614006;14
2614105;18
2614204;236
2614501;16
2614600;7
2614709;84
2614808;17
2614857;194
2615003;11
2615300;379
2615508;277
2615607;1
2615706;14
2615904;1
2616001;5
2616100;2
2616183;1
2616209;9
2616308;563
2616407;290
2616506;373
2700102;1
2700201;29
2700300;583
2700409;316
2700508;125
2700607;31
2700706;15
2700805;2
2701001;43
2701100;19
2701209;9
2701308;30
2701357;36
2701407;134
2701506;2
2701605;2
2701704;159
2701803;2
2701902;42
2702009;1
2702108;253
2702207;6
2702306;611
2702355;2
2702405;18
2702504;8
2702603;54
2702702;5
2702801;163
2702900;21
2703007;70
2703106;2
2703205;40
2703403;6
2703502;172
2703601;8
2703700;3
2703759;87
2703809;61
2703908;30
2704005;384
2704104;2
2704203;120
2704302;501
2704401;19
2704500;129
2704609;2
2704708;101
2704807;35
2704906;5
2705101;320
2705200;24
2705408;21
2705507;423
2705606;83
2705705;39
2706109;2
2706307;10
2706406;2
2706448;27
2706505;24
2706604;13
2706703;78
2706802;8
2706901;238
2707008;24
2707107;85
2707305;197
2707404;125
2707503;9
2707602;28
2707701;169
2707909;15
2708006;3
2708105;53
2708204;25
2708303;29
2708501;55
2708600;1553
2708709;19
2708808;118
2708907;11
2708956;1
2709004;19
2709103;9
2709152;110
2709202;1
2709301;266
2709400;604
2800100;2
2800209;78
2800308;606
2800407;151
2800506;247
2800605;29
2800670;187
2800704;34
2801009;71
2801108;15
2801207;48
2801306;2619
2801405;107
2801504;62
2801603;17
2801702;247
2801900;26
2802007;46
2802106;289
2802205;27
2802304;111
2802403;6
2802502;10
2802601;23
2802809;81
2802908;219
2803005;85
2803104;18
2803203;295
2803302;103
2803401;554
2803500;478
2803609;359
2803708;18
2803807;5
2803906;5
2804003;96
2804102;6
2804201;17
2804300;26
2804409;540
2804458;23
2804508;161
2804607;92
2804706;9
2804805;66
2804904;52
2805000;9
2805109;14
2805208;30
2805307;14
2805406;10
2805505;14
2805604;28
2805703;62
2805802;119
2805901;110
2806008;52
2806107;25
2806206;119
2806305;98
2806404;27
2806503;39
2806602;61
2806701;460
2806800;15
2806909;23
2807006;27
2807105;141
2807204;28
2807303;28
2807402;23
2807501;99
2807600;234
2900108;5
2900207;256
2900306;46
2900355;5
2900405;9
2900504;27
2900603;58
2900702;2765
2900801;287
2900900;74
2901007;109
2901106;63
2901155;14
2901205;66
2901304;46
2901353;12
2901403;68
2901502;11
2901601;2
2901700;90
2901809;2
2901908;38
2901957;7
2902005;19
2902054;43
2902104;12
2902203;16
2902252;228
2902302;50
2902401;227
2902500;190
2902609;50
2902708;48
2902807;102
2902906;701
2903102;112
2903201;3568
2903276;1
2903300;116
2903409;323
2903508;21
2903607;81
2903706;30
2903805;80
2903904;698
2904050;186
2904100;2
2904209;1
2904308;23
