"Cód.";"Município";"Grupos de área total";"Arroz em casca";"Milho em grão";"Soja em grão"
"1100148";"Nova Brasilândia D'Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100148";"Nova Brasilândia D'Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"De 200 a menos de 500 ha";"-";"X";"-"
"1100155";"Ouro Preto do Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100189";"Pimenta Bueno (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1100189";"Pimenta Bueno (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100189";"Pimenta Bueno (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100189";"Pimenta Bueno (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100189";"Pimenta Bueno (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100205";"Porto Velho (RO)";"De 200 a menos de 500 ha";"X";"210";"-"
"1100205";"Porto Velho (RO)";"De 500 a menos de 1.000 ha";"X";"46";"-"
"1100205";"Porto Velho (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100205";"Porto Velho (RO)";"De 2.500 a menos de 10.000 ha";"X";"-";"X"
"1100205";"Porto Velho (RO)";"De 10.000 ha e mais";"X";"83";"-"
"1100254";"Presidente Médici (RO)";"De 200 a menos de 500 ha";"X";"70";"-"
"1100254";"Presidente Médici (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100254";"Presidente Médici (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
