"Cód.";"Município";"Grupos de área total";"Arroz em casca";"Milho em grão";"Soja em grão"
"2611507";"Quipapá (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2611533";"Quixaba (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2611533";"Quixaba (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2611533";"Quixaba (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2611533";"Quixaba (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2611533";"Quixaba (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2611606";"Recife (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2611606";"Recife (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2611606";"Recife (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2611606";"Recife (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2611606";"Recife (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2611705";"Riacho das Almas (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2611705";"Riacho das Almas (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2611705";"Riacho das Almas (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2611705";"Riacho das Almas (PE)";"De 2.500 a menos de 10.000 ha";"-";"X";"-"
"2611705";"Riacho das Almas (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2611804";"Ribeirão (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2611804";"Ribeirão (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2611804";"Ribeirão (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2611804";"Ribeirão (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2611804";"Ribeirão (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2611903";"Rio Formoso (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2611903";"Rio Formoso (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2611903";"Rio Formoso (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2611903";"Rio Formoso (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2611903";"Rio Formoso (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612000";"Sairé (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2612000";"Sairé (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612000";"Sairé (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612000";"Sairé (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612000";"Sairé (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612109";"Salgadinho (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2612109";"Salgadinho (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612109";"Salgadinho (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612109";"Salgadinho (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612109";"Salgadinho (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612208";"Salgueiro (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2612208";"Salgueiro (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612208";"Salgueiro (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612208";"Salgueiro (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612208";"Salgueiro (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612307";"Saloá (PE)";"De 200 a menos de 500 ha";"-";"50";"-"
"2612307";"Saloá (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612307";"Saloá (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612307";"Saloá (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612307";"Saloá (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612406";"Sanharó (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2612406";"Sanharó (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612406";"Sanharó (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612406";"Sanharó (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612406";"Sanharó (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612455";"Santa Cruz (PE)";"De 200 a menos de 500 ha";"-";"2";"-"
"2612455";"Santa Cruz (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2612455";"Santa Cruz (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612455";"Santa Cruz (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612455";"Santa Cruz (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612471";"Santa Cruz da Baixa Verde (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2612471";"Santa Cruz da Baixa Verde (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612471";"Santa Cruz da Baixa Verde (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612471";"Santa Cruz da Baixa Verde (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612471";"Santa Cruz da Baixa Verde (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612505";"Santa Cruz do Capibaribe (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2612505";"Santa Cruz do Capibaribe (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612505";"Santa Cruz do Capibaribe (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612505";"Santa Cruz do Capibaribe (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612505";"Santa Cruz do Capibaribe (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612554";"Santa Filomena (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2612554";"Santa Filomena (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612554";"Santa Filomena (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612554";"Santa Filomena (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612554";"Santa Filomena (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612604";"Santa Maria da Boa Vista (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2612604";"Santa Maria da Boa Vista (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612604";"Santa Maria da Boa Vista (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612604";"Santa Maria da Boa Vista (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612604";"Santa Maria da Boa Vista (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612703";"Santa Maria do Cambucá (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2612703";"Santa Maria do Cambucá (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612703";"Santa Maria do Cambucá (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612703";"Santa Maria do Cambucá (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612703";"Santa Maria do Cambucá (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612802";"Santa Terezinha (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2612802";"Santa Terezinha (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612802";"Santa Terezinha (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612802";"Santa Terezinha (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612802";"Santa Terezinha (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2612901";"São Benedito do Sul (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2612901";"São Benedito do Sul (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2612901";"São Benedito do Sul (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2612901";"São Benedito do Sul (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2612901";"São Benedito do Sul (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613008";"São Bento do Una (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2613008";"São Bento do Una (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613008";"São Bento do Una (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613008";"São Bento do Una (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613008";"São Bento do Una (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613107";"São Caitano (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2613107";"São Caitano (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2613107";"São Caitano (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613107";"São Caitano (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613107";"São Caitano (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613206";"São João (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2613206";"São João (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613206";"São João (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613206";"São João (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613206";"São João (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613305";"São Joaquim do Monte (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2613305";"São Joaquim do Monte (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613305";"São Joaquim do Monte (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613305";"São Joaquim do Monte (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613305";"São Joaquim do Monte (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613404";"São José da Coroa Grande (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2613404";"São José da Coroa Grande (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613404";"São José da Coroa Grande (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613404";"São José da Coroa Grande (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613404";"São José da Coroa Grande (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613503";"São José do Belmonte (PE)";"De 200 a menos de 500 ha";"-";"3";"-"
"2613503";"São José do Belmonte (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613503";"São José do Belmonte (PE)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"2613503";"São José do Belmonte (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613503";"São José do Belmonte (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613602";"São José do Egito (PE)";"De 200 a menos de 500 ha";"-";"45";"-"
"2613602";"São José do Egito (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613602";"São José do Egito (PE)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"2613602";"São José do Egito (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613602";"São José do Egito (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613701";"São Lourenço da Mata (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2613701";"São Lourenço da Mata (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613701";"São Lourenço da Mata (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613701";"São Lourenço da Mata (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613701";"São Lourenço da Mata (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613800";"São Vicente Férrer (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2613800";"São Vicente Férrer (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2613800";"São Vicente Férrer (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2613800";"São Vicente Férrer (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2613800";"São Vicente Férrer (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2613909";"Serra Talhada (PE)";"De 200 a menos de 500 ha";"-";"72";"-"
"2613909";"Serra Talhada (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2613909";"Serra Talhada (PE)";"De 1.000 a menos de 2.500 ha";"-";"2";"-"
"2613909";"Serra Talhada (PE)";"De 2.500 a menos de 10.000 ha";"-";"X";"-"
"2613909";"Serra Talhada (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614006";"Serrita (PE)";"De 200 a menos de 500 ha";"-";"93";"-"
"2614006";"Serrita (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2614006";"Serrita (PE)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"2614006";"Serrita (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614006";"Serrita (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614105";"Sertânia (PE)";"De 200 a menos de 500 ha";"-";"10";"-"
"2614105";"Sertânia (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2614105";"Sertânia (PE)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"2614105";"Sertânia (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614105";"Sertânia (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614204";"Sirinhaém (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2614204";"Sirinhaém (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2614204";"Sirinhaém (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614204";"Sirinhaém (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614204";"Sirinhaém (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614303";"Moreilândia (PE)";"De 200 a menos de 500 ha";"-";"2";"-"
"2614303";"Moreilândia (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2614303";"Moreilândia (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614303";"Moreilândia (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614303";"Moreilândia (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614402";"Solidão (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2614402";"Solidão (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2614402";"Solidão (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614402";"Solidão (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614402";"Solidão (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614501";"Surubim (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2614501";"Surubim (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2614501";"Surubim (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614501";"Surubim (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614501";"Surubim (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614600";"Tabira (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2614600";"Tabira (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2614600";"Tabira (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614600";"Tabira (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614600";"Tabira (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614709";"Tacaimbó (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2614709";"Tacaimbó (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2614709";"Tacaimbó (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614709";"Tacaimbó (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614709";"Tacaimbó (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614808";"Tacaratu (PE)";"De 200 a menos de 500 ha";"-";"57";"-"
"2614808";"Tacaratu (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2614808";"Tacaratu (PE)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"2614808";"Tacaratu (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614808";"Tacaratu (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2614857";"Tamandaré (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2614857";"Tamandaré (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2614857";"Tamandaré (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2614857";"Tamandaré (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2614857";"Tamandaré (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615003";"Taquaritinga do Norte (PE)";"De 200 a menos de 500 ha";"-";"20";"-"
"2615003";"Taquaritinga do Norte (PE)";"De 500 a menos de 1.000 ha";"-";"15";"-"
"2615003";"Taquaritinga do Norte (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615003";"Taquaritinga do Norte (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615003";"Taquaritinga do Norte (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615102";"Terezinha (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2615102";"Terezinha (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2615102";"Terezinha (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615102";"Terezinha (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615102";"Terezinha (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615201";"Terra Nova (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2615201";"Terra Nova (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2615201";"Terra Nova (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615201";"Terra Nova (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615201";"Terra Nova (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615300";"Timbaúba (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2615300";"Timbaúba (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2615300";"Timbaúba (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615300";"Timbaúba (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615300";"Timbaúba (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615409";"Toritama (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2615409";"Toritama (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2615409";"Toritama (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615409";"Toritama (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615409";"Toritama (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615508";"Tracunhaém (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2615508";"Tracunhaém (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2615508";"Tracunhaém (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615508";"Tracunhaém (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615508";"Tracunhaém (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615607";"Trindade (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2615607";"Trindade (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2615607";"Trindade (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615607";"Trindade (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615607";"Trindade (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615706";"Triunfo (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2615706";"Triunfo (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2615706";"Triunfo (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615706";"Triunfo (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615706";"Triunfo (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615805";"Tupanatinga (PE)";"De 200 a menos de 500 ha";"-";"12";"-"
"2615805";"Tupanatinga (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2615805";"Tupanatinga (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615805";"Tupanatinga (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615805";"Tupanatinga (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2615904";"Tuparetama (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2615904";"Tuparetama (PE)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2615904";"Tuparetama (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2615904";"Tuparetama (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2615904";"Tuparetama (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616001";"Venturosa (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2616001";"Venturosa (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616001";"Venturosa (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616001";"Venturosa (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616001";"Venturosa (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616100";"Verdejante (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2616100";"Verdejante (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616100";"Verdejante (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616100";"Verdejante (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616100";"Verdejante (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616183";"Vertente do Lério (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2616183";"Vertente do Lério (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616183";"Vertente do Lério (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616183";"Vertente do Lério (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616183";"Vertente do Lério (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616209";"Vertentes (PE)";"De 200 a menos de 500 ha";"-";"X";"-"
"2616209";"Vertentes (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616209";"Vertentes (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616209";"Vertentes (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616209";"Vertentes (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616308";"Vicência (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2616308";"Vicência (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616308";"Vicência (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616308";"Vicência (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616308";"Vicência (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616407";"Vitória de Santo Antão (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2616407";"Vitória de Santo Antão (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616407";"Vitória de Santo Antão (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616407";"Vitória de Santo Antão (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616407";"Vitória de Santo Antão (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2616506";"Xexéu (PE)";"De 200 a menos de 500 ha";"-";"-";"-"
"2616506";"Xexéu (PE)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2616506";"Xexéu (PE)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2616506";"Xexéu (PE)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2616506";"Xexéu (PE)";"De 10.000 ha e mais";"-";"-";"-"
"2700102";"Água Branca (AL)";"De 200 a menos de 500 ha";"-";"39";"-"
"2700102";"Água Branca (AL)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"2700102";"Água Branca (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700102";"Água Branca (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700102";"Água Branca (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700201";"Anadia (AL)";"De 200 a menos de 500 ha";"-";"-";"-"
"2700201";"Anadia (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700201";"Anadia (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700201";"Anadia (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700201";"Anadia (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700300";"Arapiraca (AL)";"De 200 a menos de 500 ha";"-";"X";"-"
"2700300";"Arapiraca (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700300";"Arapiraca (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700300";"Arapiraca (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700300";"Arapiraca (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700409";"Atalaia (AL)";"De 200 a menos de 500 ha";"-";"X";"-"
"2700409";"Atalaia (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700409";"Atalaia (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700409";"Atalaia (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700409";"Atalaia (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700508";"Barra de Santo Antônio (AL)";"De 200 a menos de 500 ha";"-";"-";"-"
"2700508";"Barra de Santo Antônio (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700508";"Barra de Santo Antônio (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700508";"Barra de Santo Antônio (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700508";"Barra de Santo Antônio (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700607";"Barra de São Miguel (AL)";"De 200 a menos de 500 ha";"-";"-";"-"
"2700607";"Barra de São Miguel (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700607";"Barra de São Miguel (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700607";"Barra de São Miguel (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700607";"Barra de São Miguel (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700706";"Batalha (AL)";"De 200 a menos de 500 ha";"-";"X";"-"
"2700706";"Batalha (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700706";"Batalha (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700706";"Batalha (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"2700706";"Batalha (AL)";"De 10.000 ha e mais";"-";"-";"-"
"2700805";"Belém (AL)";"De 200 a menos de 500 ha";"-";"-";"-"
"2700805";"Belém (AL)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"2700805";"Belém (AL)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"2700805";"Belém (AL)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
