"id_municipio","muni","acessos_2019","pop_resid_estimada_2019","acessos_cada_100_mil_hab","class_acessos_100mil_2019"
1300201,"Atalaia do Norte (AM)",33237,19921,166844.033934039,"Muito Baixo"
1300300,"Autazes (AM)",112025,39565,283141.665613547,"Médio Baixo"
1300409,"Barcelos (AM)",48396,27502,175972.65653407,"Muito Baixo"
1300508,"Barreirinha (AM)",54836,32041,171143.222745857,"Muito Baixo"
1300607,"Benjamin Constant (AM)",110529,42984,257139.86599665,"Médio Baixo"
1300631,"Beruri (AM)",18284,19679,92911.2251638803,"Muito Baixo"
1300680,"Boa Vista do Ramos (AM)",40744,19207,212130.993908471,"Baixo"
1300706,"Boca do Acre (AM)",109837,34308,320149.819284132,"Médio Baixo"
1300805,"Borba (AM)",89785,41161,218131.240737591,"Baixo"
1300839,"Caapiranga (AM)",14222,13081,108722.574726703,"Muito Baixo"
1300904,"Canutama (AM)",25737,15629,164674.643291317,"Muito Baixo"
1301001,"Carauari (AM)",74598,28294,263653.071322542,"Médio Baixo"
1301100,"Careiro (AM)",75108,37869,198336.370118038,"Baixo"
1301159,"Careiro da Várzea (AM)",31936,30225,105660.876757651,"Muito Baixo"
1301209,"Coari (AM)",669263,85097,786470.733398357,"Muito Alto"
1301308,"Codajás (AM)",29780,28637,103991.339874987,"Muito Baixo"
1301407,"Eirunepé (AM)",96829,35273,274513.083661724,"Médio Baixo"
1301506,"Envira (AM)",49812,20033,248649.727948884,"Médio Baixo"
1301605,"Fonte Boa (AM)",49869,17609,283201.771821228,"Médio Baixo"
1301654,"Guajará (AM)",17111,16678,102596.234560499,"Muito Baixo"
1301704,"Humaitá (AM)",890063,55080,1615945.89687727,"Muito Alto"
1301803,"Ipixuna (AM)",32989,29689,111115.227862171,"Muito Baixo"
1301852,"Iranduba (AM)",154728,48296,320374.358124896,"Médio Baixo"
1301902,"Itacoatiara (AM)",460663,101337,454585.19593041,"Médio Alto"
1301951,"Itamarati (AM)",23305,7851,296841.166730353,"Médio Baixo"
1302009,"Itapiranga (AM)",35195,9148,384728.902492348,"Médio Alto"
1302108,"Japurá (AM)",18816,2755,682976.406533575,"Muito Alto"
1302207,"Juruá (AM)",30279,14712,205811.582381729,"Baixo"
1302306,"Jutaí (AM)",50203,14317,350653.069777188,"Médio Alto"
1302405,"Lábrea (AM)",112837,46069,244930.430441295,"Médio Baixo"
1302504,"Manacapuru (AM)",498548,97377,511977.160931226,"Alto"
1302553,"Manaquiri (AM)",48086,32105,149777.293256502,"Muito Baixo"
1302603,"Manaus (AM)",22761036,2182763,1042762.59034994,"Muito Alto"
1302702,"Manicoré (AM)",116891,55751,209666.194328353,"Baixo"
1302801,"Maraã (AM)",29484,18224,161786.654960492,"Muito Baixo"
1302900,"Maués (AM)",151019,63905,236317.971989672,"Baixo"
1303007,"Nhamundá (AM)",39324,21173,185727.105275587,"Baixo"
1303106,"Nova Olinda do Norte (AM)",98037,37378,262285.30151426,"Médio Baixo"
1303205,"Novo Airão (AM)",59774,19454,307258.147424694,"Médio Baixo"
1303304,"Novo Aripuanã (AM)",45826,25644,178700.670722196,"Baixo"
1303403,"Parintins (AM)",420885,114273,368315.350082697,"Médio Alto"
1303502,"Pauini (AM)",29387,19426,151276.639555235,"Muito Baixo"
1303536,"Presidente Figueiredo (AM)",143117,36279,394489.925301138,"Médio Alto"
1303569,"Rio Preto da Eva (AM)",91550,33347,274537.439649744,"Médio Baixo"
1303601,"Santa Isabel do Rio Negro (AM)",27065,25156,107588.646843695,"Muito Baixo"
1303700,"Santo Antônio do Içá (AM)",45996,21602,212924.729191741,"Baixo"
1303809,"São Gabriel da Cachoeira (AM)",165261,45564,362700.816434027,"Médio Alto"
1303908,"São Paulo de Olivença (AM)",61651,39299,156876.765312094,"Muito Baixo"
1303957,"São Sebastião do Uatumã (AM)",24874,14020,177417.974322397,"Muito Baixo"
1304005,"Silves (AM)",25343,9171,276338.458183404,"Médio Baixo"
1304062,"Tabatinga (AM)",238720,65844,362553.915314987,"Médio Alto"
1304104,"Tapauá (AM)",38305,17156,223274.656096992,"Baixo"
1304203,"Tefé (AM)",279247,59849,466585.907868135,"Médio Alto"
1304237,"Tonantins (AM)",36846,18755,196459.610770461,"Baixo"
1304260,"Uarini (AM)",35738,13540,263943.870014771,"Médio Baixo"
1304302,"Urucará (AM)",42722,16256,262807.578740157,"Médio Baixo"
1304401,"Urucurituba (AM)",51463,23065,223121.612833297,"Baixo"
1400027,"Amajari (RR)",15865,12796,123984.057517974,"Muito Baixo"
1400050,"Alto Alegre (RR)",42791,15510,275892.972275951,"Médio Baixo"
1400100,"Boa Vista (RR)",3847036,399213,963654.991195176,"Muito Alto"
1400159,"Bonfim (RR)",26746,12409,215537.110161979,"Baixo"
1400175,"Cantá (RR)",23585,18335,128633.760567221,"Muito Baixo"
1400209,"Caracaraí (RR)",73411,21926,334812.551308948,"Médio Baixo"
1400233,"Caroebe (RR)",37987,10169,373556.888582948,"Médio Alto"
1400282,"Iracema (RR)",28653,11950,239774.058577406,"Baixo"
1400308,"Mucajaí (RR)",63745,17853,357054.83672212,"Médio Alto"
1400407,"Normandia (RR)",22124,11290,195961.027457927,"Baixo"
1400456,"Pacaraima (RR)",46127,17401,265082.466524912,"Médio Baixo"
1400472,"Rorainópolis (RR)",104748,30163,347273.149222557,"Médio Alto"
