"","cod_muni","muni","qtd_cabecas_de_gado_2019","class_gado_2019"
"438",1720655,"Silvanópolis (TO)",32276,"Médio Baixo"
"439",1720804,"Sítio Novo do Tocantins (TO)",36536,"Médio Baixo"
"440",1720853,"Sucupira (TO)",53469,"Médio Alto"
"441",1720903,"Taguatinga (TO)",99320,"Médio Alto"
"442",1720937,"Taipas do Tocantins (TO)",19980,"Médio Baixo"
"443",1720978,"Talismã (TO)",109109,"Médio Alto"
"444",1721000,"Palmas (TO)",27634,"Médio Baixo"
"445",1721109,"Tocantínia (TO)",14701,"Baixo"
"446",1721208,"Tocantinópolis (TO)",19959,"Médio Baixo"
"447",1721257,"Tupirama (TO)",16432,"Médio Baixo"
"448",1721307,"Tupiratins (TO)",14816,"Baixo"
"449",1722081,"Wanderlândia (TO)",26099,"Médio Baixo"
"450",1722107,"Xambioá (TO)",91106,"Médio Alto"
"451",2100055,"Açailândia (MA)",336631,"Muito Alto"
"452",2100204,"Alcântara (MA)",4221,"Baixo"
"453",2100402,"Altamira do Maranhão (MA)",39340,"Médio Baixo"
"454",2100436,"Alto Alegre do Maranhão (MA)",17865,"Médio Baixo"
"455",2100477,"Alto Alegre do Pindaré (MA)",57110,"Médio Alto"
"456",2100501,"Alto Parnaíba (MA)",44756,"Médio Baixo"
"457",2100550,"Amapá do Maranhão (MA)",11980,"Baixo"
"458",2100600,"Amarante do Maranhão (MA)",274460,"Alto"
"459",2100709,"Anajatuba (MA)",52970,"Médio Alto"
"460",2100832,"Apicum-Açu (MA)",2303,"Muito Baixo"
"461",2100873,"Araguanã (MA)",20295,"Médio Baixo"
"462",2100956,"Arame (MA)",149348,"Alto"
"463",2101004,"Arari (MA)",33680,"Médio Baixo"
"464",2101103,"Axixá (MA)",479,"Muito Baixo"
"465",2101202,"Bacabal (MA)",115127,"Médio Alto"
"466",2101251,"Bacabeira (MA)",5380,"Baixo"
"467",2101301,"Bacuri (MA)",4740,"Baixo"
"468",2101350,"Bacurituba (MA)",6743,"Baixo"
"469",2101400,"Balsas (MA)",74980,"Médio Alto"
"470",2101608,"Barra do Corda (MA)",134125,"Médio Alto"
"471",2101772,"Bela Vista do Maranhão (MA)",7485,"Baixo"
"472",2101806,"Benedito Leite (MA)",13987,"Baixo"
"473",2101905,"Bequimão (MA)",7392,"Baixo"
"474",2101939,"Bernardo do Mearim (MA)",19794,"Médio Baixo"
"475",2101970,"Boa Vista do Gurupi (MA)",7835,"Baixo"
"476",2102002,"Bom Jardim (MA)",156258,"Alto"
"477",2102036,"Bom Jesus das Selvas (MA)",133838,"Médio Alto"
"478",2102077,"Bom Lugar (MA)",53821,"Médio Alto"
"479",2102150,"Brejo de Areia (MA)",26554,"Médio Baixo"
"480",2102309,"Buriti Bravo (MA)",31876,"Médio Baixo"
"481",2102325,"Buriticupu (MA)",140017,"Alto"
"482",2102358,"Buritirana (MA)",67912,"Médio Alto"
"483",2102374,"Cachoeira Grande (MA)",1320,"Muito Baixo"
"484",2102408,"Cajapió (MA)",5095,"Baixo"
"485",2102507,"Cajari (MA)",14230,"Baixo"
"486",2102556,"Campestre do Maranhão (MA)",49360,"Médio Baixo"
"487",2102606,"Cândido Mendes (MA)",4922,"Baixo"
"488",2102705,"Cantanhede (MA)",7650,"Baixo"
"489",2102754,"Capinzal do Norte (MA)",25873,"Médio Baixo"
"490",2102804,"Carolina (MA)",106588,"Médio Alto"
"491",2102903,"Carutapera (MA)",11835,"Baixo"
"492",2103000,"Caxias (MA)",35940,"Médio Baixo"
"493",2103109,"Cedral (MA)",760,"Muito Baixo"
"494",2103125,"Central do Maranhão (MA)",2711,"Baixo"
"495",2103158,"Centro do Guilherme (MA)",24216,"Médio Baixo"
"496",2103174,"Centro Novo do Maranhão (MA)",87937,"Médio Alto"
"497",2103257,"Cidelândia (MA)",98507,"Médio Alto"
"498",2103307,"Codó (MA)",112530,"Médio Alto"
"499",2103505,"Colinas (MA)",75156,"Médio Alto"
"500",2103554,"Conceição do Lago-Açu (MA)",18111,"Médio Baixo"
"501",2103604,"Coroatá (MA)",45590,"Médio Baixo"
"502",2103703,"Cururupu (MA)",1700,"Muito Baixo"
"503",2103752,"Davinópolis (MA)",19981,"Médio Baixo"
"504",2103802,"Dom Pedro (MA)",20825,"Médio Baixo"
"505",2104008,"Esperantinópolis (MA)",18820,"Médio Baixo"
"506",2104057,"Estreito (MA)",124323,"Médio Alto"
"507",2104073,"Feira Nova do Maranhão (MA)",73416,"Médio Alto"
"508",2104081,"Fernando Falcão (MA)",21324,"Médio Baixo"
"509",2104099,"Formosa da Serra Negra (MA)",132612,"Médio Alto"
"510",2104107,"Fortaleza dos Nogueiras (MA)",77450,"Médio Alto"
"511",2104206,"Fortuna (MA)",35100,"Médio Baixo"
"512",2104305,"Godofredo Viana (MA)",3101,"Baixo"
"513",2104404,"Gonçalves Dias (MA)",37036,"Médio Baixo"
"514",2104503,"Governador Archer (MA)",31944,"Médio Baixo"
"515",2104552,"Governador Edison Lobão (MA)",39128,"Médio Baixo"
"516",2104602,"Governador Eugênio Barros (MA)",26698,"Médio Baixo"
"517",2104628,"Governador Luiz Rocha (MA)",12298,"Baixo"
"518",2104651,"Governador Newton Bello (MA)",49398,"Médio Baixo"
"519",2104677,"Governador Nunes Freire (MA)",23341,"Médio Baixo"
"520",2104701,"Graça Aranha (MA)",9452,"Baixo"
"521",2104800,"Grajaú (MA)",193648,"Alto"
"522",2104909,"Guimarães (MA)",2070,"Muito Baixo"
"523",2105104,"Icatu (MA)",810,"Muito Baixo"
"524",2105153,"Igarapé do Meio (MA)",24010,"Médio Baixo"
"525",2105203,"Igarapé Grande (MA)",23460,"Médio Baixo"
"526",2105302,"Imperatriz (MA)",78967,"Médio Alto"
"527",2105351,"Itaipava do Grajaú (MA)",31743,"Médio Baixo"
"528",2105401,"Itapecuru Mirim (MA)",17238,"Médio Baixo"
"529",2105427,"Itinga do Maranhão (MA)",110568,"Médio Alto"
"530",2105450,"Jatobá (MA)",20125,"Médio Baixo"
"531",2105476,"Jenipapo dos Vieiras (MA)",65426,"Médio Alto"
"532",2105500,"João Lisboa (MA)",89892,"Médio Alto"
"533",2105609,"Joselândia (MA)",15046,"Baixo"
"534",2105658,"Junco do Maranhão (MA)",28765,"Médio Baixo"
"535",2105708,"Lago da Pedra (MA)",95680,"Médio Alto"
"536",2105807,"Lago do Junco (MA)",11886,"Baixo"
"537",2105906,"Lago Verde (MA)",48753,"Médio Baixo"
"538",2105948,"Lago dos Rodrigues (MA)",14688,"Baixo"
"539",2105963,"Lagoa Grande do Maranhão (MA)",36600,"Médio Baixo"
"540",2105989,"Lajeado Novo (MA)",51021,"Médio Alto"
"541",2106003,"Lima Campos (MA)",8068,"Baixo"
"542",2106102,"Loreto (MA)",34560,"Médio Baixo"
"543",2106201,"Luís Domingues (MA)",4756,"Baixo"
"544",2106326,"Maracaçumé (MA)",32081,"Médio Baixo"
"545",2106359,"Marajá do Sena (MA)",40280,"Médio Baixo"
"546",2106375,"Maranhãozinho (MA)",34572,"Médio Baixo"
"547",2106508,"Matinha (MA)",19430,"Médio Baixo"
"548",2106631,"Matões do Norte (MA)",17312,"Médio Baixo"
"549",2106706,"Mirador (MA)",43124,"Médio Baixo"
"550",2106755,"Miranda do Norte (MA)",23576,"Médio Baixo"
"551",2106805,"Mirinzal (MA)",2453,"Baixo"
"552",2106904,"Monção (MA)",43530,"Médio Baixo"
"553",2107001,"Montes Altos (MA)",46154,"Médio Baixo"
"554",2107100,"Morros (MA)",1215,"Muito Baixo"
"555",2107258,"Nova Colinas (MA)",38881,"Médio Baixo"
"556",2107308,"Nova Iorque (MA)",8867,"Baixo"
"557",2107357,"Nova Olinda do Maranhão (MA)",38471,"Médio Baixo"
"558",2107407,"Olho d'Água das Cunhãs (MA)",67723,"Médio Alto"
"559",2107456,"Olinda Nova do Maranhão (MA)",7980,"Baixo"
"560",2107506,"Paço do Lumiar (MA)",775,"Muito Baixo"
"561",2107605,"Palmeirândia (MA)",4814,"Baixo"
"562",2107704,"Paraibano (MA)",20966,"Médio Baixo"
"563",2108009,"Pastos Bons (MA)",25467,"Médio Baixo"
"564",2108108,"Paulo Ramos (MA)",45990,"Médio Baixo"
"565",2108207,"Pedreiras (MA)",21161,"Médio Baixo"
"566",2108256,"Pedro do Rosário (MA)",22272,"Médio Baixo"
"567",2108306,"Penalva (MA)",13140,"Baixo"
"568",2108405,"Peri Mirim (MA)",3801,"Baixo"
"569",2108454,"Peritoró (MA)",32720,"Médio Baixo"
"570",2108504,"Pindaré-Mirim (MA)",12765,"Baixo"
"571",2108603,"Pinheiro (MA)",32098,"Médio Baixo"
"572",2108702,"Pio XII (MA)",33429,"Médio Baixo"
"573",2108801,"Pirapemas (MA)",13426,"Baixo"
"574",2108900,"Poção de Pedras (MA)",51243,"Médio Alto"
"575",2109007,"Porto Franco (MA)",91843,"Médio Alto"
"576",2109056,"Porto Rico do Maranhão (MA)",1161,"Muito Baixo"
"577",2109106,"Presidente Dutra (MA)",64890,"Médio Alto"
"578",2109205,"Presidente Juscelino (MA)",936,"Muito Baixo"
"579",2109239,"Presidente Médici (MA)",27929,"Médio Baixo"
"580",2109270,"Presidente Sarney (MA)",5179,"Baixo"
"581",2109304,"Presidente Vargas (MA)",1322,"Muito Baixo"
"582",2109452,"Raposa (MA)",530,"Muito Baixo"
"583",2109502,"Riachão (MA)",116061,"Médio Alto"
"584",2109551,"Ribamar Fiquene (MA)",54998,"Médio Alto"
"585",2109601,"Rosário (MA)",1095,"Muito Baixo"
"586",2109700,"Sambaíba (MA)",23123,"Médio Baixo"
"587",2109759,"Santa Filomena do Maranhão (MA)",21168,"Médio Baixo"
"588",2109809,"Santa Helena (MA)",14133,"Baixo"
"589",2109908,"Santa Inês (MA)",67840,"Médio Alto"
"590",2110005,"Santa Luzia (MA)",244789,"Alto"
"591",2110039,"Santa Luzia do Paruá (MA)",58225,"Médio Alto"
"592",2110203,"Santa Rita (MA)",17325,"Médio Baixo"
"593",2110302,"Santo Antônio dos Lopes (MA)",20531,"Médio Baixo"
"594",2110500,"São Bento (MA)",5214,"Baixo"
"595",2110658,"São Domingos do Azeitão (MA)",7871,"Baixo"
"596",2110708,"São Domingos do Maranhão (MA)",58692,"Médio Alto"
"597",2110807,"São Félix de Balsas (MA)",15835,"Médio Baixo"
"598",2110856,"São Francisco do Brejão (MA)",65456,"Médio Alto"
"599",2111003,"São João Batista (MA)",12890,"Baixo"
"600",2111029,"São João do Carú (MA)",40836,"Médio Baixo"
"601",2111052,"São João do Paraíso (MA)",104159,"Médio Alto"
"602",2111078,"São João do Soter (MA)",10540,"Baixo"
"603",2111201,"São José de Ribamar (MA)",1007,"Muito Baixo"
"604",2111250,"São José dos Basílios (MA)",16075,"Médio Baixo"
"605",2111300,"São Luís (MA)",1073,"Muito Baixo"
"606",2111409,"São Luís Gonzaga do Maranhão (MA)",74470,"Médio Alto"
"607",2111508,"São Mateus do Maranhão (MA)",39654,"Médio Baixo"
"608",2111532,"São Pedro da Água Branca (MA)",25978,"Médio Baixo"
"609",2111573,"São Pedro dos Crentes (MA)",60690,"Médio Alto"
"610",2111607,"São Raimundo das Mangabeiras (MA)",36157,"Médio Baixo"
"611",2111631,"São Raimundo do Doca Bezerra (MA)",7335,"Baixo"
"612",2111672,"São Roberto (MA)",6897,"Baixo"
"613",2111706,"São Vicente Ferrer (MA)",7238,"Baixo"
"614",2111722,"Satubinha (MA)",23184,"Médio Baixo"
"615",2111748,"Senador Alexandre Costa (MA)",15392,"Baixo"
"616",2111763,"Senador La Rocque (MA)",91156,"Médio Alto"
"617",2111789,"Serrano do Maranhão (MA)",6049,"Baixo"
"618",2111805,"Sítio Novo (MA)",144845,"Alto"
"619",2111904,"Sucupira do Norte (MA)",17231,"Médio Baixo"
"620",2112001,"Tasso Fragoso (MA)",18978,"Médio Baixo"
"621",2112100,"Timbiras (MA)",9330,"Baixo"
"622",2112233,"Trizidela do Vale (MA)",12120,"Baixo"
"623",2112274,"Tufilândia (MA)",15129,"Baixo"
"624",2112308,"Tuntum (MA)",129972,"Médio Alto"
"625",2112407,"Turiaçu (MA)",10907,"Baixo"
"626",2112456,"Turilândia (MA)",29982,"Médio Baixo"
"627",2112704,"Vargem Grande (MA)",18332,"Médio Baixo"
"628",2112803,"Viana (MA)",19520,"Médio Baixo"
"629",2112852,"Vila Nova dos Martírios (MA)",77590,"Médio Alto"
"630",2112902,"Vitória do Mearim (MA)",25230,"Médio Baixo"
"631",2113009,"Vitorino Freire (MA)",87320,"Médio Alto"
"632",2114007,"Zé Doca (MA)",134506,"Médio Alto"
"633",5100102,"Acorizal (MT)",51867,"Médio Alto"
"634",5100201,"Água Boa (MT)",341049,"Muito Alto"
"635",5100250,"Alta Floresta (MT)",885799,"Muito Alto"
"636",5100300,"Alto Araguaia (MT)",181694,"Alto"
"637",5100359,"Alto Boa Vista (MT)",48285,"Médio Baixo"
"638",5100409,"Alto Garças (MT)",81779,"Médio Alto"
"639",5100508,"Alto Paraguai (MT)",79598,"Médio Alto"
"640",5100607,"Alto Taquari (MT)",14742,"Baixo"
"641",5100805,"Apiacás (MT)",283562,"Alto"
"642",5101001,"Araguaiana (MT)",301023,"Alto"
"643",5101209,"Araguainha (MT)",25982,"Médio Baixo"
"644",5101258,"Araputanga (MT)",215466,"Alto"
"645",5101308,"Arenápolis (MT)",41385,"Médio Baixo"
"646",5101407,"Aripuanã (MT)",540578,"Muito Alto"
"647",5101605,"Barão de Melgaço (MT)",198177,"Alto"
"648",5101704,"Barra do Bugres (MT)",271204,"Alto"
"649",5101803,"Barra do Garças (MT)",444302,"Muito Alto"
"650",5101852,"Bom Jesus do Araguaia (MT)",161507,"Alto"
"651",5101902,"Brasnorte (MT)",443568,"Muito Alto"
"652",5102504,"Cáceres (MT)",1113131,"Muito Alto"
"653",5102603,"Campinápolis (MT)",263321,"Alto"
"654",5102637,"Campo Novo do Parecis (MT)",144241,"Alto"
"655",5102678,"Campo Verde (MT)",122054,"Médio Alto"
"656",5102686,"Campos de Júlio (MT)",75443,"Médio Alto"
"657",5102694,"Canabrava do Norte (MT)",180758,"Alto"
"658",5102702,"Canarana (MT)",290872,"Alto"
"659",5102793,"Carlinda (MT)",278716,"Alto"
"660",5102850,"Castanheira (MT)",404205,"Muito Alto"
"661",5103007,"Chapada dos Guimarães (MT)",139227,"Alto"
"662",5103056,"Cláudia (MT)",50415,"Médio Alto"
"663",5103106,"Cocalinho (MT)",468445,"Muito Alto"
"664",5103205,"Colíder (MT)",369586,"Muito Alto"
"665",5103254,"Colniza (MT)",642741,"Muito Alto"
"666",5103304,"Comodoro (MT)",366939,"Muito Alto"
"667",5103353,"Confresa (MT)",409526,"Muito Alto"
"668",5103361,"Conquista D'Oeste (MT)",81392,"Médio Alto"
"669",5103379,"Cotriguaçu (MT)",397055,"Muito Alto"
"670",5103403,"Cuiabá (MT)",94912,"Médio Alto"
"671",5103437,"Curvelândia (MT)",61752,"Médio Alto"
"672",5103452,"Denise (MT)",81519,"Médio Alto"
"673",5103502,"Diamantino (MT)",112034,"Médio Alto"
"674",5103601,"Dom Aquino (MT)",104919,"Médio Alto"
"675",5103700,"Feliz Natal (MT)",33408,"Médio Baixo"
"676",5103809,"Figueirópolis D'Oeste (MT)",182528,"Alto"
"677",5103858,"Gaúcha do Norte (MT)",174006,"Alto"
"678",5103908,"General Carneiro (MT)",86101,"Médio Alto"
"679",5103957,"Glória D'Oeste (MT)",102576,"Médio Alto"
"680",5104104,"Guarantã do Norte (MT)",350512,"Muito Alto"
"681",5104203,"Guiratinga (MT)",196213,"Alto"
"682",5104500,"Indiavaí (MT)",72897,"Médio Alto"
"683",5104526,"Ipiranga do Norte (MT)",14243,"Baixo"
"684",5104542,"Itanhangá (MT)",50206,"Médio Baixo"
"685",5104559,"Itaúba (MT)",115794,"Médio Alto"
"686",5104609,"Itiquira (MT)",296220,"Alto"
"687",5104807,"Jaciara (MT)",89289,"Médio Alto"
"688",5104906,"Jangada (MT)",90823,"Médio Alto"
"689",5105002,"Jauru (MT)",195396,"Alto"
"690",5105101,"Juara (MT)",992012,"Muito Alto"
"691",5105150,"Juína (MT)",807015,"Muito Alto"
"692",5105176,"Juruena (MT)",221099,"Alto"
"693",5105200,"Juscimeira (MT)",175382,"Alto"
"694",5105234,"Lambari D'Oeste (MT)",163754,"Alto"
"695",5105259,"Lucas do Rio Verde (MT)",37298,"Médio Baixo"
"696",5105309,"Luciara (MT)",43268,"Médio Baixo"
"697",5105507,"Vila Bela da Santíssima Trindade (MT)",1163870,"Muito Alto"
"698",5105580,"Marcelândia (MT)",193128,"Alto"
"699",5105606,"Matupá (MT)",229947,"Alto"
"700",5105622,"Mirassol d'Oeste (MT)",184926,"Alto"
"701",5105903,"Nobres (MT)",111730,"Médio Alto"
"702",5106000,"Nortelândia (MT)",55365,"Médio Alto"
"703",5106109,"Nossa Senhora do Livramento (MT)",188840,"Alto"
"704",5106158,"Nova Bandeirantes (MT)",505044,"Muito Alto"
"705",5106174,"Nova Nazaré (MT)",94594,"Médio Alto"
"706",5106182,"Nova Lacerda (MT)",352897,"Muito Alto"
"707",5106190,"Nova Santa Helena (MT)",139335,"Alto"
"708",5106208,"Nova Brasilândia (MT)",138962,"Alto"
"709",5106216,"Nova Canaã do Norte (MT)",418051,"Muito Alto"
"710",5106224,"Nova Mutum (MT)",117951,"Médio Alto"
"711",5106232,"Nova Olímpia (MT)",93283,"Médio Alto"
"712",5106240,"Nova Ubiratã (MT)",91268,"Médio Alto"
"713",5106257,"Nova Xavantina (MT)",373036,"Muito Alto"
"714",5106265,"Novo Mundo (MT)",392069,"Muito Alto"
"715",5106273,"Novo Horizonte do Norte (MT)",106221,"Médio Alto"
"716",5106281,"Novo São Joaquim (MT)",265560,"Alto"
"717",5106299,"Paranaíta (MT)",460041,"Muito Alto"
"718",5106307,"Paranatinga (MT)",434712,"Muito Alto"
"719",5106315,"Novo Santo Antônio (MT)",58535,"Médio Alto"
"720",5106372,"Pedra Preta (MT)",345702,"Muito Alto"
"721",5106422,"Peixoto de Azevedo (MT)",327436,"Muito Alto"
"722",5106455,"Planalto da Serra (MT)",92567,"Médio Alto"
"723",5106505,"Poconé (MT)",518687,"Muito Alto"
"724",5106653,"Pontal do Araguaia (MT)",130162,"Médio Alto"
"725",5106703,"Ponte Branca (MT)",26214,"Médio Baixo"
"726",5106752,"Pontes e Lacerda (MT)",679883,"Muito Alto"
"727",5106778,"Porto Alegre do Norte (MT)",166007,"Alto"
"728",5106802,"Porto dos Gaúchos (MT)",124843,"Médio Alto"
"729",5106828,"Porto Esperidião (MT)",741411,"Muito Alto"
"730",5106851,"Porto Estrela (MT)",161777,"Alto"
"731",5107008,"Poxoréu (MT)",349924,"Muito Alto"
"732",5107040,"Primavera do Leste (MT)",79308,"Médio Alto"
"733",5107065,"Querência (MT)",103179,"Médio Alto"
"734",5107107,"São José dos Quatro Marcos (MT)",215913,"Alto"
"735",5107156,"Reserva do Cabaçal (MT)",38442,"Médio Baixo"
"736",5107180,"Ribeirão Cascalheira (MT)",280049,"Alto"
"737",5107198,"Ribeirãozinho (MT)",33156,"Médio Baixo"
"738",5107206,"Rio Branco (MT)",69843,"Médio Alto"
"739",5107248,"Santa Carmem (MT)",30280,"Médio Baixo"
"740",5107263,"Santo Afonso (MT)",132048,"Médio Alto"
"741",5107297,"São José do Povo (MT)",80926,"Médio Alto"
"742",5107305,"São José do Rio Claro (MT)",127905,"Médio Alto"
"743",5107354,"São José do Xingu (MT)",285905,"Alto"
"744",5107404,"São Pedro da Cipa (MT)",9158,"Baixo"
"745",5107578,"Rondolândia (MT)",295528,"Alto"
"746",5107602,"Rondonópolis (MT)",382487,"Muito Alto"
"747",5107701,"Rosário Oeste (MT)",213886,"Alto"
"748",5107743,"Santa Cruz do Xingu (MT)",123889,"Médio Alto"
"749",5107750,"Salto do Céu (MT)",170883,"Alto"
"750",5107768,"Santa Rita do Trivelato (MT)",35607,"Médio Baixo"
"751",5107776,"Santa Terezinha (MT)",200684,"Alto"
"752",5107792,"Santo Antônio do Leste (MT)",47367,"Médio Baixo"
"753",5107800,"Santo Antônio do Leverger (MT)",524842,"Muito Alto"
"754",5107859,"São Félix do Araguaia (MT)",259622,"Alto"
"755",5107875,"Sapezal (MT)",135776,"Médio Alto"
"756",5107883,"Serra Nova Dourada (MT)",100569,"Médio Alto"
"757",5107909,"Sinop (MT)",62691,"Médio Alto"
"758",5107925,"Sorriso (MT)",70460,"Médio Alto"
"759",5107941,"Tabaporã (MT)",183902,"Alto"
"760",5107958,"Tangará da Serra (MT)",341981,"Muito Alto"
"761",5108006,"Tapurah (MT)",42647,"Médio Baixo"
"762",5108055,"Terra Nova do Norte (MT)",270567,"Alto"
"763",5108105,"Tesouro (MT)",99034,"Médio Alto"
"764",5108204,"Torixoréu (MT)",168681,"Alto"
"765",5108303,"União do Sul (MT)",37057,"Médio Baixo"
"766",5108352,"Vale de São Domingos (MT)",136654,"Alto"
"767",5108402,"Várzea Grande (MT)",27439,"Médio Baixo"
"768",5108501,"Vera (MT)",31688,"Médio Baixo"
"769",5108600,"Vila Rica (MT)",604463,"Muito Alto"
"770",5108808,"Nova Guarita (MT)",153503,"Alto"
"771",5108857,"Nova Marilândia (MT)",94377,"Médio Alto"
"772",5108907,"Nova Maringá (MT)",84033,"Médio Alto"
"773",5108956,"Nova Monte Verde (MT)",398639,"Muito Alto"
