"","cod_muni","muni","qtd_cabecas_de_gado_2019","class_gado_2019"
"102",1301852,"Iranduba (AM)",4252,"Baixo"
"103",1301902,"Itacoatiara (AM)",50565,"Médio Alto"
"104",1301951,"Itamarati (AM)",1036,"Muito Baixo"
"105",1302009,"Itapiranga (AM)",3587,"Baixo"
"106",1302108,"Japurá (AM)",897,"Muito Baixo"
"107",1302207,"Juruá (AM)",1220,"Muito Baixo"
"108",1302306,"Jutaí (AM)",728,"Muito Baixo"
"109",1302405,"Lábrea (AM)",318676,"Muito Alto"
"110",1302504,"Manacapuru (AM)",16251,"Médio Baixo"
"111",1302553,"Manaquiri (AM)",8908,"Baixo"
"112",1302603,"Manaus (AM)",4479,"Baixo"
"113",1302702,"Manicoré (AM)",123722,"Médio Alto"
"114",1302801,"Maraã (AM)",1240,"Muito Baixo"
"115",1302900,"Maués (AM)",21183,"Médio Baixo"
"116",1303007,"Nhamundá (AM)",21902,"Médio Baixo"
"117",1303106,"Nova Olinda do Norte (AM)",7221,"Baixo"
"118",1303205,"Novo Airão (AM)",326,"Muito Baixo"
"119",1303304,"Novo Aripuanã (AM)",40948,"Médio Baixo"
"120",1303403,"Parintins (AM)",48792,"Médio Baixo"
"121",1303502,"Pauini (AM)",10070,"Baixo"
"122",1303536,"Presidente Figueiredo (AM)",9945,"Baixo"
"123",1303569,"Rio Preto da Eva (AM)",4703,"Baixo"
"124",1303601,"Santa Isabel do Rio Negro (AM)",150,"Muito Baixo"
"125",1303700,"Santo Antônio do Içá (AM)",1294,"Muito Baixo"
"126",1303809,"São Gabriel da Cachoeira (AM)",104,"Muito Baixo"
"127",1303908,"São Paulo de Olivença (AM)",361,"Muito Baixo"
"128",1303957,"São Sebastião do Uatumã (AM)",11109,"Baixo"
"129",1304005,"Silves (AM)",11726,"Baixo"
"130",1304062,"Tabatinga (AM)",322,"Muito Baixo"
"131",1304104,"Tapauá (AM)",1050,"Muito Baixo"
"132",1304203,"Tefé (AM)",1231,"Muito Baixo"
"133",1304237,"Tonantins (AM)",2003,"Muito Baixo"
"134",1304260,"Uarini (AM)",598,"Muito Baixo"
"135",1304302,"Urucará (AM)",14804,"Baixo"
"136",1304401,"Urucurituba (AM)",12487,"Baixo"
"137",1400027,"Amajari (RR)",106011,"Médio Alto"
"138",1400050,"Alto Alegre (RR)",88320,"Médio Alto"
"139",1400100,"Boa Vista (RR)",26885,"Médio Baixo"
"140",1400159,"Bonfim (RR)",72023,"Médio Alto"
"141",1400175,"Cantá (RR)",70735,"Médio Alto"
"142",1400209,"Caracaraí (RR)",44780,"Médio Baixo"
"143",1400233,"Caroebe (RR)",79423,"Médio Alto"
"144",1400282,"Iracema (RR)",58425,"Médio Alto"
"145",1400308,"Mucajaí (RR)",132266,"Médio Alto"
"146",1400407,"Normandia (RR)",16789,"Médio Baixo"
"147",1400456,"Pacaraima (RR)",21117,"Médio Baixo"
"148",1400472,"Rorainópolis (RR)",73858,"Médio Alto"
"149",1400506,"São João da Baliza (RR)",25577,"Médio Baixo"
