"","cod_muni","muni","pessoal_ocupado_agro","pessoal_ocupado_agro_familiar","perc_familiar_sobre_agro","class_familiar_sobre_agro"
"84",1507607,"São Miguel do Guamá (PA)",7019,6073,0.87,"Alto"
"85",1100023,"Ariquemes (RO)",7082,6054,0.85,"Alto"
"86",1503507,"Irituia (PA)",7984,6043,0.76,"Médio Baixo"
"87",1503903,"Juruti (PA)",6664,6027,0.9,"Alto"
"88",1100122,"Ji-Paraná (RO)",7803,5978,0.77,"Médio Alto"
"89",1200104,"Brasiléia (AC)",8000,5975,0.75,"Médio Baixo"
"90",1100254,"Presidente Médici (RO)",6621,5953,0.9,"Alto"
"91",1500958,"Aurora do Pará (PA)",6430,5946,0.92,"Muito Alto"
"92",2101608,"Barra do Corda (MA)",8243,5922,0.72,"Médio Baixo"
"93",1503457,"Ipixuna do Pará (PA)",6872,5911,0.86,"Alto"
"94",1303908,"São Paulo de Olivença (AM)",6026,5832,0.97,"Muito Alto"
"95",1304203,"Tefé (AM)",11749,5749,0.49,"Muito Baixo"
"96",1400027,"Amajari (RR)",6745,5714,0.85,"Alto"
"97",1505650,"Placas (PA)",6412,5668,0.88,"Alto"
"98",1100320,"São Miguel do Guaporé (RO)",6938,5585,0.8,"Médio Alto"
"99",5105150,"Juína (MT)",6617,5565,0.84,"Médio Alto"
"100",2105401,"Itapecuru Mirim (MA)",6874,5529,0.8,"Médio Alto"
"101",1400472,"Rorainópolis (RR)",6454,5521,0.86,"Alto"
"102",1600303,"Macapá (AP)",6810,5511,0.81,"Médio Alto"
"103",2111805,"Sítio Novo (MA)",6918,5504,0.8,"Médio Alto"
"104",1702208,"Araguatins (TO)",6199,5495,0.89,"Alto"
"105",2108603,"Pinheiro (MA)",8255,5494,0.67,"Baixo"
"106",1501725,"Brasil Novo (PA)",7573,5475,0.72,"Médio Baixo"
"107",1507706,"São Sebastião da Boa Vista (PA)",6956,5444,0.78,"Médio Alto"
"108",1504307,"Maracanã (PA)",6155,5422,0.88,"Alto"
"109",5107800,"Santo Antônio do Leverger (MT)",7656,5391,0.7,"Médio Baixo"
"110",2100600,"Amarante do Maranhão (MA)",6895,5372,0.78,"Médio Alto"
"111",2112407,"Turiaçu (MA)",5490,5349,0.97,"Muito Alto"
"112",1100338,"Nova Mamoré (RO)",6366,5337,0.84,"Médio Alto"
"113",5103353,"Confresa (MT)",6516,5307,0.81,"Médio Alto"
"114",2108306,"Penalva (MA)",6205,5265,0.85,"Alto"
"115",1302603,"Manaus (AM)",7949,5251,0.66,"Baixo"
"116",1502509,"Chaves (PA)",5994,5245,0.88,"Alto"
"117",5106422,"Peixoto de Azevedo (MT)",6364,5234,0.82,"Médio Alto"
"118",5106505,"Poconé (MT)",7147,5216,0.73,"Médio Baixo"
"119",1303007,"Nhamundá (AM)",7388,5148,0.7,"Médio Baixo"
"120",1503101,"Gurupá (PA)",5283,5140,0.97,"Muito Alto"
"121",1303106,"Nova Olinda do Norte (AM)",6396,5130,0.8,"Médio Alto"
"122",1301159,"Careiro da Várzea (AM)",5976,5108,0.85,"Alto"
"123",1504604,"Mocajuba (PA)",6351,5075,0.8,"Médio Alto"
"124",1300201,"Atalaia do Norte (AM)",5080,5062,1,"Muito Alto"
"125",1505908,"Porto de Moz (PA)",5703,5053,0.89,"Alto"
"126",1303502,"Pauini (AM)",5281,5047,0.96,"Muito Alto"
"127",1100700,"Campo Novo de Rondônia (RO)",5857,5046,0.86,"Alto"
"128",5107602,"Rondonópolis (MT)",7333,5018,0.68,"Médio Baixo"
"129",2111706,"São Vicente Ferrer (MA)",8180,4964,0.61,"Baixo"
"130",1303536,"Presidente Figueiredo (AM)",7692,4963,0.65,"Baixo"
"131",1508084,"Tucumã (PA)",6836,4961,0.73,"Médio Baixo"
"132",2110005,"Santa Luzia (MA)",6753,4955,0.73,"Médio Baixo"
"133",1503077,"Garrafão do Norte (PA)",5825,4954,0.85,"Alto"
"134",2112704,"Vargem Grande (MA)",5573,4927,0.88,"Alto"
"135",1100155,"Ouro Preto do Oeste (RO)",6038,4794,0.79,"Médio Alto"
"136",1100940,"Cujubim (RO)",5678,4732,0.83,"Médio Alto"
"137",5103379,"Cotriguaçu (MT)",6052,4717,0.78,"Médio Alto"
"138",1101492,"São Francisco do Guaporé (RO)",6136,4701,0.77,"Médio Alto"
"139",1101757,"Vale do Anari (RO)",5544,4650,0.84,"Médio Alto"
"140",1504950,"Nova Esperança do Piriá (PA)",5788,4608,0.8,"Médio Alto"
"141",1100346,"Alvorada D'Oeste (RO)",6026,4601,0.76,"Médio Baixo"
"142",1200351,"Marechal Thaumaturgo (AC)",4740,4556,0.96,"Muito Alto"
"143",2106508,"Matinha (MA)",5042,4538,0.9,"Alto"
"144",2100956,"Arame (MA)",5214,4515,0.87,"Alto"
"145",1504505,"Melgaço (PA)",7539,4514,0.6,"Baixo"
"146",1508100,"Tucuruí (PA)",4864,4477,0.92,"Muito Alto"
