"","cod_muni","muni","pessoal_ocupado_agro","pessoal_ocupado_agro_familiar","perc_familiar_sobre_agro","class_familiar_sobre_agro"
"358",1400282,"Iracema (RR)",2898,2110,0.73,"Médio Baixo"
"359",1600535,"Porto Grande (AP)",2544,2106,0.83,"Médio Alto"
"360",1300102,"Anori (AM)",2931,2100,0.72,"Médio Baixo"
"361",1503804,"Jacundá (PA)",2408,2086,0.87,"Alto"
"362",1506138,"Redenção (PA)",2841,2079,0.73,"Médio Baixo"
"363",2111078,"São João do Soter (MA)",2739,2076,0.76,"Médio Baixo"
"364",2104008,"Esperantinópolis (MA)",2994,2074,0.69,"Médio Baixo"
"365",5103502,"Diamantino (MT)",5024,2064,0.41,"Muito Baixo"
"366",1101104,"Itapuã do Oeste (RO)",3079,2063,0.67,"Baixo"
"367",1304302,"Urucará (AM)",2736,2062,0.75,"Médio Baixo"
"368",2102150,"Brejo de Areia (MA)",3275,2054,0.63,"Baixo"
"369",1702406,"Arraias (TO)",3526,2049,0.58,"Baixo"
"370",1706001,"Couto Magalhães (TO)",2463,2044,0.83,"Médio Alto"
"371",1702000,"Araguaçu (TO)",2933,2042,0.7,"Médio Baixo"
"372",2108108,"Paulo Ramos (MA)",3927,2041,0.52,"Muito Baixo"
"373",1101559,"Teixeirópolis (RO)",2273,2039,0.9,"Alto"
"374",1304401,"Urucurituba (AM)",3296,2030,0.62,"Baixo"
"375",5106778,"Porto Alegre do Norte (MT)",2744,2015,0.73,"Médio Baixo"
"376",1501600,"Bonito (PA)",2556,2013,0.79,"Médio Alto"
"377",1101450,"Parecis (RO)",2491,2004,0.8,"Médio Alto"
"378",1713205,"Miracema do Tocantins (TO)",2772,1990,0.72,"Médio Baixo"
"379",1600600,"Santana (AP)",2435,1982,0.81,"Médio Alto"
"380",2102036,"Bom Jesus das Selvas (MA)",2499,1975,0.79,"Médio Alto"
"381",5100805,"Apiacás (MT)",2574,1971,0.77,"Médio Alto"
"382",1717008,"Pindorama do Tocantins (TO)",2284,1961,0.86,"Alto"
"383",1701903,"Araguacema (TO)",2629,1942,0.74,"Médio Baixo"
"384",2105609,"Joselândia (MA)",2298,1942,0.85,"Alto"
"385",5106174,"Nova Nazaré (MT)",2156,1939,0.9,"Alto"
"386",1716604,"Peixe (TO)",2873,1938,0.67,"Baixo"
"387",2106904,"Monção (MA)",2567,1938,0.75,"Médio Baixo"
"388",5106281,"Novo São Joaquim (MT)",3648,1937,0.53,"Muito Baixo"
"389",1701309,"Aragominas (TO)",2177,1935,0.89,"Alto"
"390",2105351,"Itaipava do Grajaú (MA)",2529,1932,0.76,"Médio Baixo"
"391",2108454,"Peritoró (MA)",2395,1930,0.81,"Médio Alto"
"392",5106372,"Pedra Preta (MT)",5086,1926,0.38,"Muito Baixo"
"393",5101803,"Barra do Garças (MT)",3477,1923,0.55,"Muito Baixo"
"394",1508407,"Xinguara (PA)",3025,1903,0.63,"Baixo"
"395",2111300,"São Luís (MA)",2536,1901,0.75,"Médio Baixo"
"396",1506161,"Rio Maria (PA)",3866,1899,0.49,"Muito Baixo"
"397",5107180,"Ribeirão Cascalheira (MT)",2835,1893,0.67,"Baixo"
"398",1505601,"Peixe-Boi (PA)",2726,1889,0.69,"Médio Baixo"
"399",1713601,"Monte do Carmo (TO)",2830,1889,0.67,"Baixo"
"400",2109205,"Presidente Juscelino (MA)",2376,1884,0.79,"Médio Alto"
"401",2112456,"Turilândia (MA)",2152,1883,0.88,"Alto"
"402",1600154,"Pedra Branca do Amapari (AP)",2043,1876,0.92,"Muito Alto"
"403",2102309,"Buriti Bravo (MA)",3147,1874,0.6,"Baixo"
"404",1503754,"Jacareacanga (PA)",2286,1865,0.82,"Médio Alto"
"405",1720903,"Taguatinga (TO)",2336,1840,0.79,"Médio Alto"
"406",2105476,"Jenipapo dos Vieiras (MA)",2811,1838,0.65,"Baixo"
"407",2110039,"Santa Luzia do Paruá (MA)",2273,1827,0.8,"Médio Alto"
"408",5103700,"Feliz Natal (MT)",2385,1827,0.77,"Médio Alto"
"409",1200328,"Jordão (AC)",1841,1823,0.99,"Muito Alto"
"410",2111573,"São Pedro dos Crentes (MA)",2259,1820,0.81,"Médio Alto"
"411",1716653,"Pequizeiro (TO)",2248,1819,0.81,"Médio Alto"
"412",2109106,"Presidente Dutra (MA)",3833,1811,0.47,"Muito Baixo"
"413",1101484,"São Felipe D'Oeste (RO)",2260,1810,0.8,"Médio Alto"
"414",2108702,"Pio XII (MA)",2127,1807,0.85,"Alto"
"415",2105963,"Lagoa Grande do Maranhão (MA)",2257,1799,0.8,"Médio Alto"
"416",1304005,"Silves (AM)",2035,1795,0.88,"Alto"
"417",1712504,"Marianópolis do Tocantins (TO)",2136,1790,0.84,"Médio Alto"
"418",1505007,"Nova Timboteua (PA)",1994,1787,0.9,"Alto"
"419",2110807,"São Félix de Balsas (MA)",2931,1780,0.61,"Baixo"
"420",1502855,"Curuá (PA)",2380,1762,0.74,"Médio Baixo"
"421",1301951,"Itamarati (AM)",2060,1745,0.85,"Alto"
"422",2108009,"Pastos Bons (MA)",3132,1745,0.56,"Muito Baixo"
"423",1501451,"Belterra (PA)",1903,1740,0.91,"Muito Alto"
"424",2106375,"Maranhãozinho (MA)",1951,1736,0.89,"Alto"
"425",1502905,"Curuçá (PA)",2549,1727,0.68,"Médio Baixo"
"426",1508050,"Trairão (PA)",1890,1723,0.91,"Muito Alto"
"427",2109304,"Presidente Vargas (MA)",2082,1721,0.83,"Médio Alto"
"428",5107925,"Sorriso (MT)",4937,1716,0.35,"Muito Baixo"
"429",2105906,"Lago Verde (MA)",2252,1703,0.76,"Médio Baixo"
"430",1501758,"Brejo Grande do Araguaia (PA)",2179,1702,0.78,"Médio Alto"
"431",2106805,"Mirinzal (MA)",2319,1691,0.73,"Médio Baixo"
"432",1502608,"Colares (PA)",1760,1686,0.96,"Muito Alto"
"433",2107001,"Montes Altos (MA)",1944,1683,0.87,"Alto"
"434",1100056,"Cerejeiras (RO)",2182,1682,0.77,"Médio Alto"
"435",2103257,"Cidelândia (MA)",2374,1679,0.71,"Médio Baixo"
"436",1507979,"Terra Santa (PA)",1937,1675,0.86,"Alto"
"437",1703008,"Babaçulândia (TO)",2079,1675,0.81,"Médio Alto"
"438",5106182,"Nova Lacerda (MT)",2606,1669,0.64,"Baixo"
"439",1707702,"Filadélfia (TO)",1945,1668,0.86,"Alto"
"440",1303205,"Novo Airão (AM)",1740,1661,0.95,"Muito Alto"
"441",5107941,"Tabaporã (MT)",2631,1658,0.63,"Baixo"
"442",5105200,"Juscimeira (MT)",2264,1654,0.73,"Médio Baixo"
"443",5106240,"Nova Ubiratã (MT)",3524,1650,0.47,"Muito Baixo"
"444",2106003,"Lima Campos (MA)",2337,1640,0.7,"Médio Baixo"
"445",2106102,"Loreto (MA)",2304,1629,0.71,"Médio Baixo"
"446",5103007,"Chapada dos Guimarães (MT)",2974,1629,0.55,"Muito Baixo"
"447",1709302,"Guaraí (TO)",2267,1625,0.72,"Médio Baixo"
"448",1503408,"Inhangapi (PA)",1837,1617,0.88,"Alto"
"449",1303957,"São Sebastião do Uatumã (AM)",2443,1614,0.66,"Baixo"
"450",1713809,"Palmeiras do Tocantins (TO)",2016,1610,0.8,"Médio Alto"
"451",5101605,"Barão de Melgaço (MT)",1981,1607,0.81,"Médio Alto"
"452",1200054,"Assis Brasil (AC)",1682,1601,0.95,"Muito Alto"
"453",2105807,"Lago do Junco (MA)",1814,1601,0.88,"Alto"
"454",5103056,"Cláudia (MT)",2069,1601,0.77,"Médio Alto"
"455",5102694,"Canabrava do Norte (MT)",1719,1598,0.93,"Muito Alto"
"456",2100873,"Araguanã (MA)",2311,1585,0.69,"Médio Baixo"
"457",2108405,"Peri Mirim (MA)",1828,1580,0.86,"Alto"
"458",2111607,"São Raimundo das Mangabeiras (MA)",2225,1572,0.71,"Médio Baixo"
"459",2111508,"São Mateus do Maranhão (MA)",2048,1549,0.76,"Médio Baixo"
"460",1703206,"Bernardo Sayão (TO)",2064,1540,0.75,"Médio Baixo"
"461",2107357,"Nova Olinda do Maranhão (MA)",1988,1540,0.77,"Médio Alto"
"462",5108956,"Nova Monte Verde (MT)",2325,1538,0.66,"Baixo"
"463",1717503,"Pium (TO)",2288,1530,0.67,"Baixo"
"464",1715705,"Palmeirante (TO)",2280,1526,0.67,"Baixo"
"465",1708304,"Goianorte (TO)",1769,1521,0.86,"Alto"
"466",5107305,"São José do Rio Claro (MT)",2968,1512,0.51,"Muito Baixo"
"467",2105500,"João Lisboa (MA)",2099,1507,0.72,"Médio Baixo"
"468",1507474,"São João de Pirabas (PA)",2179,1497,0.69,"Médio Baixo"
"469",5107578,"Rondolândia (MT)",2190,1492,0.68,"Médio Baixo"
"470",5101258,"Araputanga (MT)",2161,1491,0.69,"Médio Baixo"
"471",2104404,"Gonçalves Dias (MA)",2066,1482,0.72,"Médio Baixo"
"472",1502939,"Dom Eliseu (PA)",3022,1470,0.49,"Muito Baixo"
"473",1714880,"Nova Olinda (TO)",1891,1451,0.77,"Médio Alto"
"474",1707108,"Divinópolis do Tocantins (TO)",1710,1448,0.85,"Alto"
"475",1507409,"São Francisco do Pará (PA)",1940,1441,0.74,"Médio Baixo"
"476",2103174,"Centro Novo do Maranhão (MA)",1864,1440,0.77,"Médio Alto"
"477",5100359,"Alto Boa Vista (MT)",1630,1439,0.88,"Alto"
"478",5106224,"Nova Mutum (MT)",4729,1434,0.3,"Muito Baixo"
"479",5108402,"Várzea Grande (MT)",1941,1423,0.73,"Médio Baixo"
"480",1300086,"Anamã (AM)",1645,1407,0.86,"Alto"
"481",5105903,"Nobres (MT)",1930,1394,0.72,"Médio Baixo"
"482",5100300,"Alto Araguaia (MT)",2384,1390,0.58,"Baixo"
"483",1400456,"Pacaraima (RR)",1461,1383,0.95,"Muito Alto"
"484",1717909,"Ponte Alta do Tocantins (TO)",2296,1374,0.6,"Baixo"
"485",1501402,"Belém (PA)",1451,1365,0.94,"Muito Alto"
"486",1722107,"Xambioá (TO)",1852,1355,0.73,"Médio Baixo"
"487",2105948,"Lago dos Rodrigues (MA)",1580,1351,0.86,"Alto"
"488",1710508,"Itacajá (TO)",2266,1349,0.6,"Baixo"
"489",1706100,"Cristalândia (TO)",1865,1339,0.72,"Médio Baixo"
"490",1718550,"Riachinho (TO)",1453,1331,0.92,"Muito Alto"
"491",1400506,"São João da Baliza (RR)",2021,1321,0.65,"Baixo"
"492",2108801,"Pirapemas (MA)",1540,1314,0.85,"Alto"
"493",5100102,"Acorizal (MT)",1577,1303,0.83,"Médio Alto"
"494",1507102,"São Caetano de Odivelas (PA)",1700,1298,0.76,"Médio Baixo"
"495",5104906,"Jangada (MT)",1744,1298,0.74,"Médio Baixo"
"496",2111789,"Serrano do Maranhão (MA)",1931,1291,0.67,"Baixo"
"497",2112852,"Vila Nova dos Martírios (MA)",1900,1291,0.68,"Médio Baixo"
"498",5108808,"Nova Guarita (MT)",1499,1288,0.86,"Alto"
"499",1711506,"Jaú do Tocantins (TO)",1518,1286,0.85,"Alto"
"500",2102606,"Cândido Mendes (MA)",1503,1285,0.85,"Alto"
"501",2104677,"Governador Nunes Freire (MA)",1922,1285,0.67,"Baixo"
"502",2109601,"Rosário (MA)",1646,1272,0.77,"Médio Alto"
"503",2111904,"Sucupira do Norte (MA)",1768,1272,0.72,"Médio Baixo"
"504",1717206,"Piraquê (TO)",1816,1266,0.7,"Médio Baixo"
"505",1712405,"Lizarda (TO)",1508,1265,0.84,"Médio Alto"
"506",2105450,"Jatobá (MA)",1913,1253,0.65,"Baixo"
"507",2109700,"Sambaíba (MA)",2004,1252,0.62,"Baixo"
"508",5103809,"Figueirópolis D'Oeste (MT)",1703,1250,0.73,"Médio Baixo"
"509",5100508,"Alto Paraguai (MT)",1626,1249,0.77,"Médio Alto"
"510",1711951,"Lagoa do Tocantins (TO)",1304,1247,0.96,"Muito Alto"
"511",1716109,"Paraíso do Tocantins (TO)",1532,1245,0.81,"Médio Alto"
"512",2105989,"Lajeado Novo (MA)",1624,1229,0.76,"Médio Baixo"
"513",1718907,"Santa Rosa do Tocantins (TO)",1592,1223,0.77,"Médio Alto"
"514",1718899,"Santa Rita do Tocantins (TO)",1908,1203,0.63,"Baixo"
"515",2105302,"Imperatriz (MA)",2344,1203,0.51,"Muito Baixo"
"516",5104203,"Guiratinga (MT)",2079,1192,0.57,"Muito Baixo"
"517",2103158,"Centro do Guilherme (MA)",1202,1190,0.99,"Muito Alto"
"518",1709500,"Gurupi (TO)",1642,1189,0.72,"Médio Baixo"
"519",2111631,"São Raimundo do Doca Bezerra (MA)",1499,1189,0.79,"Médio Alto"
"520",2102754,"Capinzal do Norte (MA)",1925,1186,0.62,"Baixo"
"521",2108207,"Pedreiras (MA)",1495,1183,0.79,"Médio Alto"
"522",1506302,"Salvaterra (PA)",1584,1181,0.75,"Médio Baixo"
"523",5103106,"Cocalinho (MT)",2346,1181,0.5,"Muito Baixo"
"524",2106359,"Marajá do Sena (MA)",1464,1169,0.8,"Médio Alto"
"525",1505551,"Pau D'Arco (PA)",1849,1168,0.63,"Baixo"
"526",2105427,"Itinga do Maranhão (MA)",2102,1165,0.55,"Muito Baixo"
"527",1722081,"Wanderlândia (TO)",1451,1156,0.8,"Médio Alto"
"528",5102702,"Canarana (MT)",2623,1156,0.44,"Muito Baixo"
"529",2111722,"Satubinha (MA)",1741,1148,0.66,"Baixo"
"530",1304237,"Tonantins (AM)",1361,1145,0.84,"Médio Alto"
"531",5107750,"Salto do Céu (MT)",1380,1142,0.83,"Médio Alto"
"532",1504109,"Magalhães Barata (PA)",1467,1141,0.78,"Médio Alto"
"533",2100501,"Alto Parnaíba (MA)",1529,1138,0.74,"Médio Baixo"
"534",1100908,"Castanheiras (RO)",1345,1131,0.84,"Médio Alto"
"535",5106273,"Novo Horizonte do Norte (MT)",1269,1115,0.88,"Alto"
"536",5107883,"Serra Nova Dourada (MT)",1743,1115,0.64,"Baixo"
"537",2102903,"Carutapera (MA)",1298,1113,0.86,"Alto"
"538",1100262,"Rio Crespo (RO)",1685,1107,0.66,"Baixo"
"539",1600808,"Vitória do Jari (AP)",1370,1103,0.81,"Médio Alto"
"540",1710706,"Itaguatins (TO)",1340,1103,0.82,"Médio Alto"
"541",2107704,"Paraibano (MA)",1436,1099,0.77,"Médio Alto"
"542",2109759,"Santa Filomena do Maranhão (MA)",1430,1098,0.77,"Médio Alto"
"543",2100402,"Altamira do Maranhão (MA)",1508,1095,0.73,"Médio Baixo"
"544",1713304,"Miranorte (TO)",1501,1093,0.73,"Médio Baixo"
"545",2102358,"Buritirana (MA)",1509,1080,0.72,"Médio Baixo"
"546",2101301,"Bacuri (MA)",1903,1072,0.56,"Muito Baixo"
"547",5107297,"São José do Povo (MT)",1182,1072,0.91,"Muito Alto"
"548",1505494,"Palestina do Pará (PA)",1485,1064,0.72,"Médio Baixo"
"549",1501253,"Bannach (PA)",1544,1063,0.69,"Médio Baixo"
"550",5106232,"Nova Olímpia (MT)",1866,1060,0.57,"Muito Baixo"
"551",1506104,"Primavera (PA)",1133,1059,0.93,"Muito Alto"
"552",1715754,"Palmeirópolis (TO)",1727,1056,0.61,"Baixo"
"553",1701002,"Ananás (TO)",1433,1053,0.73,"Médio Baixo"
"554",1705102,"Chapada da Natividade (TO)",1748,1048,0.6,"Baixo"
"555",2103554,"Conceição do Lago-Açu (MA)",1854,1048,0.57,"Muito Baixo"
"556",2111029,"São João do Carú (MA)",1439,1045,0.73,"Médio Baixo"
"557",1707009,"Dianópolis (TO)",1581,1035,0.65,"Baixo"
"558",5103437,"Curvelândia (MT)",1245,1030,0.83,"Médio Alto"
"559",1716703,"Colméia (TO)",1314,1028,0.78,"Médio Alto"
"560",1718840,"Sandolândia (TO)",1471,1023,0.7,"Médio Baixo"
"561",1716307,"Pau D'Arco (TO)",1560,1016,0.65,"Baixo"
"562",1400605,"São Luiz (RR)",1325,1006,0.76,"Médio Baixo"
"563",5104807,"Jaciara (MT)",1844,1003,0.54,"Muito Baixo"
"564",5107354,"São José do Xingu (MT)",1973,1003,0.51,"Muito Baixo"
"565",2111763,"Senador La Rocque (MA)",1383,1000,0.72,"Médio Baixo"
"566",1707405,"Esperantina (TO)",1081,998,0.92,"Muito Alto"
"567",1600279,"Laranjal do Jari (AP)",1199,997,0.83,"Médio Alto"
"568",1711902,"Lagoa da Confusão (TO)",1713,997,0.58,"Baixo"
"569",1718709,"Rio dos Bois (TO)",1112,993,0.89,"Alto"
"570",2104909,"Guimarães (MA)",2450,991,0.4,"Muito Baixo"
"571",2105203,"Igarapé Grande (MA)",1269,983,0.77,"Médio Alto"
"572",1506351,"Santa Bárbara do Pará (PA)",1273,981,0.77,"Médio Alto"
"573",1710904,"Itapiratins (TO)",1371,980,0.71,"Médio Baixo"
"574",2107407,"Olho d'Água das Cunhãs (MA)",1348,971,0.72,"Médio Baixo"
"575",5101704,"Barra do Bugres (MT)",2824,964,0.34,"Muito Baixo"
"576",5103601,"Dom Aquino (MT)",1648,961,0.58,"Baixo"
"577",1718881,"Santa Maria do Tocantins (TO)",1030,951,0.92,"Muito Alto"
"578",1713700,"Monte Santo do Tocantins (TO)",1180,950,0.81,"Médio Alto"
"579",1707652,"Figueirópolis (TO)",1344,949,0.71,"Médio Baixo"
"580",5106851,"Porto Estrela (MT)",1214,949,0.78,"Médio Alto"
"581",1703701,"Brejinho de Nazaré (TO)",1292,944,0.73,"Médio Baixo"
"582",2110856,"São Francisco do Brejão (MA)",1398,944,0.68,"Médio Baixo"
"583",5104609,"Itiquira (MT)",3360,944,0.28,"Muito Baixo"
"584",5108501,"Vera (MT)",2090,941,0.45,"Muito Baixo"
"585",1714203,"Natividade (TO)",1083,940,0.87,"Alto"
"586",2101939,"Bernardo do Mearim (MA)",1130,940,0.83,"Médio Alto"
"587",1707306,"Dueré (TO)",1552,928,0.6,"Baixo"
"588",1717800,"Ponte Alta do Bom Jesus (TO)",1230,926,0.75,"Médio Baixo"
"589",1711803,"Juarina (TO)",1112,912,0.82,"Médio Alto"
"590",1702554,"Augustinópolis (TO)",1164,905,0.78,"Médio Alto"
"591",2105153,"Igarapé do Meio (MA)",1115,900,0.81,"Médio Alto"
"592",5103908,"General Carneiro (MT)",1276,899,0.7,"Médio Baixo"
"593",1600709,"Tartarugalzinho (AP)",1176,898,0.76,"Médio Baixo"
"594",5107040,"Primavera do Leste (MT)",4517,897,0.2,"Muito Baixo"
"595",2103703,"Cururupu (MA)",1408,896,0.64,"Baixo"
"596",5102637,"Campo Novo do Parecis (MT)",4076,892,0.22,"Muito Baixo"
"597",1705607,"Conceição do Tocantins (TO)",1230,888,0.72,"Médio Baixo"
"598",2107258,"Nova Colinas (MA)",1270,883,0.7,"Médio Baixo"
"599",2112001,"Tasso Fragoso (MA)",2094,880,0.42,"Muito Baixo"
"600",2104701,"Graça Aranha (MA)",1688,878,0.52,"Muito Baixo"
"601",1718501,"Recursolândia (TO)",1481,871,0.59,"Baixo"
"602",5106208,"Nova Brasilândia (MT)",1258,866,0.69,"Médio Baixo"
"603",1502772,"Curionópolis (PA)",1483,848,0.57,"Muito Baixo"
"604",1720804,"Sítio Novo do Tocantins (TO)",1197,843,0.7,"Médio Baixo"
"605",1720101,"São Bento do Tocantins (TO)",1697,840,0.49,"Muito Baixo"
"606",1720499,"São Valério (TO)",1059,827,0.78,"Médio Alto"
"607",2101806,"Benedito Leite (MA)",1300,820,0.63,"Baixo"
"608",1700251,"Abreulândia (TO)",1081,815,0.75,"Médio Baixo"
"609",5108352,"Vale de São Domingos (MT)",985,814,0.83,"Médio Alto"
"610",1507755,"Sapucaia (PA)",1126,813,0.72,"Médio Baixo"
"611",2103802,"Dom Pedro (MA)",1231,812,0.66,"Baixo"
"612",1302108,"Japurá (AM)",1256,809,0.64,"Baixo"
"613",2112233,"Trizidela do Vale (MA)",969,808,0.83,"Médio Alto"
"614",1720655,"Silvanópolis (TO)",1137,807,0.71,"Médio Baixo"
"615",1716505,"Pedro Afonso (TO)",2254,804,0.36,"Muito Baixo"
"616",2106201,"Luís Domingues (MA)",1004,804,0.8,"Médio Alto"
"617",1703867,"Cariri do Tocantins (TO)",1281,789,0.62,"Baixo"
"618",5106000,"Nortelândia (MT)",1094,789,0.72,"Médio Baixo"
"619",2103109,"Cedral (MA)",970,788,0.81,"Médio Alto"
"620",5105234,"Lambari D'Oeste (MT)",1641,786,0.48,"Muito Baixo"
"621",2106631,"Matões do Norte (MA)",1038,785,0.76,"Médio Baixo"
"622",2103125,"Central do Maranhão (MA)",923,782,0.85,"Alto"
"623",5103452,"Denise (MT)",2326,774,0.33,"Muito Baixo"
"624",1715002,"Nova Rosalândia (TO)",1017,769,0.76,"Médio Baixo"
"625",1720309,"São Sebastião do Tocantins (TO)",910,767,0.84,"Médio Alto"
"626",2109551,"Ribamar Fiquene (MA)",1081,766,0.71,"Médio Baixo"
"627",2104206,"Fortuna (MA)",1387,749,0.54,"Muito Baixo"
"628",1718808,"Sampaio (TO)",943,742,0.79,"Médio Alto"
"629",1101476,"Primavera de Rondônia (RO)",979,739,0.75,"Médio Baixo"
"630",5106653,"Pontal do Araguaia (MT)",1176,735,0.62,"Baixo"
"631",1101468,"Pimenteiras do Oeste (RO)",1281,734,0.57,"Muito Baixo"
"632",1720200,"São Miguel do Tocantins (TO)",949,728,0.77,"Médio Alto"
"633",1712801,"Maurilândia do Tocantins (TO)",1274,725,0.57,"Muito Baixo"
"634",5105259,"Lucas do Rio Verde (MT)",2605,721,0.28,"Muito Baixo"
"635",5108204,"Torixoréu (MT)",1249,721,0.58,"Baixo"
"636",5107263,"Santo Afonso (MT)",1058,711,0.67,"Baixo"
"637",2111250,"São José dos Basílios (MA)",1267,710,0.56,"Muito Baixo"
"638",1302009,"Itapiranga (AM)",746,708,0.95,"Muito Alto"
"639",1706506,"Darcinópolis (TO)",1231,708,0.58,"Baixo"
"640",1600253,"Itaubal (AP)",835,694,0.83,"Médio Alto"
"641",2101350,"Bacurituba (MA)",769,693,0.9,"Alto"
"642",5108303,"União do Sul (MT)",1104,690,0.62,"Baixo"
"643",1705508,"Colinas do Tocantins (TO)",951,684,0.72,"Médio Baixo"
"644",2104651,"Governador Newton Bello (MA)",1476,675,0.46,"Muito Baixo"
"645",1704105,"Centenário (TO)",1171,673,0.57,"Muito Baixo"
"646",1703073,"Barra do Ouro (TO)",755,666,0.88,"Alto"
"647",1718865,"Santa Fé do Araguaia (TO)",1108,663,0.6,"Baixo"
"648",2109908,"Santa Inês (MA)",909,660,0.73,"Médio Baixo"
"649",1600238,"Ferreira Gomes (AP)",1449,653,0.45,"Muito Baixo"
"650",1700400,"Almas (TO)",1010,652,0.65,"Baixo"
"651",5106190,"Nova Santa Helena (MT)",891,652,0.73,"Médio Baixo"
"652",5106455,"Planalto da Serra (MT)",911,647,0.71,"Médio Baixo"
"653",1720978,"Talismã (TO)",1061,644,0.61,"Baixo"
"654",5108006,"Tapurah (MT)",2268,627,0.28,"Muito Baixo"
"655",2109056,"Porto Rico do Maranhão (MA)",709,623,0.88,"Alto"
"656",2104305,"Godofredo Viana (MA)",818,617,0.75,"Médio Baixo"
"657",2109452,"Raposa (MA)",717,616,0.86,"Alto"
"658",1500800,"Ananindeua (PA)",697,611,0.88,"Alto"
"659",1506203,"Salinópolis (PA)",717,609,0.85,"Alto"
"660",5107875,"Sapezal (MT)",6670,607,0.09,"Muito Baixo"
"661",5108907,"Nova Maringá (MT)",1474,603,0.41,"Muito Baixo"
"662",5100409,"Alto Garças (MT)",2190,602,0.27,"Muito Baixo"
"663",1703909,"Caseara (TO)",995,601,0.6,"Baixo"
"664",1507466,"São João da Ponta (PA)",944,600,0.64,"Baixo"
"665",1700350,"Aliança do Tocantins (TO)",964,600,0.62,"Baixo"
"666",1720259,"São Salvador do Tocantins (TO)",882,593,0.67,"Baixo"
"667",5106802,"Porto dos Gaúchos (MT)",1533,592,0.39,"Muito Baixo"
"668",5107792,"Santo Antônio do Leste (MT)",2017,589,0.29,"Muito Baixo"
"669",1506906,"Santarém Novo (PA)",684,586,0.86,"Alto"
"670",2100832,"Apicum-Açu (MA)",1100,586,0.53,"Muito Baixo"
"671",1721307,"Tupiratins (TO)",693,581,0.84,"Médio Alto"
"672",2100550,"Amapá do Maranhão (MA)",709,576,0.81,"Médio Alto"
"673",1719004,"Santa Tereza do Tocantins (TO)",590,567,0.96,"Muito Alto"
"674",1300839,"Caapiranga (AM)",620,566,0.91,"Muito Alto"
"675",5101308,"Arenápolis (MT)",736,559,0.76,"Médio Baixo"
"676",1718303,"Praia Norte (TO)",752,548,0.73,"Médio Baixo"
"677",5107743,"Santa Cruz do Xingu (MT)",1005,546,0.54,"Muito Baixo"
"678",1600212,"Cutias (AP)",851,545,0.64,"Baixo"
"679",5103957,"Glória D'Oeste (MT)",842,537,0.64,"Baixo"
"680",5103361,"Conquista D'Oeste (MT)",716,536,0.75,"Médio Baixo"
"681",2104552,"Governador Edison Lobão (MA)",852,535,0.63,"Baixo"
"682",2106326,"Maracaçumé (MA)",644,531,0.82,"Médio Alto"
"683",1703305,"Bom Jesus do Tocantins (TO)",690,529,0.77,"Médio Alto"
"684",1702307,"Arapoema (TO)",830,519,0.63,"Baixo"
"685",1701101,"Aparecida do Rio Negro (TO)",797,518,0.65,"Baixo"
"686",1600204,"Calçoene (AP)",650,516,0.79,"Médio Alto"
"687",5108857,"Nova Marilândia (MT)",816,516,0.63,"Baixo"
"688",5108105,"Tesouro (MT)",1357,515,0.38,"Muito Baixo"
"689",2101970,"Boa Vista do Gurupi (MA)",571,513,0.9,"Alto"
"690",2111532,"São Pedro da Água Branca (MA)",851,510,0.6,"Baixo"
"691",1600105,"Amapá (AP)",963,508,0.53,"Muito Baixo"
"692",5104559,"Itaúba (MT)",1019,507,0.5,"Muito Baixo"
"693",2100436,"Alto Alegre do Maranhão (MA)",777,504,0.65,"Baixo"
"694",2104503,"Governador Archer (MA)",686,500,0.73,"Médio Baixo"
"695",1707553,"Fátima (TO)",1073,493,0.46,"Muito Baixo"
"696",1718006,"Porto Alegre do Tocantins (TO)",543,491,0.9,"Alto"
"697",1704600,"Chapada de Areia (TO)",599,489,0.82,"Médio Alto"
"698",1702703,"Aurora do Tocantins (TO)",577,476,0.82,"Médio Alto"
"699",1711100,"Itaporã do Tocantins (TO)",1054,475,0.45,"Muito Baixo"
"700",1712702,"Mateiros (TO)",674,473,0.7,"Médio Baixo"
"701",1700301,"Aguiarnópolis (TO)",764,472,0.62,"Baixo"
"702",1703800,"Buriti do Tocantins (TO)",597,472,0.79,"Médio Alto"
"703",5104500,"Indiavaí (MT)",727,472,0.65,"Baixo"
"704",1713957,"Muricilândia (TO)",665,470,0.71,"Médio Baixo"
"705",1715101,"Novo Acordo (TO)",633,470,0.74,"Médio Baixo"
"706",2111672,"São Roberto (MA)",566,461,0.81,"Médio Alto"
"707",5107156,"Reserva do Cabaçal (MT)",608,461,0.76,"Médio Baixo"
"708",1703107,"Barrolândia (TO)",725,460,0.63,"Baixo"
"709",2105658,"Junco do Maranhão (MA)",600,458,0.76,"Médio Baixo"
"710",2110658,"São Domingos do Azeitão (MA)",768,454,0.59,"Baixo"
"711",2102556,"Campestre do Maranhão (MA)",2327,453,0.19,"Muito Baixo"
"712",1600550,"Pracuúba (AP)",554,439,0.79,"Médio Alto"
"713",1721208,"Tocantinópolis (TO)",715,439,0.61,"Baixo"
"714",2108504,"Pindaré-Mirim (MA)",841,439,0.52,"Muito Baixo"
"715",5106315,"Novo Santo Antônio (MT)",719,437,0.61,"Baixo"
"716",1712157,"Lavandeira (TO)",1283,431,0.34,"Muito Baixo"
"717",2103752,"Davinópolis (MA)",591,430,0.73,"Médio Baixo"
