"","cod_muni","muni","total_medios_estab","class_total_medios_estab","total_grandes_estab","class_total_grandes_estab","medios_e_grandes_estab","class_medios_e_grandes_estab"
"280",1507805,"Senador José Porfírio (PA)",109,"Alto",15,"Médio Baixo",124,"Médio Alto"
"281",1507904,"Soure (PA)",24,"Médio Baixo",41,"Alto",65,"Médio Baixo"
"282",1507953,"Tailândia (PA)",75,"Médio Alto",32,"Médio Alto",107,"Médio Alto"
"283",1507961,"Terra Alta (PA)",1,"Muito Baixo",0,0,0,0
"284",1507979,"Terra Santa (PA)",42,"Médio Baixo",1,"Muito Baixo",43,"Médio Baixo"
"285",1508001,"Tomé-Açu (PA)",73,"Médio Alto",37,"Médio Alto",110,"Médio Alto"
"286",1508035,"Tracuateua (PA)",20,"Baixo",3,"Baixo",23,"Baixo"
"287",1508050,"Trairão (PA)",161,"Alto",22,"Médio Alto",183,"Alto"
"288",1508084,"Tucumã (PA)",244,"Muito Alto",18,"Médio Alto",262,"Muito Alto"
"289",1508100,"Tucuruí (PA)",42,"Médio Baixo",15,"Médio Baixo",57,"Médio Baixo"
"290",1508126,"Ulianópolis (PA)",54,"Médio Alto",37,"Médio Alto",91,"Médio Alto"
"291",1508159,"Uruará (PA)",376,"Muito Alto",57,"Alto",433,"Muito Alto"
"292",1508209,"Vigia (PA)",8,"Muito Baixo",1,"Muito Baixo",9,"Muito Baixo"
"293",1508308,"Viseu (PA)",99,"Médio Alto",38,"Médio Alto",137,"Médio Alto"
"294",1508357,"Vitória do Xingu (PA)",138,"Alto",41,"Alto",179,"Alto"
"295",1508407,"Xinguara (PA)",119,"Alto",42,"Alto",161,"Alto"
"296",1600055,"Serra do Navio (AP)",0,0,0,0,0,0
"297",1600105,"Amapá (AP)",39,"Médio Baixo",8,"Médio Baixo",47,"Médio Baixo"
"298",1600154,"Pedra Branca do Amapari (AP)",12,"Baixo",0,0,0,0
"299",1600204,"Calçoene (AP)",10,"Baixo",38,"Médio Alto",48,"Médio Baixo"
"300",1600212,"Cutias (AP)",17,"Baixo",8,"Médio Baixo",25,"Baixo"
"301",1600238,"Ferreira Gomes (AP)",26,"Médio Baixo",5,"Baixo",31,"Baixo"
"302",1600253,"Itaubal (AP)",11,"Baixo",9,"Médio Baixo",20,"Baixo"
"303",1600279,"Laranjal do Jari (AP)",27,"Médio Baixo",2,"Muito Baixo",29,"Baixo"
"304",1600303,"Macapá (AP)",83,"Médio Alto",15,"Médio Baixo",98,"Médio Alto"
"305",1600402,"Mazagão (AP)",75,"Médio Alto",7,"Médio Baixo",82,"Médio Alto"
"306",1600501,"Oiapoque (AP)",25,"Médio Baixo",2,"Muito Baixo",27,"Baixo"
"307",1600535,"Porto Grande (AP)",20,"Baixo",2,"Muito Baixo",22,"Baixo"
"308",1600550,"Pracuúba (AP)",28,"Médio Baixo",11,"Médio Baixo",39,"Médio Baixo"
"309",1600600,"Santana (AP)",37,"Médio Baixo",4,"Baixo",41,"Médio Baixo"
"310",1600709,"Tartarugalzinho (AP)",66,"Médio Alto",27,"Médio Alto",93,"Médio Alto"
"311",1600808,"Vitória do Jari (AP)",40,"Médio Baixo",0,0,0,0
"312",1700251,"Abreulândia (TO)",84,"Médio Alto",43,"Alto",127,"Médio Alto"
"313",1700301,"Aguiarnópolis (TO)",21,"Baixo",1,"Muito Baixo",22,"Baixo"
"314",1700350,"Aliança do Tocantins (TO)",92,"Médio Alto",34,"Médio Alto",126,"Médio Alto"
"315",1700400,"Almas (TO)",81,"Médio Alto",40,"Alto",121,"Médio Alto"
"316",1700707,"Alvorada (TO)",76,"Médio Alto",28,"Médio Alto",104,"Médio Alto"
"317",1701002,"Ananás (TO)",34,"Médio Baixo",25,"Médio Alto",59,"Médio Baixo"
"318",1701051,"Angico (TO)",9,"Muito Baixo",6,"Médio Baixo",15,"Muito Baixo"
"319",1701101,"Aparecida do Rio Negro (TO)",41,"Médio Baixo",17,"Médio Alto",58,"Médio Baixo"
"320",1701309,"Aragominas (TO)",26,"Médio Baixo",13,"Médio Baixo",39,"Médio Baixo"
"321",1701903,"Araguacema (TO)",39,"Médio Baixo",29,"Médio Alto",68,"Médio Baixo"
"322",1702000,"Araguaçu (TO)",269,"Muito Alto",97,"Muito Alto",366,"Muito Alto"
"323",1702109,"Araguaína (TO)",162,"Alto",60,"Alto",222,"Alto"
"324",1702158,"Araguanã (TO)",14,"Baixo",18,"Médio Alto",32,"Baixo"
"325",1702208,"Araguatins (TO)",114,"Alto",21,"Médio Alto",135,"Médio Alto"
"326",1702307,"Arapoema (TO)",57,"Médio Alto",29,"Médio Alto",86,"Médio Alto"
"327",1702406,"Arraias (TO)",171,"Alto",68,"Alto",239,"Alto"
"328",1702554,"Augustinópolis (TO)",23,"Médio Baixo",1,"Muito Baixo",24,"Baixo"
"329",1702703,"Aurora do Tocantins (TO)",19,"Baixo",13,"Médio Baixo",32,"Baixo"
"330",1702901,"Axixá do Tocantins (TO)",9,"Muito Baixo",0,0,0,0
"331",1703008,"Babaçulândia (TO)",98,"Médio Alto",10,"Médio Baixo",108,"Médio Alto"
"332",1703057,"Bandeirantes do Tocantins (TO)",58,"Médio Alto",33,"Médio Alto",91,"Médio Alto"
"333",1703073,"Barra do Ouro (TO)",28,"Médio Baixo",11,"Médio Baixo",39,"Médio Baixo"
"334",1703107,"Barrolândia (TO)",47,"Médio Baixo",6,"Médio Baixo",53,"Médio Baixo"
"335",1703206,"Bernardo Sayão (TO)",43,"Médio Baixo",7,"Médio Baixo",50,"Médio Baixo"
"336",1703305,"Bom Jesus do Tocantins (TO)",56,"Médio Alto",15,"Médio Baixo",71,"Médio Baixo"
"337",1703602,"Brasilândia do Tocantins (TO)",22,"Baixo",7,"Médio Baixo",29,"Baixo"
"338",1703701,"Brejinho de Nazaré (TO)",45,"Médio Baixo",26,"Médio Alto",71,"Médio Baixo"
"339",1703800,"Buriti do Tocantins (TO)",17,"Baixo",3,"Baixo",20,"Baixo"
"340",1703826,"Cachoeirinha (TO)",10,"Baixo",2,"Muito Baixo",12,"Muito Baixo"
"341",1703842,"Campos Lindos (TO)",90,"Médio Alto",33,"Médio Alto",123,"Médio Alto"
"342",1703867,"Cariri do Tocantins (TO)",77,"Médio Alto",24,"Médio Alto",101,"Médio Alto"
"343",1703883,"Carmolândia (TO)",7,"Muito Baixo",9,"Médio Baixo",16,"Muito Baixo"
"344",1703891,"Carrasco Bonito (TO)",13,"Baixo",2,"Muito Baixo",15,"Muito Baixo"
"345",1703909,"Caseara (TO)",8,"Muito Baixo",25,"Médio Alto",33,"Baixo"
"346",1704105,"Centenário (TO)",54,"Médio Alto",23,"Médio Alto",77,"Médio Baixo"
"347",1704600,"Chapada de Areia (TO)",58,"Médio Alto",9,"Médio Baixo",67,"Médio Baixo"
"348",1705102,"Chapada da Natividade (TO)",55,"Médio Alto",14,"Médio Baixo",69,"Médio Baixo"
"349",1705508,"Colinas do Tocantins (TO)",75,"Médio Alto",15,"Médio Baixo",90,"Médio Alto"
"350",1705557,"Combinado (TO)",4,"Muito Baixo",1,"Muito Baixo",5,"Muito Baixo"
"351",1705607,"Conceição do Tocantins (TO)",95,"Médio Alto",25,"Médio Alto",120,"Médio Alto"
"352",1706001,"Couto Magalhães (TO)",72,"Médio Alto",24,"Médio Alto",96,"Médio Alto"
"353",1706100,"Cristalândia (TO)",97,"Médio Alto",34,"Médio Alto",131,"Médio Alto"
"354",1706258,"Crixás do Tocantins (TO)",33,"Médio Baixo",22,"Médio Alto",55,"Médio Baixo"
"355",1706506,"Darcinópolis (TO)",39,"Médio Baixo",18,"Médio Alto",57,"Médio Baixo"
"356",1707009,"Dianópolis (TO)",53,"Médio Alto",18,"Médio Alto",71,"Médio Baixo"
"357",1707108,"Divinópolis do Tocantins (TO)",119,"Alto",30,"Médio Alto",149,"Médio Alto"
"358",1707207,"Dois Irmãos do Tocantins (TO)",269,"Muito Alto",59,"Alto",328,"Muito Alto"
"359",1707306,"Dueré (TO)",168,"Alto",65,"Alto",233,"Alto"
"360",1707405,"Esperantina (TO)",11,"Baixo",2,"Muito Baixo",13,"Muito Baixo"
"361",1707553,"Fátima (TO)",44,"Médio Baixo",3,"Baixo",47,"Médio Baixo"
"362",1707652,"Figueirópolis (TO)",151,"Alto",35,"Médio Alto",186,"Alto"
"363",1707702,"Filadélfia (TO)",139,"Alto",15,"Médio Baixo",154,"Médio Alto"
"364",1708205,"Formoso do Araguaia (TO)",192,"Muito Alto",134,"Muito Alto",326,"Muito Alto"
"365",1708254,"Fortaleza do Tabocão (TO)",28,"Médio Baixo",8,"Médio Baixo",36,"Médio Baixo"
"366",1708304,"Goianorte (TO)",99,"Médio Alto",19,"Médio Alto",118,"Médio Alto"
"367",1709005,"Goiatins (TO)",139,"Alto",33,"Médio Alto",172,"Alto"
"368",1709302,"Guaraí (TO)",138,"Alto",18,"Médio Alto",156,"Alto"
"369",1709500,"Gurupi (TO)",157,"Alto",24,"Médio Alto",181,"Alto"
"370",1709807,"Ipueiras (TO)",22,"Baixo",12,"Médio Baixo",34,"Baixo"
"371",1710508,"Itacajá (TO)",103,"Médio Alto",20,"Médio Alto",123,"Médio Alto"
"372",1710706,"Itaguatins (TO)",26,"Médio Baixo",5,"Baixo",31,"Baixo"
"373",1710904,"Itapiratins (TO)",93,"Médio Alto",14,"Médio Baixo",107,"Médio Alto"
"374",1711100,"Itaporã do Tocantins (TO)",43,"Médio Baixo",18,"Médio Alto",61,"Médio Baixo"
"375",1711506,"Jaú do Tocantins (TO)",113,"Alto",34,"Médio Alto",147,"Médio Alto"
"376",1711803,"Juarina (TO)",26,"Médio Baixo",7,"Médio Baixo",33,"Baixo"
"377",1711902,"Lagoa da Confusão (TO)",91,"Médio Alto",46,"Alto",137,"Médio Alto"
"378",1711951,"Lagoa do Tocantins (TO)",30,"Médio Baixo",8,"Médio Baixo",38,"Médio Baixo"
"379",1712009,"Lajeado (TO)",9,"Muito Baixo",1,"Muito Baixo",10,"Muito Baixo"
"380",1712157,"Lavandeira (TO)",24,"Médio Baixo",6,"Médio Baixo",30,"Baixo"
"381",1712405,"Lizarda (TO)",160,"Alto",18,"Médio Alto",178,"Alto"
"382",1712454,"Luzinópolis (TO)",15,"Baixo",1,"Muito Baixo",16,"Muito Baixo"
"383",1712504,"Marianópolis do Tocantins (TO)",47,"Médio Baixo",43,"Alto",90,"Médio Alto"
"384",1712702,"Mateiros (TO)",24,"Médio Baixo",15,"Médio Baixo",39,"Médio Baixo"
"385",1712801,"Maurilândia do Tocantins (TO)",10,"Baixo",0,0,0,0
"386",1713205,"Miracema do Tocantins (TO)",134,"Alto",38,"Médio Alto",172,"Alto"
"387",1713304,"Miranorte (TO)",67,"Médio Alto",9,"Médio Baixo",76,"Médio Baixo"
"388",1713601,"Monte do Carmo (TO)",186,"Alto",43,"Alto",229,"Alto"
"389",1713700,"Monte Santo do Tocantins (TO)",71,"Médio Alto",19,"Médio Alto",90,"Médio Alto"
"390",1713809,"Palmeiras do Tocantins (TO)",39,"Médio Baixo",8,"Médio Baixo",47,"Médio Baixo"
"391",1713957,"Muricilândia (TO)",34,"Médio Baixo",14,"Médio Baixo",48,"Médio Baixo"
"392",1714203,"Natividade (TO)",96,"Médio Alto",37,"Médio Alto",133,"Médio Alto"
"393",1714302,"Nazaré (TO)",10,"Baixo",2,"Muito Baixo",12,"Muito Baixo"
"394",1714880,"Nova Olinda (TO)",73,"Médio Alto",13,"Médio Baixo",86,"Médio Alto"
"395",1715002,"Nova Rosalândia (TO)",51,"Médio Baixo",4,"Baixo",55,"Médio Baixo"
"396",1715101,"Novo Acordo (TO)",33,"Médio Baixo",24,"Médio Alto",57,"Médio Baixo"
"397",1715150,"Novo Alegre (TO)",12,"Baixo",2,"Muito Baixo",14,"Muito Baixo"
"398",1715259,"Novo Jardim (TO)",21,"Baixo",9,"Médio Baixo",30,"Baixo"
"399",1715507,"Oliveira de Fátima (TO)",21,"Baixo",2,"Muito Baixo",23,"Baixo"
"400",1715705,"Palmeirante (TO)",112,"Alto",26,"Médio Alto",138,"Médio Alto"
"401",1715754,"Palmeirópolis (TO)",107,"Alto",26,"Médio Alto",133,"Médio Alto"
"402",1716109,"Paraíso do Tocantins (TO)",121,"Alto",14,"Médio Baixo",135,"Médio Alto"
"403",1716208,"Paranã (TO)",238,"Muito Alto",126,"Muito Alto",364,"Muito Alto"
"404",1716307,"Pau D'Arco (TO)",36,"Médio Baixo",19,"Médio Alto",55,"Médio Baixo"
"405",1716505,"Pedro Afonso (TO)",58,"Médio Alto",15,"Médio Baixo",73,"Médio Baixo"
"406",1716604,"Peixe (TO)",153,"Alto",94,"Muito Alto",247,"Alto"
"407",1716653,"Pequizeiro (TO)",54,"Médio Alto",20,"Médio Alto",74,"Médio Baixo"
"408",1716703,"Colméia (TO)",81,"Médio Alto",8,"Médio Baixo",89,"Médio Alto"
"409",1717008,"Pindorama do Tocantins (TO)",119,"Alto",12,"Médio Baixo",131,"Médio Alto"
"410",1717206,"Piraquê (TO)",15,"Baixo",18,"Médio Alto",33,"Baixo"
"411",1717503,"Pium (TO)",113,"Alto",95,"Muito Alto",208,"Alto"
"412",1717800,"Ponte Alta do Bom Jesus (TO)",45,"Médio Baixo",11,"Médio Baixo",56,"Médio Baixo"
"413",1717909,"Ponte Alta do Tocantins (TO)",155,"Alto",34,"Médio Alto",189,"Alto"
"414",1718006,"Porto Alegre do Tocantins (TO)",12,"Baixo",4,"Baixo",16,"Muito Baixo"
"415",1718204,"Porto Nacional (TO)",191,"Muito Alto",48,"Alto",239,"Alto"
"416",1718303,"Praia Norte (TO)",8,"Muito Baixo",0,0,0,0
"417",1718402,"Presidente Kennedy (TO)",31,"Médio Baixo",9,"Médio Baixo",40,"Médio Baixo"
"418",1718451,"Pugmil (TO)",26,"Médio Baixo",10,"Médio Baixo",36,"Médio Baixo"
"419",1718501,"Recursolândia (TO)",84,"Médio Alto",15,"Médio Baixo",99,"Médio Alto"
"420",1718550,"Riachinho (TO)",12,"Baixo",7,"Médio Baixo",19,"Baixo"
"421",1718659,"Rio da Conceição (TO)",0,0,0,0,0,0
"422",1718709,"Rio dos Bois (TO)",31,"Médio Baixo",11,"Médio Baixo",42,"Médio Baixo"
"423",1718758,"Rio Sono (TO)",256,"Muito Alto",51,"Alto",307,"Muito Alto"
"424",1718808,"Sampaio (TO)",3,"Muito Baixo",3,"Baixo",6,"Muito Baixo"
"425",1718840,"Sandolândia (TO)",85,"Médio Alto",44,"Alto",129,"Médio Alto"
"426",1718865,"Santa Fé do Araguaia (TO)",20,"Baixo",42,"Alto",62,"Médio Baixo"
"427",1718881,"Santa Maria do Tocantins (TO)",102,"Médio Alto",15,"Médio Baixo",117,"Médio Alto"
"428",1718899,"Santa Rita do Tocantins (TO)",96,"Médio Alto",65,"Alto",161,"Alto"
"429",1718907,"Santa Rosa do Tocantins (TO)",50,"Médio Baixo",26,"Médio Alto",76,"Médio Baixo"
"430",1719004,"Santa Tereza do Tocantins (TO)",37,"Médio Baixo",3,"Baixo",40,"Médio Baixo"
"431",1720002,"Santa Terezinha do Tocantins (TO)",10,"Baixo",3,"Baixo",13,"Muito Baixo"
"432",1720101,"São Bento do Tocantins (TO)",30,"Médio Baixo",8,"Médio Baixo",38,"Médio Baixo"
"433",1720150,"São Félix do Tocantins (TO)",18,"Baixo",0,0,0,0
"434",1720200,"São Miguel do Tocantins (TO)",7,"Muito Baixo",5,"Baixo",12,"Muito Baixo"
"435",1720259,"São Salvador do Tocantins (TO)",44,"Médio Baixo",10,"Médio Baixo",54,"Médio Baixo"
"436",1720309,"São Sebastião do Tocantins (TO)",8,"Muito Baixo",2,"Muito Baixo",10,"Muito Baixo"
"437",1720499,"São Valério (TO)",87,"Médio Alto",37,"Médio Alto",124,"Médio Alto"
"438",1720655,"Silvanópolis (TO)",85,"Médio Alto",17,"Médio Alto",102,"Médio Alto"
"439",1720804,"Sítio Novo do Tocantins (TO)",17,"Baixo",1,"Muito Baixo",18,"Baixo"
"440",1720853,"Sucupira (TO)",43,"Médio Baixo",20,"Médio Alto",63,"Médio Baixo"
"441",1720903,"Taguatinga (TO)",88,"Médio Alto",23,"Médio Alto",111,"Médio Alto"
"442",1720937,"Taipas do Tocantins (TO)",27,"Médio Baixo",13,"Médio Baixo",40,"Médio Baixo"
"443",1720978,"Talismã (TO)",87,"Médio Alto",49,"Alto",136,"Médio Alto"
"444",1721000,"Palmas (TO)",50,"Médio Baixo",10,"Médio Baixo",60,"Médio Baixo"
"445",1721109,"Tocantínia (TO)",29,"Médio Baixo",6,"Médio Baixo",35,"Médio Baixo"
"446",1721208,"Tocantinópolis (TO)",26,"Médio Baixo",3,"Baixo",29,"Baixo"
"447",1721257,"Tupirama (TO)",29,"Médio Baixo",9,"Médio Baixo",38,"Médio Baixo"
"448",1721307,"Tupiratins (TO)",18,"Baixo",9,"Médio Baixo",27,"Baixo"
"449",1722081,"Wanderlândia (TO)",44,"Médio Baixo",20,"Médio Alto",64,"Médio Baixo"
"450",1722107,"Xambioá (TO)",34,"Médio Baixo",22,"Médio Alto",56,"Médio Baixo"
"451",2100055,"Açailândia (MA)",214,"Muito Alto",83,"Muito Alto",297,"Muito Alto"
"452",2100204,"Alcântara (MA)",2,"Muito Baixo",0,0,0,0
"453",2100402,"Altamira do Maranhão (MA)",26,"Médio Baixo",8,"Médio Baixo",34,"Baixo"
"454",2100436,"Alto Alegre do Maranhão (MA)",7,"Muito Baixo",4,"Baixo",11,"Muito Baixo"
"455",2100477,"Alto Alegre do Pindaré (MA)",81,"Médio Alto",6,"Médio Baixo",87,"Médio Alto"
"456",2100501,"Alto Parnaíba (MA)",103,"Médio Alto",32,"Médio Alto",135,"Médio Alto"
"457",2100550,"Amapá do Maranhão (MA)",15,"Baixo",2,"Muito Baixo",17,"Muito Baixo"
"458",2100600,"Amarante do Maranhão (MA)",185,"Alto",22,"Médio Alto",207,"Alto"
"459",2100709,"Anajatuba (MA)",8,"Muito Baixo",0,0,0,0
"460",2100832,"Apicum-Açu (MA)",0,0,0,0,0,0
"461",2100873,"Araguanã (MA)",40,"Médio Baixo",3,"Baixo",43,"Médio Baixo"
"462",2100956,"Arame (MA)",103,"Médio Alto",11,"Médio Baixo",114,"Médio Alto"
"463",2101004,"Arari (MA)",41,"Médio Baixo",4,"Baixo",45,"Médio Baixo"
"464",2101103,"Axixá (MA)",0,0,0,0,0,0
"465",2101202,"Bacabal (MA)",115,"Alto",23,"Médio Alto",138,"Médio Alto"
"466",2101251,"Bacabeira (MA)",6,"Muito Baixo",1,"Muito Baixo",7,"Muito Baixo"
"467",2101301,"Bacuri (MA)",2,"Muito Baixo",0,0,0,0
"468",2101350,"Bacurituba (MA)",1,"Muito Baixo",0,0,0,0
"469",2101400,"Balsas (MA)",184,"Alto",98,"Muito Alto",282,"Muito Alto"
"470",2101608,"Barra do Corda (MA)",140,"Alto",24,"Médio Alto",164,"Alto"
"471",2101772,"Bela Vista do Maranhão (MA)",7,"Muito Baixo",1,"Muito Baixo",8,"Muito Baixo"
"472",2101806,"Benedito Leite (MA)",39,"Médio Baixo",15,"Médio Baixo",54,"Médio Baixo"
"473",2101905,"Bequimão (MA)",4,"Muito Baixo",1,"Muito Baixo",5,"Muito Baixo"
"474",2101939,"Bernardo do Mearim (MA)",6,"Muito Baixo",1,"Muito Baixo",7,"Muito Baixo"
"475",2101970,"Boa Vista do Gurupi (MA)",6,"Muito Baixo",3,"Baixo",9,"Muito Baixo"
"476",2102002,"Bom Jardim (MA)",104,"Médio Alto",29,"Médio Alto",133,"Médio Alto"
"477",2102036,"Bom Jesus das Selvas (MA)",55,"Médio Alto",17,"Médio Alto",72,"Médio Baixo"
"478",2102077,"Bom Lugar (MA)",34,"Médio Baixo",4,"Baixo",38,"Médio Baixo"
"479",2102150,"Brejo de Areia (MA)",54,"Médio Alto",3,"Baixo",57,"Médio Baixo"
"480",2102309,"Buriti Bravo (MA)",33,"Médio Baixo",4,"Baixo",37,"Médio Baixo"
"481",2102325,"Buriticupu (MA)",43,"Médio Baixo",11,"Médio Baixo",54,"Médio Baixo"
"482",2102358,"Buritirana (MA)",61,"Médio Alto",7,"Médio Baixo",68,"Médio Baixo"
"483",2102374,"Cachoeira Grande (MA)",2,"Muito Baixo",0,0,0,0
"484",2102408,"Cajapió (MA)",5,"Muito Baixo",2,"Muito Baixo",7,"Muito Baixo"
"485",2102507,"Cajari (MA)",24,"Médio Baixo",2,"Muito Baixo",26,"Baixo"
"486",2102556,"Campestre do Maranhão (MA)",26,"Médio Baixo",7,"Médio Baixo",33,"Baixo"
"487",2102606,"Cândido Mendes (MA)",4,"Muito Baixo",3,"Baixo",7,"Muito Baixo"
"488",2102705,"Cantanhede (MA)",10,"Baixo",4,"Baixo",14,"Muito Baixo"
"489",2102754,"Capinzal do Norte (MA)",16,"Baixo",3,"Baixo",19,"Baixo"
"490",2102804,"Carolina (MA)",195,"Muito Alto",44,"Alto",239,"Alto"
"491",2102903,"Carutapera (MA)",26,"Médio Baixo",2,"Muito Baixo",28,"Baixo"
"492",2103109,"Cedral (MA)",2,"Muito Baixo",0,0,0,0
"493",2103125,"Central do Maranhão (MA)",0,0,0,0,0,0
"494",2103158,"Centro do Guilherme (MA)",23,"Médio Baixo",3,"Baixo",26,"Baixo"
"495",2103174,"Centro Novo do Maranhão (MA)",35,"Médio Baixo",12,"Médio Baixo",47,"Médio Baixo"
"496",2103257,"Cidelândia (MA)",74,"Médio Alto",21,"Médio Alto",95,"Médio Alto"
"497",2103307,"Codó (MA)",99,"Médio Alto",18,"Médio Alto",117,"Médio Alto"
"498",2103505,"Colinas (MA)",27,"Médio Baixo",6,"Médio Baixo",33,"Baixo"
"499",2103554,"Conceição do Lago-Açu (MA)",19,"Baixo",1,"Muito Baixo",20,"Baixo"
"500",2103604,"Coroatá (MA)",61,"Médio Alto",9,"Médio Baixo",70,"Médio Baixo"
"501",2103703,"Cururupu (MA)",0,0,0,0,0,0
"502",2103752,"Davinópolis (MA)",18,"Baixo",5,"Baixo",23,"Baixo"
"503",2103802,"Dom Pedro (MA)",30,"Médio Baixo",2,"Muito Baixo",32,"Baixo"
"504",2104008,"Esperantinópolis (MA)",22,"Baixo",0,0,0,0
"505",2104057,"Estreito (MA)",130,"Alto",22,"Médio Alto",152,"Médio Alto"
"506",2104073,"Feira Nova do Maranhão (MA)",96,"Médio Alto",8,"Médio Baixo",104,"Médio Alto"
"507",2104081,"Fernando Falcão (MA)",49,"Médio Baixo",6,"Médio Baixo",55,"Médio Baixo"
"508",2104099,"Formosa da Serra Negra (MA)",149,"Alto",13,"Médio Baixo",162,"Alto"
"509",2104107,"Fortaleza dos Nogueiras (MA)",95,"Médio Alto",14,"Médio Baixo",109,"Médio Alto"
"510",2104206,"Fortuna (MA)",14,"Baixo",1,"Muito Baixo",15,"Muito Baixo"
"511",2104305,"Godofredo Viana (MA)",8,"Muito Baixo",1,"Muito Baixo",9,"Muito Baixo"
"512",2104404,"Gonçalves Dias (MA)",27,"Médio Baixo",4,"Baixo",31,"Baixo"
"513",2104503,"Governador Archer (MA)",13,"Baixo",3,"Baixo",16,"Muito Baixo"
"514",2104552,"Governador Edison Lobão (MA)",37,"Médio Baixo",7,"Médio Baixo",44,"Médio Baixo"
"515",2104602,"Governador Eugênio Barros (MA)",26,"Médio Baixo",9,"Médio Baixo",35,"Médio Baixo"
"516",2104628,"Governador Luiz Rocha (MA)",11,"Baixo",1,"Muito Baixo",12,"Muito Baixo"
"517",2104651,"Governador Newton Bello (MA)",53,"Médio Alto",8,"Médio Baixo",61,"Médio Baixo"
"518",2104677,"Governador Nunes Freire (MA)",50,"Médio Baixo",1,"Muito Baixo",51,"Médio Baixo"
"519",2104701,"Graça Aranha (MA)",15,"Baixo",0,0,0,0
"520",2104800,"Grajaú (MA)",239,"Muito Alto",57,"Alto",296,"Muito Alto"
"521",2104909,"Guimarães (MA)",0,0,0,0,0,0
"522",2105104,"Icatu (MA)",2,"Muito Baixo",3,"Baixo",5,"Muito Baixo"
"523",2105153,"Igarapé do Meio (MA)",8,"Muito Baixo",8,"Médio Baixo",16,"Muito Baixo"
"524",2105203,"Igarapé Grande (MA)",14,"Baixo",5,"Baixo",19,"Baixo"
"525",2105302,"Imperatriz (MA)",49,"Médio Baixo",17,"Médio Alto",66,"Médio Baixo"
"526",2105351,"Itaipava do Grajaú (MA)",51,"Médio Baixo",1,"Muito Baixo",52,"Médio Baixo"
"527",2105401,"Itapecuru Mirim (MA)",21,"Baixo",4,"Baixo",25,"Baixo"
"528",2105427,"Itinga do Maranhão (MA)",65,"Médio Alto",42,"Alto",107,"Médio Alto"
"529",2105450,"Jatobá (MA)",11,"Baixo",1,"Muito Baixo",12,"Muito Baixo"
"530",2105476,"Jenipapo dos Vieiras (MA)",46,"Médio Baixo",6,"Médio Baixo",52,"Médio Baixo"
"531",2105500,"João Lisboa (MA)",73,"Médio Alto",13,"Médio Baixo",86,"Médio Alto"
"532",2105609,"Joselândia (MA)",14,"Baixo",0,0,0,0
"533",2105658,"Junco do Maranhão (MA)",37,"Médio Baixo",2,"Muito Baixo",39,"Médio Baixo"
"534",2105708,"Lago da Pedra (MA)",78,"Médio Alto",7,"Médio Baixo",85,"Médio Alto"
"535",2105807,"Lago do Junco (MA)",13,"Baixo",2,"Muito Baixo",15,"Muito Baixo"
"536",2105906,"Lago Verde (MA)",30,"Médio Baixo",5,"Baixo",35,"Médio Baixo"
"537",2105948,"Lago dos Rodrigues (MA)",12,"Baixo",0,0,0,0
"538",2105963,"Lagoa Grande do Maranhão (MA)",39,"Médio Baixo",2,"Muito Baixo",41,"Médio Baixo"
"539",2105989,"Lajeado Novo (MA)",53,"Médio Alto",4,"Baixo",57,"Médio Baixo"
"540",2106003,"Lima Campos (MA)",4,"Muito Baixo",0,0,0,0
"541",2106102,"Loreto (MA)",76,"Médio Alto",39,"Alto",115,"Médio Alto"
"542",2106201,"Luís Domingues (MA)",20,"Baixo",2,"Muito Baixo",22,"Baixo"
"543",2106326,"Maracaçumé (MA)",23,"Médio Baixo",4,"Baixo",27,"Baixo"
"544",2106359,"Marajá do Sena (MA)",62,"Médio Alto",6,"Médio Baixo",68,"Médio Baixo"
"545",2106375,"Maranhãozinho (MA)",45,"Médio Baixo",6,"Médio Baixo",51,"Médio Baixo"
"546",2106508,"Matinha (MA)",4,"Muito Baixo",1,"Muito Baixo",5,"Muito Baixo"
"547",2106631,"Matões do Norte (MA)",29,"Médio Baixo",8,"Médio Baixo",37,"Médio Baixo"
"548",2106706,"Mirador (MA)",106,"Médio Alto",20,"Médio Alto",126,"Médio Alto"
"549",2106755,"Miranda do Norte (MA)",19,"Baixo",1,"Muito Baixo",20,"Baixo"
"550",2106805,"Mirinzal (MA)",1,"Muito Baixo",0,0,0,0
"551",2106904,"Monção (MA)",23,"Médio Baixo",4,"Baixo",27,"Baixo"
"552",2107001,"Montes Altos (MA)",36,"Médio Baixo",3,"Baixo",39,"Médio Baixo"
"553",2107100,"Morros (MA)",0,0,0,0,0,0
"554",2107258,"Nova Colinas (MA)",44,"Médio Baixo",2,"Muito Baixo",46,"Médio Baixo"
"555",2107308,"Nova Iorque (MA)",17,"Baixo",5,"Baixo",22,"Baixo"
"556",2107357,"Nova Olinda do Maranhão (MA)",25,"Médio Baixo",7,"Médio Baixo",32,"Baixo"
"557",2107407,"Olho d'Água das Cunhãs (MA)",33,"Médio Baixo",12,"Médio Baixo",45,"Médio Baixo"
"558",2107456,"Olinda Nova do Maranhão (MA)",1,"Muito Baixo",0,0,0,0
"559",2107506,"Paço do Lumiar (MA)",0,0,0,0,0,0
"560",2107605,"Palmeirândia (MA)",2,"Muito Baixo",1,"Muito Baixo",3,"Muito Baixo"
