"","cod_muni","muni","total_medios_estab","class_total_medios_estab","total_grandes_estab","class_total_grandes_estab","medios_e_grandes_estab","class_medios_e_grandes_estab"
"63",1200344,"Manoel Urbano (AC)",74,"Médio Alto",11,"Médio Baixo",85,"Médio Alto"
"64",1200351,"Marechal Thaumaturgo (AC)",1,"Muito Baixo",1,"Muito Baixo",2,"Muito Baixo"
"65",1200385,"Plácido de Castro (AC)",132,"Alto",22,"Médio Alto",154,"Médio Alto"
"66",1200393,"Porto Walter (AC)",9,"Muito Baixo",0,0,0,0
"67",1200401,"Rio Branco (AC)",432,"Muito Alto",81,"Muito Alto",513,"Muito Alto"
"68",1200427,"Rodrigues Alves (AC)",21,"Baixo",2,"Muito Baixo",23,"Baixo"
"69",1200435,"Santa Rosa do Purus (AC)",25,"Médio Baixo",3,"Baixo",28,"Baixo"
"70",1200450,"Senador Guiomard (AC)",119,"Alto",34,"Médio Alto",153,"Médio Alto"
"71",1200500,"Sena Madureira (AC)",213,"Muito Alto",51,"Alto",264,"Muito Alto"
"72",1200609,"Tarauacá (AC)",119,"Alto",32,"Médio Alto",151,"Médio Alto"
"73",1200708,"Xapuri (AC)",760,"Muito Alto",60,"Alto",820,"Muito Alto"
"74",1200807,"Porto Acre (AC)",87,"Médio Alto",39,"Alto",126,"Médio Alto"
"75",1300029,"Alvarães (AM)",3,"Muito Baixo",0,0,0,0
"76",1300060,"Amaturá (AM)",6,"Muito Baixo",1,"Muito Baixo",7,"Muito Baixo"
"77",1300086,"Anamã (AM)",13,"Baixo",0,0,0,0
"78",1300102,"Anori (AM)",20,"Baixo",1,"Muito Baixo",21,"Baixo"
"79",1300144,"Apuí (AM)",302,"Muito Alto",57,"Alto",359,"Muito Alto"
"80",1300201,"Atalaia do Norte (AM)",0,0,0,0,0,0
"81",1300300,"Autazes (AM)",190,"Muito Alto",9,"Médio Baixo",199,"Alto"
"82",1300409,"Barcelos (AM)",0,0,0,0,0,0
"83",1300508,"Barreirinha (AM)",36,"Médio Baixo",2,"Muito Baixo",38,"Médio Baixo"
"84",1300607,"Benjamin Constant (AM)",2,"Muito Baixo",0,0,0,0
"85",1300631,"Beruri (AM)",24,"Médio Baixo",2,"Muito Baixo",26,"Baixo"
"86",1300680,"Boa Vista do Ramos (AM)",28,"Médio Baixo",0,0,0,0
"87",1300706,"Boca do Acre (AM)",260,"Muito Alto",41,"Alto",301,"Muito Alto"
"88",1300805,"Borba (AM)",22,"Baixo",0,0,0,0
"89",1300839,"Caapiranga (AM)",0,0,0,0,0,0
"90",1300904,"Canutama (AM)",92,"Médio Alto",33,"Médio Alto",125,"Médio Alto"
"91",1301001,"Carauari (AM)",8,"Muito Baixo",1,"Muito Baixo",9,"Muito Baixo"
"92",1301100,"Careiro (AM)",55,"Médio Alto",4,"Baixo",59,"Médio Baixo"
"93",1301159,"Careiro da Várzea (AM)",58,"Médio Alto",1,"Muito Baixo",59,"Médio Baixo"
"94",1301209,"Coari (AM)",68,"Médio Alto",11,"Médio Baixo",79,"Médio Baixo"
"95",1301308,"Codajás (AM)",89,"Médio Alto",3,"Baixo",92,"Médio Alto"
"96",1301407,"Eirunepé (AM)",7,"Muito Baixo",1,"Muito Baixo",8,"Muito Baixo"
"97",1301506,"Envira (AM)",110,"Alto",8,"Médio Baixo",118,"Médio Alto"
"98",1301605,"Fonte Boa (AM)",0,0,0,0,0,0
"99",1301654,"Guajará (AM)",40,"Médio Baixo",7,"Médio Baixo",47,"Médio Baixo"
"100",1301704,"Humaitá (AM)",43,"Médio Baixo",13,"Médio Baixo",56,"Médio Baixo"
"101",1301803,"Ipixuna (AM)",42,"Médio Baixo",2,"Muito Baixo",44,"Médio Baixo"
"102",1301852,"Iranduba (AM)",12,"Baixo",0,0,0,0
"103",1301902,"Itacoatiara (AM)",89,"Médio Alto",11,"Médio Baixo",100,"Médio Alto"
"104",1301951,"Itamarati (AM)",10,"Baixo",0,0,0,0
"105",1302009,"Itapiranga (AM)",12,"Baixo",0,0,0,0
"106",1302108,"Japurá (AM)",5,"Muito Baixo",0,0,0,0
"107",1302207,"Juruá (AM)",1,"Muito Baixo",0,0,0,0
"108",1302306,"Jutaí (AM)",3,"Muito Baixo",1,"Muito Baixo",4,"Muito Baixo"
"109",1302405,"Lábrea (AM)",140,"Alto",76,"Alto",216,"Alto"
"110",1302504,"Manacapuru (AM)",28,"Médio Baixo",3,"Baixo",31,"Baixo"
"111",1302553,"Manaquiri (AM)",23,"Médio Baixo",1,"Muito Baixo",24,"Baixo"
"112",1302603,"Manaus (AM)",17,"Baixo",2,"Muito Baixo",19,"Baixo"
"113",1302702,"Manicoré (AM)",147,"Alto",39,"Alto",186,"Alto"
"114",1302801,"Maraã (AM)",0,0,0,0,0,0
"115",1302900,"Maués (AM)",73,"Médio Alto",20,"Médio Alto",93,"Médio Alto"
"116",1303007,"Nhamundá (AM)",64,"Médio Alto",1,"Muito Baixo",65,"Médio Baixo"
"117",1303106,"Nova Olinda do Norte (AM)",11,"Baixo",2,"Muito Baixo",13,"Muito Baixo"
"118",1303205,"Novo Airão (AM)",3,"Muito Baixo",0,0,0,0
"119",1303304,"Novo Aripuanã (AM)",91,"Médio Alto",17,"Médio Alto",108,"Médio Alto"
"120",1303403,"Parintins (AM)",95,"Médio Alto",9,"Médio Baixo",104,"Médio Alto"
"121",1303502,"Pauini (AM)",26,"Médio Baixo",4,"Baixo",30,"Baixo"
"122",1303536,"Presidente Figueiredo (AM)",63,"Médio Alto",14,"Médio Baixo",77,"Médio Baixo"
"123",1303569,"Rio Preto da Eva (AM)",36,"Médio Baixo",11,"Médio Baixo",47,"Médio Baixo"
"124",1303601,"Santa Isabel do Rio Negro (AM)",0,0,0,0,0,0
"125",1303700,"Santo Antônio do Içá (AM)",5,"Muito Baixo",0,0,0,0
"126",1303809,"São Gabriel da Cachoeira (AM)",1,"Muito Baixo",0,0,0,0
"127",1303908,"São Paulo de Olivença (AM)",0,0,0,0,0,0
"128",1303957,"São Sebastião do Uatumã (AM)",27,"Médio Baixo",1,"Muito Baixo",28,"Baixo"
"129",1304005,"Silves (AM)",12,"Baixo",1,"Muito Baixo",13,"Muito Baixo"
"130",1304062,"Tabatinga (AM)",0,0,0,0,0,0
"131",1304104,"Tapauá (AM)",14,"Baixo",7,"Médio Baixo",21,"Baixo"
"132",1304203,"Tefé (AM)",14,"Baixo",1,"Muito Baixo",15,"Muito Baixo"
"133",1304237,"Tonantins (AM)",4,"Muito Baixo",0,0,0,0
"134",1304260,"Uarini (AM)",19,"Baixo",1,"Muito Baixo",20,"Baixo"
"135",1304302,"Urucará (AM)",42,"Médio Baixo",11,"Médio Baixo",53,"Médio Baixo"
"136",1304401,"Urucurituba (AM)",39,"Médio Baixo",2,"Muito Baixo",41,"Médio Baixo"
"137",1400027,"Amajari (RR)",124,"Alto",115,"Muito Alto",239,"Alto"
"138",1400050,"Alto Alegre (RR)",109,"Alto",75,"Alto",184,"Alto"
"139",1400100,"Boa Vista (RR)",57,"Médio Alto",37,"Médio Alto",94,"Médio Alto"
"140",1400159,"Bonfim (RR)",119,"Alto",91,"Muito Alto",210,"Alto"
"141",1400175,"Cantá (RR)",167,"Alto",51,"Alto",218,"Alto"
"142",1400209,"Caracaraí (RR)",87,"Médio Alto",29,"Médio Alto",116,"Médio Alto"
"143",1400233,"Caroebe (RR)",174,"Alto",14,"Médio Baixo",188,"Alto"
"144",1400282,"Iracema (RR)",87,"Médio Alto",16,"Médio Alto",103,"Médio Alto"
