"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"31",1100254,"Presidente Médici","RO",18760.18,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5281,"Médio Alto","Médio Baixo"
"32",1100296,"Santa Luzia D'Oeste","RO",19347.7,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4972,"Médio Alto","Baixo"
"33",1100346,"Alvorada D'Oeste","RO",15685.89,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5355,"Médio Alto","Médio Baixo"
"34",1100403,"Alto Paraíso","RO",15288.98,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5417,"Médio Alto","Médio Baixo"
"35",1100452,"Buritis","RO",17063.65,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5017,"Médio Alto","Baixo"
"36",1100502,"Novo Horizonte do Oeste","RO",16744.93,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5214,"Médio Alto","Baixo"
"37",1100908,"Castanheiras","RO",31403.68,"Produção florestal, pesca e aquicultura","Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social",0.4996,"Alto","Baixo"
"38",1100940,"Cujubim","RO",14437.6,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.525,"Médio Alto","Médio Baixo"
"39",1101401,"Monte Negro","RO",16573.47,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4813,"Médio Alto","Muito Baixo"
"40",1101476,"Primavera de Rondônia","RO",18573.98,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5188,"Médio Alto","Baixo"
"41",1101484,"São Felipe D'Oeste","RO",15204.8,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4695,"Médio Alto","Muito Baixo"
"42",1101500,"Seringueiras","RO",19010.25,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6384,"Médio Alto","Muito Alto"
"43",1101708,"Urupá","RO",15946.09,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5165,"Médio Alto","Baixo"
"44",1101757,"Vale do Anari","RO",13523.82,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5727,"Médio Alto","Médio Alto"
"45",1200013,"Acrelândia","AC",15984.09,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5464,"Médio Alto","Médio Baixo"
"46",1200138,"Bujari","AC",16380.21,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5832,"Médio Alto","Médio Alto"
"47",1200179,"Capixaba","AC",15354.37,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5627,"Médio Alto","Médio Alto"
"48",1200385,"Plácido de Castro","AC",13030.7,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.575,"Médio Alto","Médio Alto"
"49",1200708,"Xapuri","AC",12726.81,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.59,"Médio Baixo","Médio Alto"
"50",1200807,"Porto Acre","AC",13169.3,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.6121,"Médio Alto","Alto"
"51",1300144,"Apuí","AM",9037.65,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5753,"Médio Baixo","Médio Alto"
"52",1400027,"Amajari","RR",14119.38,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.7502,"Médio Alto","Muito Alto"
