"","cod_muni","muni","royalties_cfh_energia_eletrica","class_royalties_cfh","royalties_cfem_mineracao","class_royalties_cfem_mineracao"
"74",1100106,"Guajará-Mirim (RO)",0,0,6555.54,"Médio Baixo"
"75",1100114,"Jaru (RO)",0,0,12466.34,"Médio Baixo"
"76",1100122,"Ji-Paraná (RO)",0,0,27420.15,"Médio Alto"
"77",1100130,"Machadinho D'Oeste (RO)",0,0,28122.89,"Médio Alto"
"78",1100148,"Nova Brasilândia D'Oeste (RO)",0,0,94431.02,"Alto"
"79",1100155,"Ouro Preto do Oeste (RO)",0,0,49799.44,"Médio Alto"
"80",1100254,"Presidente Médici (RO)",0,0,17220.8,"Médio Baixo"
"81",1100262,"Rio Crespo (RO)",0,0,115455.73,"Alto"
"82",1100288,"Rolim de Moura (RO)",0,0,3182.8,"Médio Baixo"
"83",1100296,"Santa Luzia D'Oeste (RO)",0,0,11261.54,"Médio Baixo"
"84",1100304,"Vilhena (RO)",0,0,18658.59,"Médio Alto"
"85",1100338,"Nova Mamoré (RO)",0,0,3449.72,"Médio Baixo"
"86",1100452,"Buritis (RO)",0,0,871.95,"Baixo"
"87",1100700,"Campo Novo de Rondônia (RO)",0,0,973889.48,"Muito Alto"
"88",1101203,"Ministro Andreazza (RO)",0,0,48074.9,"Médio Alto"
"89",1101450,"Parecis (RO)",0,0,163600.86,"Alto"
"90",1101468,"Pimenteiras do Oeste (RO)",0,0,1140.73,"Baixo"
"91",1101500,"Seringueiras (RO)",0,0,1057.26,"Baixo"
"92",1101559,"Teixeirópolis (RO)",0,0,2161.96,"Baixo"
"93",1101807,"Vale do Paraíso (RO)",0,0,1450.27,"Baixo"
"94",1200104,"Brasiléia (AC)",0,0,2553.07,"Médio Baixo"
"95",1200203,"Cruzeiro do Sul (AC)",0,0,8895.96,"Médio Baixo"
"96",1200336,"Mâncio Lima (AC)",0,0,1072.99,"Baixo"
"97",1200401,"Rio Branco (AC)",0,0,24091.22,"Médio Alto"
"98",1200450,"Senador Guiomard (AC)",0,0,33770.79,"Médio Alto"
"99",1200500,"Sena Madureira (AC)",0,0,584.72,"Muito Baixo"
"100",1300409,"Barcelos (AM)",0,0,36653.54,"Médio Alto"
"101",1300805,"Borba (AM)",0,0,111236.32,"Alto"
"102",1301001,"Carauari (AM)",0,0,27.82,"Muito Baixo"
"103",1301159,"Careiro da Várzea (AM)",0,0,944.55,"Baixo"
"104",1301209,"Coari (AM)",0,0,1432.16,"Baixo"
"105",1301407,"Eirunepé (AM)",0,0,948.98,"Baixo"
"106",1301704,"Humaitá (AM)",0,0,200.41,"Muito Baixo"
"107",1301852,"Iranduba (AM)",0,0,22579.19,"Médio Alto"
"108",1301902,"Itacoatiara (AM)",0,0,3448.11,"Médio Baixo"
"109",1302306,"Jutaí (AM)",0,0,7214.34,"Médio Baixo"
"110",1302405,"Lábrea (AM)",0,0,90165.24,"Alto"
"111",1302504,"Manacapuru (AM)",0,0,7005.38,"Médio Baixo"
"112",1302603,"Manaus (AM)",0,0,584848.23,"Muito Alto"
"113",1303205,"Novo Airão (AM)",0,0,1604.75,"Baixo"
"114",1303304,"Novo Aripuanã (AM)",0,0,5364.93,"Médio Baixo"
"115",1303403,"Parintins (AM)",0,0,3411.91,"Médio Baixo"
"116",1304005,"Silves (AM)",0,0,146.97,"Muito Baixo"
"117",1304062,"Tabatinga (AM)",0,0,733.27,"Baixo"
"118",1400100,"Boa Vista (RR)",0,0,149164.84,"Alto"
"119",1400175,"Cantá (RR)",0,0,10064.68,"Médio Baixo"
"120",1400209,"Caracaraí (RR)",0,0,2214.17,"Baixo"
"121",1400308,"Mucajaí (RR)",0,0,665.8,"Muito Baixo"
"122",1400472,"Rorainópolis (RR)",0,0,738.02,"Baixo"
"123",1500107,"Abaetetuba (PA)",0,0,3850.71,"Médio Baixo"
"124",1500206,"Acará (PA)",0,0,1138.92,"Baixo"
"125",1500800,"Ananindeua (PA)",0,0,32471.83,"Médio Alto"
"126",1500909,"Augusto Corrêa (PA)",0,0,13223.55,"Médio Baixo"
"127",1500958,"Aurora do Pará (PA)",0,0,23525.16,"Médio Alto"
"128",1501006,"Aveiro (PA)",0,0,2106.02,"Baixo"
"129",1501303,"Barcarena (PA)",0,0,638.5,"Muito Baixo"
"130",1501402,"Belém (PA)",0,0,110144.13,"Alto"
"131",1501501,"Benevides (PA)",0,0,72815.3,"Médio Alto"
"132",1501600,"Bonito (PA)",0,0,364750.51,"Alto"
"133",1502152,"Canaã dos Carajás (PA)",0,0,40256143.19,"Muito Alto"
"134",1502202,"Capanema (PA)",0,0,27458.96,"Médio Alto"
"135",1502301,"Capitão Poço (PA)",0,0,23753.19,"Médio Alto"
"136",1502400,"Castanhal (PA)",0,0,36563.55,"Médio Alto"
"137",1502764,"Cumaru do Norte (PA)",0,0,58895.64,"Médio Alto"
"138",1502772,"Curionópolis (PA)",0,0,8958364.11,"Muito Alto"
"139",1502954,"Eldorado do Carajás (PA)",0,0,53283.37,"Médio Alto"
"140",1503200,"Igarapé-Açu (PA)",0,0,1956.32,"Baixo"
"141",1503408,"Inhangapi (PA)",0,0,16208.52,"Médio Baixo"
"142",1503457,"Ipixuna do Pará (PA)",0,0,7405667.22,"Muito Alto"
"143",1503507,"Irituia (PA)",0,0,4571.24,"Médio Baixo"
"144",1503606,"Itaituba (PA)",0,0,2586612.6,"Muito Alto"
"145",1503903,"Juruti (PA)",0,0,7886326.83,"Muito Alto"
"146",1504059,"Mãe do Rio (PA)",0,0,3779.74,"Médio Baixo"
"147",1504422,"Marituba (PA)",0,0,324.59,"Muito Baixo"
"148",1504703,"Moju (PA)",0,0,3946.26,"Médio Baixo"
"149",1504802,"Monte Alegre (PA)",0,0,8950.58,"Médio Baixo"
"150",1505007,"Nova Timboteua (PA)",0,0,3707.05,"Médio Baixo"
"151",1505031,"Novo Progresso (PA)",0,0,5069.27,"Médio Baixo"
"152",1505304,"Oriximiná (PA)",0,0,13963332.68,"Muito Alto"
"153",1505403,"Ourém (PA)",0,0,54960.78,"Médio Alto"
"154",1505502,"Paragominas (PA)",0,0,20860570.35,"Muito Alto"
"155",1505536,"Parauapebas (PA)",0,0,248428467.4,"Muito Alto"
"156",1506104,"Primavera (PA)",0,0,259489.02,"Alto"
"157",1506138,"Redenção (PA)",0,0,28379.57,"Médio Alto"
