"","cod_muni","muni","royalties_cfh_energia_eletrica","class_royalties_cfh","royalties_cfem_mineracao","class_royalties_cfem_mineracao"
"371",1302702,"Manicoré (AM)",0,0,0,0
"372",1302801,"Maraã (AM)",0,0,0,0
"373",1302900,"Maués (AM)",0,0,0,0
"374",1303007,"Nhamundá (AM)",0,0,0,0
"375",1303106,"Nova Olinda do Norte (AM)",0,0,0,0
"376",1303502,"Pauini (AM)",0,0,0,0
"377",1303569,"Rio Preto da Eva (AM)",0,0,0,0
"378",1303601,"Santa Isabel do Rio Negro (AM)",0,0,0,0
"379",1303700,"Santo Antônio do Içá (AM)",0,0,0,0
"380",1303809,"São Gabriel da Cachoeira (AM)",0,0,0,0
"381",1303908,"São Paulo de Olivença (AM)",0,0,0,0
"382",1303957,"São Sebastião do Uatumã (AM)",0,0,0,0
"383",1304104,"Tapauá (AM)",0,0,0,0
"384",1304203,"Tefé (AM)",0,0,0,0
"385",1304237,"Tonantins (AM)",0,0,0,0
"386",1304260,"Uarini (AM)",0,0,0,0
"387",1304401,"Urucurituba (AM)",0,0,0,0
"388",1400027,"Amajari (RR)",0,0,0,0
"389",1400050,"Alto Alegre (RR)",0,0,0,0
"390",1400159,"Bonfim (RR)",0,0,0,0
"391",1400233,"Caroebe (RR)",0,0,0,0
"392",1400282,"Iracema (RR)",0,0,0,0
"393",1400407,"Normandia (RR)",0,0,0,0
"394",1400456,"Pacaraima (RR)",0,0,0,0
"395",1400506,"São João da Baliza (RR)",0,0,0,0
"396",1400605,"São Luiz (RR)",0,0,0,0
"397",1400704,"Uiramutã (RR)",0,0,0,0
"398",1500131,"Abel Figueiredo (PA)",0,0,0,0
"399",1500305,"Afuá (PA)",0,0,0,0
"400",1500347,"Água Azul do Norte (PA)",0,0,0,0
"401",1500404,"Alenquer (PA)",0,0,0,0
"402",1500701,"Anajás (PA)",0,0,0,0
"403",1500859,"Anapu (PA)",0,0,0,0
"404",1501105,"Bagre (PA)",0,0,0,0
"405",1501204,"Baião (PA)",0,0,0,0
"406",1501253,"Bannach (PA)",0,0,0,0
"407",1501451,"Belterra (PA)",0,0,0,0
"408",1501576,"Bom Jesus do Tocantins (PA)",0,0,0,0
"409",1501709,"Bragança (PA)",0,0,0,0
"410",1501758,"Brejo Grande do Araguaia (PA)",0,0,0,0
"411",1501808,"Breves (PA)",0,0,0,0
"412",1501907,"Bujaru (PA)",0,0,0,0
"413",1501956,"Cachoeira do Piriá (PA)",0,0,0,0
"414",1502004,"Cachoeira do Arari (PA)",0,0,0,0
"415",1502103,"Cametá (PA)",0,0,0,0
"416",1502509,"Chaves (PA)",0,0,0,0
"417",1502608,"Colares (PA)",0,0,0,0
"418",1502707,"Conceição do Araguaia (PA)",0,0,0,0
"419",1502756,"Concórdia do Pará (PA)",0,0,0,0
"420",1502806,"Curralinho (PA)",0,0,0,0
"421",1502855,"Curuá (PA)",0,0,0,0
"422",1502905,"Curuçá (PA)",0,0,0,0
"423",1502939,"Dom Eliseu (PA)",0,0,0,0
"424",1503002,"Faro (PA)",0,0,0,0
"425",1503044,"Floresta do Araguaia (PA)",0,0,0,0
"426",1503077,"Garrafão do Norte (PA)",0,0,0,0
"427",1503101,"Gurupá (PA)",0,0,0,0
"428",1503309,"Igarapé-Miri (PA)",0,0,0,0
"429",1504000,"Limoeiro do Ajuru (PA)",0,0,0,0
"430",1504109,"Magalhães Barata (PA)",0,0,0,0
"431",1504307,"Maracanã (PA)",0,0,0,0
"432",1504406,"Marapanim (PA)",0,0,0,0
"433",1504455,"Medicilândia (PA)",0,0,0,0
"434",1504505,"Melgaço (PA)",0,0,0,0
"435",1504604,"Mocajuba (PA)",0,0,0,0
"436",1504901,"Muaná (PA)",0,0,0,0
"437",1504950,"Nova Esperança do Piriá (PA)",0,0,0,0
"438",1505106,"Óbidos (PA)",0,0,0,0
"439",1505205,"Oeiras do Pará (PA)",0,0,0,0
"440",1505437,"Ourilândia do Norte (PA)",0,0,0,0
"441",1505486,"Pacajá (PA)",0,0,0,0
"442",1505494,"Palestina do Pará (PA)",0,0,0,0
"443",1505551,"Pau D'Arco (PA)",0,0,0,0
"444",1505601,"Peixe-Boi (PA)",0,0,0,0
"445",1505635,"Piçarra (PA)",0,0,0,0
"446",1505650,"Placas (PA)",0,0,0,0
"447",1505700,"Ponta de Pedras (PA)",0,0,0,0
"448",1505809,"Portel (PA)",0,0,0,0
"449",1505908,"Porto de Moz (PA)",0,0,0,0
"450",1506005,"Prainha (PA)",0,0,0,0
"451",1506112,"Quatipuru (PA)",0,0,0,0
"452",1506187,"Rondon do Pará (PA)",0,0,0,0
"453",1506203,"Salinópolis (PA)",0,0,0,0
"454",1506302,"Salvaterra (PA)",0,0,0,0
"455",1506401,"Santa Cruz do Arari (PA)",0,0,0,0
"456",1506559,"Santa Luzia do Pará (PA)",0,0,0,0
"457",1506609,"Santa Maria do Pará (PA)",0,0,0,0
"458",1506906,"Santarém Novo (PA)",0,0,0,0
"459",1507102,"São Caetano de Odivelas (PA)",0,0,0,0
"460",1507151,"São Domingos do Araguaia (PA)",0,0,0,0
"461",1507201,"São Domingos do Capim (PA)",0,0,0,0
"462",1507409,"São Francisco do Pará (PA)",0,0,0,0
"463",1507466,"São João da Ponta (PA)",0,0,0,0
"464",1507474,"São João de Pirabas (PA)",0,0,0,0
"465",1507706,"São Sebastião da Boa Vista (PA)",0,0,0,0
"466",1507755,"Sapucaia (PA)",0,0,0,0
"467",1507805,"Senador José Porfírio (PA)",0,0,0,0
"468",1507904,"Soure (PA)",0,0,0,0
"469",1507953,"Tailândia (PA)",0,0,0,0
"470",1507961,"Terra Alta (PA)",0,0,0,0
"471",1508001,"Tomé-Açu (PA)",0,0,0,0
"472",1508035,"Tracuateua (PA)",0,0,0,0
"473",1508084,"Tucumã (PA)",0,0,0,0
"474",1508126,"Ulianópolis (PA)",0,0,0,0
"475",1508308,"Viseu (PA)",0,0,0,0
"476",1508407,"Xinguara (PA)",0,0,0,0
"477",1600055,"Serra do Navio (AP)",0,0,0,0
"478",1600105,"Amapá (AP)",0,0,0,0
"479",1600212,"Cutias (AP)",0,0,0,0
"480",1600253,"Itaubal (AP)",0,0,0,0
"481",1600550,"Pracuúba (AP)",0,0,0,0
"482",1600709,"Tartarugalzinho (AP)",0,0,0,0
"483",1700251,"Abreulândia (TO)",0,0,0,0
"484",1700350,"Aliança do Tocantins (TO)",0,0,0,0
"485",1700400,"Almas (TO)",0,0,0,0
"486",1700707,"Alvorada (TO)",0,0,0,0
"487",1701002,"Ananás (TO)",0,0,0,0
"488",1701051,"Angico (TO)",0,0,0,0
"489",1701309,"Aragominas (TO)",0,0,0,0
"490",1701903,"Araguacema (TO)",0,0,0,0
"491",1702000,"Araguaçu (TO)",0,0,0,0
"492",1702158,"Araguanã (TO)",0,0,0,0
"493",1702307,"Arapoema (TO)",0,0,0,0
"494",1702554,"Augustinópolis (TO)",0,0,0,0
"495",1702703,"Aurora do Tocantins (TO)",0,0,0,0
"496",1702901,"Axixá do Tocantins (TO)",0,0,0,0
"497",1703107,"Barrolândia (TO)",0,0,0,0
"498",1703206,"Bernardo Sayão (TO)",0,0,0,0
"499",1703305,"Bom Jesus do Tocantins (TO)",0,0,0,0
"500",1703602,"Brasilândia do Tocantins (TO)",0,0,0,0
"501",1703800,"Buriti do Tocantins (TO)",0,0,0,0
"502",1703826,"Cachoeirinha (TO)",0,0,0,0
"503",1703842,"Campos Lindos (TO)",0,0,0,0
"504",1703867,"Cariri do Tocantins (TO)",0,0,0,0
"505",1703883,"Carmolândia (TO)",0,0,0,0
"506",1703891,"Carrasco Bonito (TO)",0,0,0,0
"507",1703909,"Caseara (TO)",0,0,0,0
"508",1704105,"Centenário (TO)",0,0,0,0
"509",1704600,"Chapada de Areia (TO)",0,0,0,0
"510",1705508,"Colinas do Tocantins (TO)",0,0,0,0
"511",1705557,"Combinado (TO)",0,0,0,0
"512",1705607,"Conceição do Tocantins (TO)",0,0,0,0
"513",1706001,"Couto Magalhães (TO)",0,0,0,0
"514",1706258,"Crixás do Tocantins (TO)",0,0,0,0
"515",1707108,"Divinópolis do Tocantins (TO)",0,0,0,0
"516",1707207,"Dois Irmãos do Tocantins (TO)",0,0,0,0
"517",1707306,"Dueré (TO)",0,0,0,0
"518",1707405,"Esperantina (TO)",0,0,0,0
"519",1707553,"Fátima (TO)",0,0,0,0
"520",1707652,"Figueirópolis (TO)",0,0,0,0
"521",1708254,"Fortaleza do Tabocão (TO)",0,0,0,0
"522",1708304,"Goianorte (TO)",0,0,0,0
"523",1710508,"Itacajá (TO)",0,0,0,0
"524",1711100,"Itaporã do Tocantins (TO)",0,0,0,0
"525",1711803,"Juarina (TO)",0,0,0,0
"526",1711951,"Lagoa do Tocantins (TO)",0,0,0,0
"527",1712157,"Lavandeira (TO)",0,0,0,0
"528",1712405,"Lizarda (TO)",0,0,0,0
"529",1712454,"Luzinópolis (TO)",0,0,0,0
"530",1712504,"Marianópolis do Tocantins (TO)",0,0,0,0
"531",1712702,"Mateiros (TO)",0,0,0,0
"532",1712801,"Maurilândia do Tocantins (TO)",0,0,0,0
"533",1713304,"Miranorte (TO)",0,0,0,0
"534",1713700,"Monte Santo do Tocantins (TO)",0,0,0,0
"535",1714302,"Nazaré (TO)",0,0,0,0
"536",1714880,"Nova Olinda (TO)",0,0,0,0
"537",1715002,"Nova Rosalândia (TO)",0,0,0,0
"538",1715101,"Novo Acordo (TO)",0,0,0,0
"539",1715150,"Novo Alegre (TO)",0,0,0,0
"540",1715507,"Oliveira de Fátima (TO)",0,0,0,0
"541",1716109,"Paraíso do Tocantins (TO)",0,0,0,0
"542",1716505,"Pedro Afonso (TO)",0,0,0,0
"543",1716653,"Pequizeiro (TO)",0,0,0,0
"544",1716703,"Colméia (TO)",0,0,0,0
"545",1717008,"Pindorama do Tocantins (TO)",0,0,0,0
"546",1717206,"Piraquê (TO)",0,0,0,0
"547",1717503,"Pium (TO)",0,0,0,0
"548",1717800,"Ponte Alta do Bom Jesus (TO)",0,0,0,0
"549",1718006,"Porto Alegre do Tocantins (TO)",0,0,0,0
"550",1718303,"Praia Norte (TO)",0,0,0,0
"551",1718402,"Presidente Kennedy (TO)",0,0,0,0
"552",1718501,"Recursolândia (TO)",0,0,0,0
"553",1718550,"Riachinho (TO)",0,0,0,0
"554",1718659,"Rio da Conceição (TO)",0,0,0,0
"555",1718709,"Rio dos Bois (TO)",0,0,0,0
"556",1718758,"Rio Sono (TO)",0,0,0,0
"557",1718808,"Sampaio (TO)",0,0,0,0
"558",1718840,"Sandolândia (TO)",0,0,0,0
"559",1718865,"Santa Fé do Araguaia (TO)",0,0,0,0
"560",1718881,"Santa Maria do Tocantins (TO)",0,0,0,0
"561",1718899,"Santa Rita do Tocantins (TO)",0,0,0,0
"562",1718907,"Santa Rosa do Tocantins (TO)",0,0,0,0
"563",1719004,"Santa Tereza do Tocantins (TO)",0,0,0,0
"564",1720002,"Santa Terezinha do Tocantins (TO)",0,0,0,0
"565",1720101,"São Bento do Tocantins (TO)",0,0,0,0
"566",1720150,"São Félix do Tocantins (TO)",0,0,0,0
"567",1720309,"São Sebastião do Tocantins (TO)",0,0,0,0
"568",1720499,"São Valério (TO)",0,0,0,0
"569",1720655,"Silvanópolis (TO)",0,0,0,0
"570",1720804,"Sítio Novo do Tocantins (TO)",0,0,0,0
"571",1720853,"Sucupira (TO)",0,0,0,0
"572",1720978,"Talismã (TO)",0,0,0,0
"573",1722081,"Wanderlândia (TO)",0,0,0,0
"574",2100055,"Açailândia (MA)",0,0,0,0
"575",2100204,"Alcântara (MA)",0,0,0,0
"576",2100402,"Altamira do Maranhão (MA)",0,0,0,0
"577",2100436,"Alto Alegre do Maranhão (MA)",0,0,0,0
"578",2100477,"Alto Alegre do Pindaré (MA)",0,0,0,0
"579",2100501,"Alto Parnaíba (MA)",0,0,0,0
"580",2100550,"Amapá do Maranhão (MA)",0,0,0,0
"581",2100600,"Amarante do Maranhão (MA)",0,0,0,0
"582",2100832,"Apicum-Açu (MA)",0,0,0,0
"583",2100873,"Araguanã (MA)",0,0,0,0
"584",2100956,"Arame (MA)",0,0,0,0
"585",2101004,"Arari (MA)",0,0,0,0
"586",2101103,"Axixá (MA)",0,0,0,0
"587",2101301,"Bacuri (MA)",0,0,0,0
"588",2101350,"Bacurituba (MA)",0,0,0,0
"589",2101905,"Bequimão (MA)",0,0,0,0
"590",2101939,"Bernardo do Mearim (MA)",0,0,0,0
"591",2101970,"Boa Vista do Gurupi (MA)",0,0,0,0
"592",2102002,"Bom Jardim (MA)",0,0,0,0
"593",2102036,"Bom Jesus das Selvas (MA)",0,0,0,0
"594",2102077,"Bom Lugar (MA)",0,0,0,0
"595",2102150,"Brejo de Areia (MA)",0,0,0,0
"596",2102309,"Buriti Bravo (MA)",0,0,0,0
"597",2102325,"Buriticupu (MA)",0,0,0,0
"598",2102358,"Buritirana (MA)",0,0,0,0
"599",2102374,"Cachoeira Grande (MA)",0,0,0,0
"600",2102408,"Cajapió (MA)",0,0,0,0
"601",2102507,"Cajari (MA)",0,0,0,0
"602",2102556,"Campestre do Maranhão (MA)",0,0,0,0
"603",2102606,"Cândido Mendes (MA)",0,0,0,0
"604",2102705,"Cantanhede (MA)",0,0,0,0
"605",2102754,"Capinzal do Norte (MA)",0,0,0,0
"606",2102903,"Carutapera (MA)",0,0,0,0
"607",2103109,"Cedral (MA)",0,0,0,0
"608",2103125,"Central do Maranhão (MA)",0,0,0,0
"609",2103158,"Centro do Guilherme (MA)",0,0,0,0
"610",2103174,"Centro Novo do Maranhão (MA)",0,0,0,0
"611",2103257,"Cidelândia (MA)",0,0,0,0
"612",2103505,"Colinas (MA)",0,0,0,0
"613",2103554,"Conceição do Lago-Açu (MA)",0,0,0,0
"614",2103604,"Coroatá (MA)",0,0,0,0
"615",2103703,"Cururupu (MA)",0,0,0,0
"616",2103802,"Dom Pedro (MA)",0,0,0,0
"617",2104008,"Esperantinópolis (MA)",0,0,0,0
"618",2104073,"Feira Nova do Maranhão (MA)",0,0,0,0
"619",2104081,"Fernando Falcão (MA)",0,0,0,0
"620",2104099,"Formosa da Serra Negra (MA)",0,0,0,0
"621",2104107,"Fortaleza dos Nogueiras (MA)",0,0,0,0
"622",2104206,"Fortuna (MA)",0,0,0,0
"623",2104404,"Gonçalves Dias (MA)",0,0,0,0
"624",2104503,"Governador Archer (MA)",0,0,0,0
"625",2104602,"Governador Eugênio Barros (MA)",0,0,0,0
"626",2104628,"Governador Luiz Rocha (MA)",0,0,0,0
"627",2104651,"Governador Newton Bello (MA)",0,0,0,0
"628",2104701,"Graça Aranha (MA)",0,0,0,0
"629",2104909,"Guimarães (MA)",0,0,0,0
"630",2105104,"Icatu (MA)",0,0,0,0
"631",2105153,"Igarapé do Meio (MA)",0,0,0,0
"632",2105203,"Igarapé Grande (MA)",0,0,0,0
"633",2105351,"Itaipava do Grajaú (MA)",0,0,0,0
"634",2105450,"Jatobá (MA)",0,0,0,0
"635",2105476,"Jenipapo dos Vieiras (MA)",0,0,0,0
"636",2105500,"João Lisboa (MA)",0,0,0,0
"637",2105609,"Joselândia (MA)",0,0,0,0
"638",2105658,"Junco do Maranhão (MA)",0,0,0,0
"639",2105708,"Lago da Pedra (MA)",0,0,0,0
"640",2105807,"Lago do Junco (MA)",0,0,0,0
"641",2105906,"Lago Verde (MA)",0,0,0,0
"642",2105948,"Lago dos Rodrigues (MA)",0,0,0,0
"643",2105963,"Lagoa Grande do Maranhão (MA)",0,0,0,0
"644",2105989,"Lajeado Novo (MA)",0,0,0,0
"645",2106003,"Lima Campos (MA)",0,0,0,0
"646",2106102,"Loreto (MA)",0,0,0,0
"647",2106201,"Luís Domingues (MA)",0,0,0,0
"648",2106359,"Marajá do Sena (MA)",0,0,0,0
"649",2106375,"Maranhãozinho (MA)",0,0,0,0
"650",2106631,"Matões do Norte (MA)",0,0,0,0
"651",2106706,"Mirador (MA)",0,0,0,0
"652",2106755,"Miranda do Norte (MA)",0,0,0,0
"653",2106805,"Mirinzal (MA)",0,0,0,0
"654",2107001,"Montes Altos (MA)",0,0,0,0
"655",2107100,"Morros (MA)",0,0,0,0
"656",2107258,"Nova Colinas (MA)",0,0,0,0
"657",2107357,"Nova Olinda do Maranhão (MA)",0,0,0,0
"658",2107407,"Olho d'Água das Cunhãs (MA)",0,0,0,0
"659",2107456,"Olinda Nova do Maranhão (MA)",0,0,0,0
"660",2107605,"Palmeirândia (MA)",0,0,0,0
"661",2107704,"Paraibano (MA)",0,0,0,0
"662",2108207,"Pedreiras (MA)",0,0,0,0
"663",2108256,"Pedro do Rosário (MA)",0,0,0,0
"664",2108306,"Penalva (MA)",0,0,0,0
"665",2108405,"Peri Mirim (MA)",0,0,0,0
"666",2108454,"Peritoró (MA)",0,0,0,0
"667",2108603,"Pinheiro (MA)",0,0,0,0
"668",2108702,"Pio XII (MA)",0,0,0,0
"669",2108801,"Pirapemas (MA)",0,0,0,0
"670",2108900,"Poção de Pedras (MA)",0,0,0,0
"671",2109056,"Porto Rico do Maranhão (MA)",0,0,0,0
"672",2109205,"Presidente Juscelino (MA)",0,0,0,0
"673",2109239,"Presidente Médici (MA)",0,0,0,0
"674",2109270,"Presidente Sarney (MA)",0,0,0,0
"675",2109304,"Presidente Vargas (MA)",0,0,0,0
"676",2109452,"Raposa (MA)",0,0,0,0
"677",2109502,"Riachão (MA)",0,0,0,0
"678",2109551,"Ribamar Fiquene (MA)",0,0,0,0
"679",2109700,"Sambaíba (MA)",0,0,0,0
"680",2109759,"Santa Filomena do Maranhão (MA)",0,0,0,0
"681",2109809,"Santa Helena (MA)",0,0,0,0
"682",2109908,"Santa Inês (MA)",0,0,0,0
"683",2110005,"Santa Luzia (MA)",0,0,0,0
"684",2110039,"Santa Luzia do Paruá (MA)",0,0,0,0
"685",2110302,"Santo Antônio dos Lopes (MA)",0,0,0,0
"686",2110500,"São Bento (MA)",0,0,0,0
"687",2110658,"São Domingos do Azeitão (MA)",0,0,0,0
"688",2110708,"São Domingos do Maranhão (MA)",0,0,0,0
"689",2110807,"São Félix de Balsas (MA)",0,0,0,0
"690",2111003,"São João Batista (MA)",0,0,0,0
"691",2111029,"São João do Carú (MA)",0,0,0,0
"692",2111052,"São João do Paraíso (MA)",0,0,0,0
"693",2111078,"São João do Soter (MA)",0,0,0,0
"694",2111250,"São José dos Basílios (MA)",0,0,0,0
"695",2111409,"São Luís Gonzaga do Maranhão (MA)",0,0,0,0
"696",2111532,"São Pedro da Água Branca (MA)",0,0,0,0
"697",2111573,"São Pedro dos Crentes (MA)",0,0,0,0
"698",2111607,"São Raimundo das Mangabeiras (MA)",0,0,0,0
"699",2111631,"São Raimundo do Doca Bezerra (MA)",0,0,0,0
"700",2111672,"São Roberto (MA)",0,0,0,0
"701",2111706,"São Vicente Ferrer (MA)",0,0,0,0
"702",2111722,"Satubinha (MA)",0,0,0,0
"703",2111748,"Senador Alexandre Costa (MA)",0,0,0,0
"704",2111763,"Senador La Rocque (MA)",0,0,0,0
"705",2111789,"Serrano do Maranhão (MA)",0,0,0,0
"706",2111805,"Sítio Novo (MA)",0,0,0,0
"707",2111904,"Sucupira do Norte (MA)",0,0,0,0
"708",2112001,"Tasso Fragoso (MA)",0,0,0,0
"709",2112100,"Timbiras (MA)",0,0,0,0
"710",2112233,"Trizidela do Vale (MA)",0,0,0,0
"711",2112274,"Tufilândia (MA)",0,0,0,0
"712",2112308,"Tuntum (MA)",0,0,0,0
"713",2112407,"Turiaçu (MA)",0,0,0,0
"714",2112456,"Turilândia (MA)",0,0,0,0
"715",2112803,"Viana (MA)",0,0,0,0
"716",2113009,"Vitorino Freire (MA)",0,0,0,0
"717",2114007,"Zé Doca (MA)",0,0,0,0
"718",5100359,"Alto Boa Vista (MT)",0,0,0,0
"719",5100508,"Alto Paraguai (MT)",0,0,0,0
"720",5100607,"Alto Taquari (MT)",0,0,0,0
"721",5101001,"Araguaiana (MT)",0,0,0,0
"722",5101209,"Araguainha (MT)",0,0,0,0
"723",5101605,"Barão de Melgaço (MT)",0,0,0,0
"724",5101852,"Bom Jesus do Araguaia (MT)",0,0,0,0
"725",5102603,"Campinápolis (MT)",0,0,0,0
"726",5102694,"Canabrava do Norte (MT)",0,0,0,0
"727",5102850,"Castanheira (MT)",0,0,0,0
"728",5103056,"Cláudia (MT)",0,0,0,0
"729",5103361,"Conquista D'Oeste (MT)",0,0,0,0
"730",5103379,"Cotriguaçu (MT)",0,0,0,0
"731",5103437,"Curvelândia (MT)",0,0,0,0
"732",5103700,"Feliz Natal (MT)",0,0,0,0
"733",5103809,"Figueirópolis D'Oeste (MT)",0,0,0,0
"734",5103858,"Gaúcha do Norte (MT)",0,0,0,0
"735",5104542,"Itanhangá (MT)",0,0,0,0
"736",5105176,"Juruena (MT)",0,0,0,0
"737",5105259,"Lucas do Rio Verde (MT)",0,0,0,0
"738",5105309,"Luciara (MT)",0,0,0,0
"739",5105622,"Mirassol d'Oeste (MT)",0,0,0,0
"740",5106000,"Nortelândia (MT)",0,0,0,0
"741",5106174,"Nova Nazaré (MT)",0,0,0,0
"742",5106224,"Nova Mutum (MT)",0,0,0,0
"743",5106232,"Nova Olímpia (MT)",0,0,0,0
"744",5106240,"Nova Ubiratã (MT)",0,0,0,0
"745",5106273,"Novo Horizonte do Norte (MT)",0,0,0,0
"746",5106281,"Novo São Joaquim (MT)",0,0,0,0
"747",5106315,"Novo Santo Antônio (MT)",0,0,0,0
"748",5106653,"Pontal do Araguaia (MT)",0,0,0,0
"749",5106703,"Ponte Branca (MT)",0,0,0,0
"750",5106778,"Porto Alegre do Norte (MT)",0,0,0,0
"751",5106851,"Porto Estrela (MT)",0,0,0,0
"752",5107107,"São José dos Quatro Marcos (MT)",0,0,0,0
"753",5107156,"Reserva do Cabaçal (MT)",0,0,0,0
"754",5107206,"Rio Branco (MT)",0,0,0,0
"755",5107248,"Santa Carmem (MT)",0,0,0,0
"756",5107263,"Santo Afonso (MT)",0,0,0,0
"757",5107297,"São José do Povo (MT)",0,0,0,0
"758",5107305,"São José do Rio Claro (MT)",0,0,0,0
"759",5107354,"São José do Xingu (MT)",0,0,0,0
"760",5107578,"Rondolândia (MT)",0,0,0,0
"761",5107743,"Santa Cruz do Xingu (MT)",0,0,0,0
"762",5107750,"Salto do Céu (MT)",0,0,0,0
"763",5107768,"Santa Rita do Trivelato (MT)",0,0,0,0
"764",5107776,"Santa Terezinha (MT)",0,0,0,0
"765",5107792,"Santo Antônio do Leste (MT)",0,0,0,0
"766",5107883,"Serra Nova Dourada (MT)",0,0,0,0
"767",5107941,"Tabaporã (MT)",0,0,0,0
"768",5108006,"Tapurah (MT)",0,0,0,0
"769",5108105,"Tesouro (MT)",0,0,0,0
"770",5108303,"União do Sul (MT)",0,0,0,0
"771",5108501,"Vera (MT)",0,0,0,0
"772",5108857,"Nova Marilândia (MT)",0,0,0,0
"773",5108907,"Nova Maringá (MT)",0,0,0,0
