"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"85",1502152,"Canaã dos Carajás (PA)",0,510,0,510,"Médio Baixo"
"86",1502301,"Capitão Poço (PA)",0,44,0,44,"Baixo"
"87",1502509,"Chaves (PA)",0,29,0,29,"Baixo"
"88",1502707,"Conceição do Araguaia (PA)",61,567,0,628,"Médio Alto"
"89",1502764,"Cumaru do Norte (PA)",0,9,0,9,"Muito Baixo"
"90",1502772,"Curionópolis (PA)",0,70,0,70,"Médio Baixo"
"91",1502939,"Dom Eliseu (PA)",0,15382,102009,117391,"Alto"
"92",1502954,"Eldorado do Carajás (PA)",36,171,0,207,"Médio Baixo"
"93",1503044,"Floresta do Araguaia (PA)",0,4,0,4,"Muito Baixo"
"94",1503093,"Goianésia do Pará (PA)",0,48,0,48,"Baixo"
"95",1503457,"Ipixuna do Pará (PA)",129,448,5042,5619,"Médio Alto"
"96",1503606,"Itaituba (PA)",10,124,0,134,"Médio Baixo"
"97",1503705,"Itupiranga (PA)",4,701,0,705,"Médio Alto"
"98",1504208,"Marabá (PA)",18,1909,0,1927,"Médio Alto"
"99",1504455,"Medicilândia (PA)",12,65,0,77,"Médio Baixo"
"100",1504703,"Moju (PA)",18,966,0,984,"Médio Alto"
"101",1504752,"Mojuí dos Campos (PA)",0,474,29779,30253,"Médio Alto"
"102",1504802,"Monte Alegre (PA)",6,128,0,134,"Médio Baixo"
"103",1504950,"Nova Esperança do Piriá (PA)",235,488,0,723,"Médio Alto"
"104",1504976,"Nova Ipixuna (PA)",0,8,0,8,"Muito Baixo"
"105",1505031,"Novo Progresso (PA)",2348,1168,16366,19882,"Médio Alto"
"106",1505064,"Novo Repartimento (PA)",40,641,0,681,"Médio Alto"
"107",1505106,"Óbidos (PA)",0,50,0,50,"Baixo"
"108",1505304,"Oriximiná (PA)",1,52,0,53,"Baixo"
"109",1505437,"Ourilândia do Norte (PA)",0,101,0,101,"Médio Baixo"
"110",1505486,"Pacajá (PA)",117,202,0,319,"Médio Baixo"
"111",1505494,"Palestina do Pará (PA)",0,82,0,82,"Médio Baixo"
"112",1505502,"Paragominas (PA)",1602,28332,176165,206099,"Muito Alto"
"113",1505536,"Parauapebas (PA)",0,44,0,44,"Baixo"
"114",1505601,"Peixe-Boi (PA)",0,2,0,2,"Muito Baixo"
"115",1505635,"Piçarra (PA)",0,96,0,96,"Médio Baixo"
"116",1505650,"Placas (PA)",379,259,0,638,"Médio Alto"
"117",1505809,"Portel (PA)",15,0,0,15,"Muito Baixo"
"118",1505908,"Porto de Moz (PA)",0,24,0,24,"Baixo"
"119",1506005,"Prainha (PA)",17,13,0,30,"Baixo"
"120",1506138,"Redenção (PA)",0,655,0,655,"Médio Alto"
"121",1506161,"Rio Maria (PA)",0,841,0,841,"Médio Alto"
"122",1506187,"Rondon do Pará (PA)",0,578,37904,38482,"Alto"
"123",1506195,"Rurópolis (PA)",197,28,0,225,"Médio Baixo"
"124",1506559,"Santa Luzia do Pará (PA)",0,5,0,5,"Muito Baixo"
"125",1506583,"Santa Maria das Barreiras (PA)",14,15470,63239,78723,"Alto"
"126",1506708,"Santana do Araguaia (PA)",0,29318,166108,195426,"Muito Alto"
"127",1506807,"Santarém (PA)",0,4833,15206,20039,"Médio Alto"
"128",1507151,"São Domingos do Araguaia (PA)",0,45,0,45,"Baixo"
"129",1507201,"São Domingos do Capim (PA)",0,15,0,15,"Muito Baixo"
"130",1507300,"São Félix do Xingu (PA)",11,6247,0,6258,"Médio Alto"
"131",1507458,"São Geraldo do Araguaia (PA)",0,78,0,78,"Médio Baixo"
"132",1507508,"São João do Araguaia (PA)",0,3,0,3,"Muito Baixo"
"133",1507805,"Senador José Porfírio (PA)",14,88,0,102,"Médio Baixo"
"134",1507953,"Tailândia (PA)",44,11211,0,11255,"Médio Alto"
"135",1508050,"Trairão (PA)",0,417,0,417,"Médio Baixo"
"136",1508084,"Tucumã (PA)",0,2309,0,2309,"Médio Alto"
"137",1508100,"Tucuruí (PA)",0,7,0,7,"Muito Baixo"
"138",1508126,"Ulianópolis (PA)",259,10614,31149,42022,"Alto"
"139",1508159,"Uruará (PA)",27,1331,0,1358,"Médio Alto"
"140",1508308,"Viseu (PA)",3,20,0,23,"Baixo"
"141",1508407,"Xinguara (PA)",0,93,0,93,"Médio Baixo"
"142",1600279,"Laranjal do Jari (AP)",0,16,0,16,"Baixo"
"143",1600303,"Macapá (AP)",0,0,6083,6083,"Médio Alto"
"144",1600402,"Mazagão (AP)",0,19,0,19,"Baixo"
"145",1600501,"Oiapoque (AP)",0,1,0,1,"Muito Baixo"
"146",1600550,"Pracuúba (AP)",0,2,0,2,"Muito Baixo"
"147",1600808,"Vitória do Jari (AP)",0,4,0,4,"Muito Baixo"
"148",1700251,"Abreulândia (TO)",0,0,1003,1003,"Médio Alto"
"149",1700301,"Aguiarnópolis (TO)",0,47,0,47,"Baixo"
"150",1700350,"Aliança do Tocantins (TO)",0,8,2658,2666,"Médio Alto"
"151",1700400,"Almas (TO)",20,89,3330,3439,"Médio Alto"
"152",1700707,"Alvorada (TO)",0,0,35941,35941,"Alto"
"153",1701101,"Aparecida do Rio Negro (TO)",0,245,52819,53064,"Alto"
"154",1701903,"Araguacema (TO)",0,4,9310,9314,"Médio Alto"
"155",1702000,"Araguaçu (TO)",0,1593,11895,13488,"Médio Alto"
"156",1702109,"Araguaína (TO)",0,12,0,12,"Muito Baixo"
"157",1702208,"Araguatins (TO)",26,1261,0,1287,"Médio Alto"
"158",1702307,"Arapoema (TO)",0,1271,0,1271,"Médio Alto"
"159",1702406,"Arraias (TO)",22,311,0,333,"Médio Baixo"
"160",1702554,"Augustinópolis (TO)",0,9,0,9,"Muito Baixo"
"161",1703008,"Babaçulândia (TO)",0,51,0,51,"Baixo"
"162",1703073,"Barra do Ouro (TO)",21,65,0,86,"Médio Baixo"
"163",1703305,"Bom Jesus do Tocantins (TO)",11,3702,2797,6510,"Médio Alto"
"164",1703701,"Brejinho de Nazaré (TO)",0,3674,44419,48093,"Alto"
"165",1703842,"Campos Lindos (TO)",285,75458,179920,255663,"Muito Alto"
"166",1703867,"Cariri do Tocantins (TO)",0,553,50987,51540,"Alto"
"167",1703909,"Caseara (TO)",0,7570,26182,33752,"Alto"
"168",1704105,"Centenário (TO)",221,85,0,306,"Médio Baixo"
"169",1705102,"Chapada da Natividade (TO)",12,44,0,56,"Médio Baixo"
"170",1705607,"Conceição do Tocantins (TO)",28,127,0,155,"Médio Baixo"
"171",1706001,"Couto Magalhães (TO)",7,2825,0,2832,"Médio Alto"
"172",1706100,"Cristalândia (TO)",3108,57,0,3165,"Médio Alto"
"173",1706506,"Darcinópolis (TO)",55,3131,9033,12219,"Médio Alto"
"174",1707009,"Dianópolis (TO)",0,43,0,43,"Baixo"
"175",1707207,"Dois Irmãos do Tocantins (TO)",10,0,0,10,"Muito Baixo"
"176",1707306,"Dueré (TO)",6704,5,0,6709,"Médio Alto"
"177",1707652,"Figueirópolis (TO)",0,1107,15102,16209,"Médio Alto"
"178",1707702,"Filadélfia (TO)",0,9,0,9,"Muito Baixo"
"179",1708205,"Formoso do Araguaia (TO)",72206,1527,13742,87475,"Alto"
"180",1708304,"Goianorte (TO)",0,90,0,90,"Médio Baixo"
"181",1709005,"Goiatins (TO)",383,1679,5241,7303,"Médio Alto"
"182",1709302,"Guaraí (TO)",0,3007,14760,17767,"Médio Alto"
"183",1709500,"Gurupi (TO)",7,6,32424,32437,"Alto"
