"","cod_muni","muni","empregos_energia","class_empregos_energia","empregos_petroleo","class_empregos_petroleo","empregos_mineracao","class_empregos_mineracao","empregos_agro","class_empregos_agro"
"272",1504604,"Mocajuba (PA)",2,"Muito Baixo",0,0,0,0,3,"Muito Baixo"
"273",1504802,"Monte Alegre (PA)",2,"Muito Baixo",0,0,7,"Médio Baixo",55,"Médio Baixo"
"274",1505064,"Novo Repartimento (PA)",2,"Muito Baixo",0,0,0,0,436,"Muito Alto"
"275",1506195,"Rurópolis (PA)",2,"Muito Baixo",0,0,48,"Muito Alto",8,"Baixo"
"276",1507151,"São Domingos do Araguaia (PA)",2,"Muito Baixo",0,0,0,0,146,"Médio Alto"
"277",1507300,"São Félix do Xingu (PA)",2,"Muito Baixo",0,0,22,"Médio Alto",1821,"Muito Alto"
"278",1507953,"Tailândia (PA)",2,"Muito Baixo",0,0,3,"Baixo",3334,"Muito Alto"
"279",1507961,"Terra Alta (PA)",2,"Muito Baixo",0,0,0,0,51,"Médio Baixo"
"280",1508084,"Tucumã (PA)",2,"Muito Baixo",0,0,14,"Médio Baixo",143,"Médio Alto"
"281",1703008,"Babaçulândia (TO)",2,"Muito Baixo",0,0,9,"Médio Baixo",469,"Muito Alto"
"282",1717206,"Piraquê (TO)",2,"Muito Baixo",0,0,0,0,294,"Médio Alto"
"283",2101004,"Arari (MA)",2,"Muito Baixo",0,0,0,0,11,"Baixo"
"284",2102325,"Buriticupu (MA)",2,"Muito Baixo",0,0,0,0,244,"Médio Alto"
"285",2102705,"Cantanhede (MA)",2,"Muito Baixo",0,0,0,0,6,"Muito Baixo"
"286",2102804,"Carolina (MA)",2,"Muito Baixo",0,0,32,"Médio Alto",469,"Muito Alto"
"287",2102903,"Carutapera (MA)",2,"Muito Baixo",0,0,0,0,95,"Médio Baixo"
"288",2103505,"Colinas (MA)",2,"Muito Baixo",0,0,59,"Muito Alto",43,"Médio Baixo"
"289",2103604,"Coroatá (MA)",2,"Muito Baixo",0,0,0,0,57,"Médio Baixo"
"290",2103802,"Dom Pedro (MA)",2,"Muito Baixo",0,0,0,0,7,"Muito Baixo"
"291",2104107,"Fortaleza dos Nogueiras (MA)",2,"Muito Baixo",0,0,1,"Muito Baixo",92,"Médio Baixo"
"292",2105708,"Lago da Pedra (MA)",2,"Muito Baixo",0,0,0,0,66,"Médio Baixo"
"293",2106805,"Mirinzal (MA)",2,"Muito Baixo",0,0,0,0,0,0
"294",2110708,"São Domingos do Maranhão (MA)",2,"Muito Baixo",0,0,0,0,6,"Muito Baixo"
"295",2111805,"Sítio Novo (MA)",2,"Muito Baixo",0,0,0,0,72,"Médio Baixo"
"296",2112001,"Tasso Fragoso (MA)",2,"Muito Baixo",0,0,0,0,1034,"Muito Alto"
"297",2113009,"Vitorino Freire (MA)",2,"Muito Baixo",0,0,0,0,163,"Médio Alto"
"298",2114007,"Zé Doca (MA)",2,"Muito Baixo",0,0,0,0,39,"Médio Baixo"
"299",5101704,"Barra do Bugres (MT)",2,"Muito Baixo",0,0,55,"Muito Alto",1518,"Muito Alto"
"300",5106158,"Nova Bandeirantes (MT)",2,"Muito Baixo",0,0,17,"Médio Baixo",380,"Muito Alto"
"301",1100049,"Cacoal (RO)",1,"Muito Baixo",0,0,66,"Muito Alto",506,"Muito Alto"
"302",1100114,"Jaru (RO)",1,"Muito Baixo",0,0,21,"Médio Alto",353,"Médio Alto"
"303",1400027,"Amajari (RR)",1,"Muito Baixo",0,0,0,0,95,"Médio Baixo"
"304",1400308,"Mucajaí (RR)",1,"Muito Baixo",0,0,39,"Médio Alto",127,"Médio Alto"
"305",1400506,"São João da Baliza (RR)",1,"Muito Baixo",0,0,0,0,10,"Baixo"
"306",1500859,"Anapu (PA)",1,"Muito Baixo",0,0,8,"Médio Baixo",50,"Médio Baixo"
"307",1503903,"Juruti (PA)",1,"Muito Baixo",0,0,473,"Muito Alto",94,"Médio Baixo"
"308",1504059,"Mãe do Rio (PA)",1,"Muito Baixo",0,0,0,0,192,"Médio Alto"
"309",1504703,"Moju (PA)",1,"Muito Baixo",0,0,24,"Médio Alto",3225,"Muito Alto"
"310",1505106,"Óbidos (PA)",1,"Muito Baixo",0,0,0,0,53,"Médio Baixo"
"311",1506583,"Santa Maria das Barreiras (PA)",1,"Muito Baixo",0,0,2,"Baixo",977,"Muito Alto"
"312",1718303,"Praia Norte (TO)",1,"Muito Baixo",0,0,0,0,12,"Baixo"
"313",2104404,"Gonçalves Dias (MA)",1,"Muito Baixo",0,0,0,0,0,0
"314",2105203,"Igarapé Grande (MA)",1,"Muito Baixo",0,0,0,0,7,"Muito Baixo"
"315",5100300,"Alto Araguaia (MT)",1,"Muito Baixo",0,0,4,"Baixo",462,"Muito Alto"
"316",5107156,"Reserva do Cabaçal (MT)",1,"Muito Baixo",0,0,0,0,38,"Médio Baixo"
"317",5107198,"Ribeirãozinho (MT)",1,"Muito Baixo",0,0,0,0,81,"Médio Baixo"
"318",5108352,"Vale de São Domingos (MT)",1,"Muito Baixo",0,0,0,0,85,"Médio Baixo"
"319",1502772,"Curionópolis (PA)",0,0,0,0,787,"Muito Alto",446,"Muito Alto"
"320",5106505,"Poconé (MT)",0,0,0,0,518,"Muito Alto",731,"Muito Alto"
"321",1600154,"Pedra Branca do Amapari (AP)",0,0,0,0,464,"Muito Alto",1,"Muito Baixo"
"322",5105903,"Nobres (MT)",0,0,0,0,390,"Muito Alto",275,"Médio Alto"
"323",5106257,"Nova Xavantina (MT)",0,0,0,0,386,"Muito Alto",617,"Muito Alto"
"324",5106109,"Nossa Senhora do Livramento (MT)",0,0,0,0,343,"Muito Alto",452,"Muito Alto"
"325",1100023,"Ariquemes (RO)",0,0,0,0,331,"Muito Alto",995,"Muito Alto"
"326",1101104,"Itapuã do Oeste (RO)",0,0,0,0,280,"Muito Alto",114,"Médio Baixo"
"327",2104305,"Godofredo Viana (MA)",0,0,0,0,279,"Muito Alto",0,0
"328",5106422,"Peixoto de Azevedo (MT)",0,0,0,0,242,"Muito Alto",429,"Muito Alto"
"329",1503457,"Ipixuna do Pará (PA)",0,0,0,0,216,"Muito Alto",371,"Médio Alto"
"330",5106828,"Porto Esperidião (MT)",0,0,0,0,135,"Muito Alto",883,"Muito Alto"
"331",5103106,"Cocalinho (MT)",0,0,0,0,128,"Muito Alto",621,"Muito Alto"
"332",5107701,"Rosário Oeste (MT)",0,0,0,0,101,"Muito Alto",589,"Muito Alto"
"333",1600204,"Calçoene (AP)",0,0,0,0,98,"Muito Alto",2,"Muito Baixo"
"334",1500503,"Almeirim (PA)",0,0,0,0,93,"Muito Alto",267,"Médio Alto"
"335",5107008,"Poxoréu (MT)",0,0,0,0,91,"Muito Alto",1411,"Muito Alto"
"336",1703057,"Bandeirantes do Tocantins (TO)",0,0,0,0,73,"Muito Alto",276,"Médio Alto"
"337",1705102,"Chapada da Natividade (TO)",0,0,0,0,71,"Muito Alto",78,"Médio Baixo"
"338",5102504,"Cáceres (MT)",0,0,0,0,65,"Muito Alto",2069,"Muito Alto"
"339",2112233,"Trizidela do Vale (MA)",0,0,0,0,59,"Muito Alto",6,"Muito Baixo"
"340",2103174,"Centro Novo do Maranhão (MA)",0,0,0,0,55,"Muito Alto",24,"Baixo"
"341",5108402,"Várzea Grande (MT)",0,0,0,0,50,"Muito Alto",196,"Médio Alto"
"342",5103353,"Confresa (MT)",0,0,0,0,48,"Muito Alto",442,"Muito Alto"
"343",1507458,"São Geraldo do Araguaia (PA)",0,0,0,0,44,"Médio Alto",394,"Muito Alto"
"344",5104203,"Guiratinga (MT)",0,0,0,0,43,"Médio Alto",653,"Muito Alto"
"345",5106307,"Paranatinga (MT)",0,0,0,0,43,"Médio Alto",1673,"Muito Alto"
"346",1100130,"Machadinho D'Oeste (RO)",0,0,0,0,39,"Médio Alto",204,"Médio Alto"
"347",1600402,"Mazagão (AP)",0,0,0,0,39,"Médio Alto",5,"Muito Baixo"
"348",1100254,"Presidente Médici (RO)",0,0,0,0,38,"Médio Alto",199,"Médio Alto"
"349",1600808,"Vitória do Jari (AP)",0,0,0,0,35,"Médio Alto",0,0
"350",1718451,"Pugmil (TO)",0,0,0,0,35,"Médio Alto",40,"Médio Baixo"
"351",5108055,"Terra Nova do Norte (MT)",0,0,0,0,32,"Médio Alto",214,"Médio Alto"
"352",5100201,"Água Boa (MT)",0,0,0,0,31,"Médio Alto",1147,"Muito Alto"
"353",5103957,"Glória D'Oeste (MT)",0,0,0,0,31,"Médio Alto",134,"Médio Alto"
"354",5105606,"Matupá (MT)",0,0,0,0,31,"Médio Alto",646,"Muito Alto"
"355",1505403,"Ourém (PA)",0,0,0,0,29,"Médio Alto",25,"Baixo"
"356",2108009,"Pastos Bons (MA)",0,0,0,0,29,"Médio Alto",5,"Muito Baixo"
"357",5105150,"Juína (MT)",0,0,0,0,29,"Médio Alto",745,"Muito Alto"
"358",1506351,"Santa Bárbara do Pará (PA)",0,0,0,0,28,"Médio Alto",448,"Muito Alto"
"359",1100262,"Rio Crespo (RO)",0,0,0,0,24,"Médio Alto",288,"Médio Alto"
"360",5106190,"Nova Santa Helena (MT)",0,0,0,0,22,"Médio Alto",254,"Médio Alto"
"361",1100098,"Espigão D'Oeste (RO)",0,0,0,0,21,"Médio Alto",428,"Muito Alto"
"362",5108808,"Nova Guarita (MT)",0,0,0,0,21,"Médio Alto",125,"Médio Alto"
"363",1507805,"Senador José Porfírio (PA)",0,0,0,0,20,"Médio Alto",17,"Baixo"
"364",5106851,"Porto Estrela (MT)",0,0,0,0,20,"Médio Alto",176,"Médio Alto"
"365",5101803,"Barra do Garças (MT)",0,0,0,0,18,"Médio Alto",961,"Muito Alto"
"366",5107040,"Primavera do Leste (MT)",0,0,0,0,18,"Médio Alto",4217,"Muito Alto"
"367",1501956,"Cachoeira do Piriá (PA)",0,0,0,0,17,"Médio Baixo",14,"Baixo"
"368",1100452,"Buritis (RO)",0,0,0,0,15,"Médio Baixo",149,"Médio Alto"
"369",1501725,"Brasil Novo (PA)",0,0,0,0,15,"Médio Baixo",36,"Médio Baixo"
"370",1600535,"Porto Grande (AP)",0,0,0,0,15,"Médio Baixo",344,"Médio Alto"
"371",5107180,"Ribeirão Cascalheira (MT)",0,0,0,0,15,"Médio Baixo",418,"Muito Alto"
"372",1508035,"Tracuateua (PA)",0,0,0,0,13,"Médio Baixo",12,"Baixo"
"373",5100409,"Alto Garças (MT)",0,0,0,0,11,"Médio Baixo",1609,"Muito Alto"
"374",1505494,"Palestina do Pará (PA)",0,0,0,0,10,"Médio Baixo",132,"Médio Alto"
"375",1600501,"Oiapoque (AP)",0,0,0,0,10,"Médio Baixo",0,0
"376",2110203,"Santa Rita (MA)",0,0,0,0,10,"Médio Baixo",32,"Baixo"
"377",1702158,"Araguanã (TO)",0,0,0,0,9,"Médio Baixo",219,"Médio Alto"
"378",1721257,"Tupirama (TO)",0,0,0,0,9,"Médio Baixo",28,"Baixo"
"379",1502764,"Cumaru do Norte (PA)",0,0,0,0,8,"Médio Baixo",1275,"Muito Alto"
"380",1100809,"Candeias do Jamari (RO)",0,0,0,0,7,"Médio Baixo",341,"Médio Alto"
"381",1500206,"Acará (PA)",0,0,0,0,7,"Médio Baixo",1180,"Muito Alto"
"382",1501782,"Breu Branco (PA)",0,0,0,0,7,"Médio Baixo",387,"Muito Alto"
"383",5102702,"Canarana (MT)",0,0,0,0,7,"Médio Baixo",1296,"Muito Alto"
"384",5105101,"Juara (MT)",0,0,0,0,7,"Médio Baixo",1584,"Muito Alto"
"385",5105507,"Vila Bela da Santíssima Trindade (MT)",0,0,0,0,7,"Médio Baixo",1831,"Muito Alto"
"386",1100296,"Santa Luzia D'Oeste (RO)",0,0,0,0,6,"Médio Baixo",283,"Médio Alto"
"387",1506500,"Santa Izabel do Pará (PA)",0,0,0,0,6,"Médio Baixo",3789,"Muito Alto"
"388",2112100,"Timbiras (MA)",0,0,0,0,6,"Médio Baixo",6,"Muito Baixo"
"389",5104906,"Jangada (MT)",0,0,0,0,6,"Médio Baixo",183,"Médio Alto"
"390",1713700,"Monte Santo do Tocantins (TO)",0,0,0,0,5,"Baixo",75,"Médio Baixo"
"391",2101772,"Bela Vista do Maranhão (MA)",0,0,0,0,5,"Baixo",105,"Médio Baixo"
"392",5108600,"Vila Rica (MT)",0,0,0,0,5,"Baixo",827,"Muito Alto"
"393",1100080,"Costa Marques (RO)",0,0,0,0,4,"Baixo",92,"Médio Baixo"
"394",1718808,"Sampaio (TO)",0,0,0,0,4,"Baixo",5,"Muito Baixo"
"395",5103452,"Denise (MT)",0,0,0,0,4,"Baixo",267,"Médio Alto"
"396",1101302,"Mirante da Serra (RO)",0,0,0,0,3,"Baixo",49,"Médio Baixo"
"397",1700301,"Aguiarnópolis (TO)",0,0,0,0,3,"Baixo",903,"Muito Alto"
"398",5106174,"Nova Nazaré (MT)",0,0,0,0,3,"Baixo",123,"Médio Alto"
"399",1100502,"Novo Horizonte do Oeste (RO)",0,0,0,0,2,"Baixo",47,"Médio Baixo"
"400",1101401,"Monte Negro (RO)",0,0,0,0,2,"Baixo",157,"Médio Alto"
"401",1200104,"Brasiléia (AC)",0,0,0,0,2,"Baixo",61,"Médio Baixo"
"402",1400209,"Caracaraí (RR)",0,0,0,0,2,"Baixo",72,"Médio Baixo"
"403",1501501,"Benevides (PA)",0,0,0,0,2,"Baixo",387,"Muito Alto"
"404",1506161,"Rio Maria (PA)",0,0,0,0,2,"Baixo",511,"Muito Alto"
"405",1709807,"Ipueiras (TO)",0,0,0,0,2,"Baixo",54,"Médio Baixo"
"406",2107506,"Paço do Lumiar (MA)",0,0,0,0,2,"Baixo",505,"Muito Alto"
"407",2109551,"Ribamar Fiquene (MA)",0,0,0,0,2,"Baixo",124,"Médio Alto"
"408",5100102,"Acorizal (MT)",0,0,0,0,2,"Baixo",147,"Médio Alto"
"409",5103437,"Curvelândia (MT)",0,0,0,0,2,"Baixo",30,"Baixo"
"410",5108006,"Tapurah (MT)",0,0,0,0,2,"Baixo",1818,"Muito Alto"
"411",1200252,"Epitaciolândia (AC)",0,0,0,0,1,"Muito Baixo",13,"Baixo"
"412",1507508,"São João do Araguaia (PA)",0,0,0,0,1,"Muito Baixo",93,"Médio Baixo"
"413",1716307,"Pau D'Arco (TO)",0,0,0,0,1,"Muito Baixo",81,"Médio Baixo"
"414",2104552,"Governador Edison Lobão (MA)",0,0,0,0,1,"Muito Baixo",130,"Médio Alto"
"415",2106326,"Maracaçumé (MA)",0,0,0,0,1,"Muito Baixo",54,"Médio Baixo"
"416",2107704,"Paraibano (MA)",0,0,0,0,1,"Muito Baixo",4,"Muito Baixo"
"417",2111201,"São José de Ribamar (MA)",0,0,0,0,1,"Muito Baixo",51,"Médio Baixo"
"418",5101308,"Arenápolis (MT)",0,0,0,0,1,"Muito Baixo",68,"Médio Baixo"
"419",5104542,"Itanhangá (MT)",0,0,0,0,1,"Muito Baixo",204,"Médio Alto"
"420",5105234,"Lambari D'Oeste (MT)",0,0,0,0,1,"Muito Baixo",585,"Muito Alto"
"421",5106216,"Nova Canaã do Norte (MT)",0,0,0,0,1,"Muito Baixo",667,"Muito Alto"
"422",5106372,"Pedra Preta (MT)",0,0,0,0,1,"Muito Baixo",2290,"Muito Alto"
"423",5106802,"Porto dos Gaúchos (MT)",0,0,0,0,1,"Muito Baixo",961,"Muito Alto"
"424",5107206,"Rio Branco (MT)",0,0,0,0,1,"Muito Baixo",91,"Médio Baixo"
"425",5108501,"Vera (MT)",0,0,0,0,1,"Muito Baixo",1055,"Muito Alto"
"426",5102678,"Campo Verde (MT)",0,0,0,0,0,0,3866,"Muito Alto"
"427",1500800,"Ananindeua (PA)",0,0,0,0,0,0,2146,"Muito Alto"
"428",5107065,"Querência (MT)",0,0,0,0,0,0,2042,"Muito Alto"
"429",5106232,"Nova Olímpia (MT)",0,0,0,0,0,0,1837,"Muito Alto"
"430",5104526,"Ipiranga do Norte (MT)",0,0,0,0,0,0,1505,"Muito Alto"
"431",5107859,"São Félix do Araguaia (MT)",0,0,0,0,0,0,1276,"Muito Alto"
"432",5107768,"Santa Rita do Trivelato (MT)",0,0,0,0,0,0,1068,"Muito Alto"
"433",5107941,"Tabaporã (MT)",0,0,0,0,0,0,1040,"Muito Alto"
"434",1502939,"Dom Eliseu (PA)",0,0,0,0,0,0,901,"Muito Alto"
"435",5107354,"São José do Xingu (MT)",0,0,0,0,0,0,856,"Muito Alto"
"436",5103858,"Gaúcha do Norte (MT)",0,0,0,0,0,0,836,"Muito Alto"
"437",5101852,"Bom Jesus do Araguaia (MT)",0,0,0,0,0,0,810,"Muito Alto"
"438",2105427,"Itinga do Maranhão (MA)",0,0,0,0,0,0,740,"Muito Alto"
"439",5103601,"Dom Aquino (MT)",0,0,0,0,0,0,720,"Muito Alto"
"440",1507003,"Santo Antônio do Tauá (PA)",0,0,0,0,0,0,695,"Muito Alto"
"441",1500347,"Água Azul do Norte (PA)",0,0,0,0,0,0,690,"Muito Alto"
"442",1100072,"Corumbiara (RO)",0,0,0,0,0,0,685,"Muito Alto"
"443",5105622,"Mirassol d'Oeste (MT)",0,0,0,0,0,0,647,"Muito Alto"
"444",1507755,"Sapucaia (PA)",0,0,0,0,0,0,625,"Muito Alto"
"445",1508126,"Ulianópolis (PA)",0,0,0,0,0,0,621,"Muito Alto"
"446",5103700,"Feliz Natal (MT)",0,0,0,0,0,0,615,"Muito Alto"
"447",2106102,"Loreto (MA)",0,0,0,0,0,0,594,"Muito Alto"
"448",5108956,"Nova Monte Verde (MT)",0,0,0,0,0,0,549,"Muito Alto"
"449",1501451,"Belterra (PA)",0,0,0,0,0,0,545,"Muito Alto"
"450",1503200,"Igarapé-Açu (PA)",0,0,0,0,0,0,532,"Muito Alto"
"451",1200450,"Senador Guiomard (AC)",0,0,0,0,0,0,525,"Muito Alto"
"452",1505635,"Piçarra (PA)",0,0,0,0,0,0,521,"Muito Alto"
"453",5105580,"Marcelândia (MT)",0,0,0,0,0,0,521,"Muito Alto"
"454",5107107,"São José dos Quatro Marcos (MT)",0,0,0,0,0,0,511,"Muito Alto"
"455",5103056,"Cláudia (MT)",0,0,0,0,0,0,494,"Muito Alto"
"456",2111607,"São Raimundo das Mangabeiras (MA)",0,0,0,0,0,0,491,"Muito Alto"
"457",5107248,"Santa Carmem (MT)",0,0,0,0,0,0,479,"Muito Alto"
"458",5104559,"Itaúba (MT)",0,0,0,0,0,0,461,"Muito Alto"
"459",2112852,"Vila Nova dos Martírios (MA)",0,0,0,0,0,0,459,"Muito Alto"
"460",5103908,"General Carneiro (MT)",0,0,0,0,0,0,435,"Muito Alto"
"461",5106778,"Porto Alegre do Norte (MT)",0,0,0,0,0,0,423,"Muito Alto"
"462",2100501,"Alto Parnaíba (MA)",0,0,0,0,0,0,404,"Muito Alto"
"463",5102850,"Castanheira (MT)",0,0,0,0,0,0,393,"Muito Alto"
"464",5108303,"União do Sul (MT)",0,0,0,0,0,0,390,"Muito Alto"
"465",1706506,"Darcinópolis (TO)",0,0,0,0,0,0,381,"Muito Alto"
"466",2109502,"Riachão (MA)",0,0,0,0,0,0,377,"Muito Alto"
"467",1503705,"Itupiranga (PA)",0,0,0,0,0,0,375,"Muito Alto"
"468",1400159,"Bonfim (RR)",0,0,0,0,0,0,372,"Muito Alto"
"469",5101001,"Araguaiana (MT)",0,0,0,0,0,0,365,"Médio Alto"
"470",5107776,"Santa Terezinha (MT)",0,0,0,0,0,0,358,"Médio Alto"
"471",1501253,"Bannach (PA)",0,0,0,0,0,0,355,"Médio Alto"
"472",2102556,"Campestre do Maranhão (MA)",0,0,0,0,0,0,352,"Médio Alto"
"473",5108105,"Tesouro (MT)",0,0,0,0,0,0,352,"Médio Alto"
"474",1100288,"Rolim de Moura (RO)",0,0,0,0,0,0,347,"Médio Alto"
"475",1503093,"Goianésia do Pará (PA)",0,0,0,0,0,0,347,"Médio Alto"
"476",2109700,"Sambaíba (MA)",0,0,0,0,0,0,338,"Médio Alto"
"477",5102793,"Carlinda (MT)",0,0,0,0,0,0,334,"Médio Alto"
"478",5107578,"Rondolândia (MT)",0,0,0,0,0,0,330,"Médio Alto"
"479",5108204,"Torixoréu (MT)",0,0,0,0,0,0,317,"Médio Alto"
"480",2102036,"Bom Jesus das Selvas (MA)",0,0,0,0,0,0,312,"Médio Alto"
"481",1501576,"Bom Jesus do Tocantins (PA)",0,0,0,0,0,0,286,"Médio Alto"
"482",1100155,"Ouro Preto do Oeste (RO)",0,0,0,0,0,0,283,"Médio Alto"
"483",5107743,"Santa Cruz do Xingu (MT)",0,0,0,0,0,0,278,"Médio Alto"
"484",1200138,"Bujari (AC)",0,0,0,0,0,0,268,"Médio Alto"
"485",5106455,"Planalto da Serra (MT)",0,0,0,0,0,0,262,"Médio Alto"
"486",1200500,"Sena Madureira (AC)",0,0,0,0,0,0,245,"Médio Alto"
"487",5106208,"Nova Brasilândia (MT)",0,0,0,0,0,0,245,"Médio Alto"
"488",2108504,"Pindaré-Mirim (MA)",0,0,0,0,0,0,240,"Médio Alto"
"489",1505551,"Pau D'Arco (PA)",0,0,0,0,0,0,226,"Médio Alto"
"490",5106653,"Pontal do Araguaia (MT)",0,0,0,0,0,0,225,"Médio Alto"
"491",1703867,"Cariri do Tocantins (TO)",0,0,0,0,0,0,221,"Médio Alto"
"492",5100805,"Apiacás (MT)",0,0,0,0,0,0,216,"Médio Alto"
"493",1503044,"Floresta do Araguaia (PA)",0,0,0,0,0,0,215,"Médio Alto"
"494",1720978,"Talismã (TO)",0,0,0,0,0,0,212,"Médio Alto"
"495",1500958,"Aurora do Pará (PA)",0,0,0,0,0,0,211,"Médio Alto"
"496",1100056,"Cerejeiras (RO)",0,0,0,0,0,0,205,"Médio Alto"
"497",1101609,"Theobroma (RO)",0,0,0,0,0,0,203,"Médio Alto"
"498",5105176,"Juruena (MT)",0,0,0,0,0,0,203,"Médio Alto"
"499",1100320,"São Miguel do Guaporé (RO)",0,0,0,0,0,0,200,"Médio Alto"
"500",1505486,"Pacajá (PA)",0,0,0,0,0,0,200,"Médio Alto"
"501",1200807,"Porto Acre (AC)",0,0,0,0,0,0,190,"Médio Alto"
"502",1200708,"Xapuri (AC)",0,0,0,0,0,0,189,"Médio Alto"
"503",1711100,"Itaporã do Tocantins (TO)",0,0,0,0,0,0,189,"Médio Alto"
"504",2102002,"Bom Jardim (MA)",0,0,0,0,0,0,189,"Médio Alto"
"505",1720101,"São Bento do Tocantins (TO)",0,0,0,0,0,0,187,"Médio Alto"
"506",5107750,"Salto do Céu (MT)",0,0,0,0,0,0,182,"Médio Alto"
"507",1701309,"Aragominas (TO)",0,0,0,0,0,0,180,"Médio Alto"
"508",5107263,"Santo Afonso (MT)",0,0,0,0,0,0,180,"Médio Alto"
"509",1718899,"Santa Rita do Tocantins (TO)",0,0,0,0,0,0,177,"Médio Alto"
"510",1100940,"Cujubim (RO)",0,0,0,0,0,0,173,"Médio Alto"
"511",5100508,"Alto Paraguai (MT)",0,0,0,0,0,0,169,"Médio Alto"
"512",5103809,"Figueirópolis D'Oeste (MT)",0,0,0,0,0,0,165,"Médio Alto"
"513",2103257,"Cidelândia (MA)",0,0,0,0,0,0,161,"Médio Alto"
"514",1501758,"Brejo Grande do Araguaia (PA)",0,0,0,0,0,0,160,"Médio Alto"
"515",1100031,"Cabixi (RO)",0,0,0,0,0,0,158,"Médio Alto"
"516",1100700,"Campo Novo de Rondônia (RO)",0,0,0,0,0,0,157,"Médio Alto"
"517",1713957,"Muricilândia (TO)",0,0,0,0,0,0,151,"Médio Alto"
"518",1100908,"Castanheiras (RO)",0,0,0,0,0,0,144,"Médio Alto"
"519",1100403,"Alto Paraíso (RO)",0,0,0,0,0,0,142,"Médio Alto"
"520",1506005,"Prainha (PA)",0,0,0,0,0,0,134,"Médio Alto"
"521",5103379,"Cotriguaçu (MT)",0,0,0,0,0,0,134,"Médio Alto"
"522",1508357,"Vitória do Xingu (PA)",0,0,0,0,0,0,133,"Médio Alto"
"523",2102754,"Capinzal do Norte (MA)",0,0,0,0,0,0,132,"Médio Alto"
"524",5101605,"Barão de Melgaço (MT)",0,0,0,0,0,0,131,"Médio Alto"
"525",1200385,"Plácido de Castro (AC)",0,0,0,0,0,0,129,"Médio Alto"
"526",1507607,"São Miguel do Guamá (PA)",0,0,0,0,0,0,128,"Médio Alto"
"527",1503408,"Inhangapi (PA)",0,0,0,0,0,0,127,"Médio Alto"
"528",1200179,"Capixaba (AC)",0,0,0,0,0,0,125,"Médio Alto"
"529",1100338,"Nova Mamoré (RO)",0,0,0,0,0,0,123,"Médio Alto"
"530",1720200,"São Miguel do Tocantins (TO)",0,0,0,0,0,0,122,"Médio Baixo"
"531",2105500,"João Lisboa (MA)",0,0,0,0,0,0,122,"Médio Baixo"
"532",5104500,"Indiavaí (MT)",0,0,0,0,0,0,122,"Médio Baixo"
"533",1200609,"Tarauacá (AC)",0,0,0,0,0,0,119,"Médio Baixo"
"534",1507201,"São Domingos do Capim (PA)",0,0,0,0,0,0,119,"Médio Baixo"
"535",5100359,"Alto Boa Vista (MT)",0,0,0,0,0,0,116,"Médio Baixo"
"536",1100346,"Alvorada D'Oeste (RO)",0,0,0,0,0,0,112,"Médio Baixo"
"537",5102694,"Canabrava do Norte (MT)",0,0,0,0,0,0,111,"Médio Baixo"
"538",2110856,"São Francisco do Brejão (MA)",0,0,0,0,0,0,109,"Médio Baixo"
"539",1100601,"Cacaulândia (RO)",0,0,0,0,0,0,107,"Médio Baixo"
"540",1507979,"Terra Santa (PA)",0,0,0,0,0,0,104,"Médio Baixo"
"541",2100600,"Amarante do Maranhão (MA)",0,0,0,0,0,0,103,"Médio Baixo"
"542",1720853,"Sucupira (TO)",0,0,0,0,0,0,102,"Médio Baixo"
"543",1400050,"Alto Alegre (RR)",0,0,0,0,0,0,101,"Médio Baixo"
"544",2111763,"Senador La Rocque (MA)",0,0,0,0,0,0,101,"Médio Baixo"
"545",1600709,"Tartarugalzinho (AP)",0,0,0,0,0,0,100,"Médio Baixo"
"546",5107883,"Serra Nova Dourada (MT)",0,0,0,0,0,0,96,"Médio Baixo"
"547",1500131,"Abel Figueiredo (PA)",0,0,0,0,0,0,95,"Médio Baixo"
"548",1507904,"Soure (PA)",0,0,0,0,0,0,95,"Médio Baixo"
"549",2107407,"Olho d'Água das Cunhãs (MA)",0,0,0,0,0,0,95,"Médio Baixo"
"550",1101484,"São Felipe D'Oeste (RO)",0,0,0,0,0,0,94,"Médio Baixo"
"551",1200013,"Acrelândia (AC)",0,0,0,0,0,0,94,"Médio Baixo"
"552",5106273,"Novo Horizonte do Norte (MT)",0,0,0,0,0,0,91,"Médio Baixo"
"553",2110658,"São Domingos do Azeitão (MA)",0,0,0,0,0,0,90,"Médio Baixo"
"554",1503507,"Irituia (PA)",0,0,0,0,0,0,89,"Médio Baixo"
"555",1505007,"Nova Timboteua (PA)",0,0,0,0,0,0,89,"Médio Baixo"
"556",1715101,"Novo Acordo (TO)",0,0,0,0,0,0,87,"Médio Baixo"
"557",2112308,"Tuntum (MA)",0,0,0,0,0,0,87,"Médio Baixo"
"558",1703602,"Brasilândia do Tocantins (TO)",0,0,0,0,0,0,85,"Médio Baixo"
"559",1700251,"Abreulândia (TO)",0,0,0,0,0,0,83,"Médio Baixo"
"560",1708254,"Fortaleza do Tabocão (TO)",0,0,0,0,0,0,83,"Médio Baixo"
"561",2112704,"Vargem Grande (MA)",0,0,0,0,0,0,83,"Médio Baixo"
"562",1703883,"Carmolândia (TO)",0,0,0,0,0,0,82,"Médio Baixo"
"563",1504455,"Medicilândia (PA)",0,0,0,0,0,0,81,"Médio Baixo"
"564",1101500,"Seringueiras (RO)",0,0,0,0,0,0,79,"Médio Baixo"
